Index,NumberPSM,ProteinID,MaxPepProb,ReferenceIntensity,variable,value,Dataset,Stage
Bag6,10,A3KPW9,0.9985,30.64721964045006,whole_cell,30.87446810654694,PXD013835,s6hpf
Ctnna2,1,B7ZC77,0.9997,24.13711080785431,whole_cell,23.694244272366994,PXD013835,s6hpf
Fam174b,1,Q1LVN1,0.9942,17.569958181171952,whole_cell,17.364153462998765,PXD013835,s6hpf
LYRM7,21,A5PLG0,1,32.13970939437514,whole_cell,31.48852870685942,PXD013835,s6hpf
Maco1a,3,Q2TLY2,0.9893,25.621517653629137,whole_cell,25.366815624515255,PXD013835,s6hpf
Ninl,7,G9G127,0.9987,28.454998172949008,whole_cell,28.328315833839177,PXD013835,s6hpf
P0C8Y2,5,P0C8Y2,1,30.18396949368587,whole_cell,29.47005052369761,PXD013835,s6hpf
P5436,8,Q6NWH0,1,28.6341377098468,whole_cell,28.411526916264993,PXD013835,s6hpf
Prorsd1,6,Q6PFS2,1,29.420387592931498,whole_cell,29.56277411441505,PXD013835,s6hpf
Q0P3X7,11,Q0P3X7,0.9939,31.582641884318026,whole_cell,30.748851986095485,PXD013835,s6hpf
Selenom,3,Q802G7,1,28.047596915815543,whole_cell,28.100829031183277,PXD013835,s6hpf
Tmem17b,2,A5D6V4,0.986,26.131574874127807,whole_cell,26.163046480558922,PXD013835,s6hpf
aacs,26,A3QK15,1,30.543496926531144,whole_cell,30.82363284527204,PXD013835,s6hpf
aamdc,3,Q502H1,0.9948,26.297988195713653,whole_cell,26.085606912242017,PXD013835,s6hpf
aarsd1,11,Q6DEJ5,1,28.382529746255234,whole_cell,28.592773331708564,PXD013835,s6hpf
abcb7,68,E7F6F7,1,31.43733905777709,whole_cell,30.68112045766212,PXD013835,s6hpf
abcb8,32,Q56A55,1,30.408767401395753,whole_cell,29.72233799818613,PXD013835,s6hpf
abcd1,3,F1RBC8,0.9968,29.175466698372453,whole_cell,28.907527139591753,PXD013835,s6hpf
abhd11,2,Q6DRD9,0.9878,27.01827498551241,whole_cell,27.0184313774498,PXD013835,s6hpf
abhd12,6,Q08C93,0.9998,27.137723220069276,whole_cell,26.546208689345903,PXD013835,s6hpf
abhd13,7,Q32LS6,1,29.07485683529374,whole_cell,28.41827056182699,PXD013835,s6hpf
abhd14a,35,Q1LV46,1,33.494007816074024,whole_cell,32.750296653612025,PXD013835,s6hpf
abhd17c,16,Q7ZVZ7,1,30.54879894541575,whole_cell,30.15571595182113,PXD013835,s6hpf
abitram,4,Q1LU93,0.9982,26.84938161939207,whole_cell,26.9867318440207,PXD013835,s6hpf
abracl,4,Q6TGV7,1,30.052936294556,whole_cell,29.648369922217007,PXD013835,s6hpf
abraxas1,1,Q1LVP6,0.9882,26.44445701351593,whole_cell,26.84352377488094,PXD013835,s6hpf
abraxas2,8,A0A8M3AJY3,1,28.762799403693016,whole_cell,28.98659524628283,PXD013835,s6hpf
acat1,219,Q6AZA0,1,35.78492826075867,whole_cell,35.1079862523887,PXD013835,s6hpf
acbd5a,18,Q502L1,1,29.854694547730823,whole_cell,29.26339802528511,PXD013835,s6hpf
acbd6,15,Q4V8X4,1,29.700111383540793,whole_cell,29.922389904063685,PXD013835,s6hpf
acer1,2,Q568I2,0.9996,22.9139464627797,whole_cell,22.829370967185056,PXD013835,s6hpf
acp7,1,A5D6U8,0.9969,24.41593496950978,whole_cell,24.145285017025984,PXD013835,s6hpf
acsf2,63,Q0P4F7,1,32.67215999611397,whole_cell,31.98998536859555,PXD013835,s6hpf
actba,695,Q7ZVI7,1,17.569958181171952,whole_cell,17.762036180847367,PXD013835,s6hpf
actbb,43,Q7ZVF9,1,34.71307457201799,whole_cell,34.90680094941316,PXD013835,s6hpf
actr2a,53,Q7SXW6,1,32.52187151351099,whole_cell,32.71992307787003,PXD013835,s6hpf
actr2b,1,Q56A35,0.9983,17.569958181171952,whole_cell,17.35774535166938,PXD013835,s6hpf
actr8,10,P59679,1,27.673804320803956,whole_cell,27.826975908226654,PXD013835,s6hpf
acy3.1,2,Q6DHI0,1,25.181593349863505,whole_cell,25.23534030920853,PXD013835,s6hpf
adal,2,Q4V9P6,0.9987,28.568323200556645,whole_cell,28.948135507250978,PXD013835,s6hpf
adgra3,10,S4X0Q8,1,27.361822302520164,whole_cell,27.0330261008949,PXD013835,s6hpf
adi1,29,Q6PBX5,1,32.02484021330091,whole_cell,32.249916660609934,PXD013835,s6hpf
adnpa,35,F1QLG5,1,30.77210942779207,whole_cell,30.977716269776526,PXD013835,s6hpf
adprs,9,Q66HT8,0.9999,29.83748511221024,whole_cell,29.774214755310318,PXD013835,s6hpf
adrm1b,42,Q6NZ09,1,33.65364680031129,whole_cell,33.81253561866314,PXD013835,s6hpf
adss1,4,Q6NSN5,0.999,25.878166061331523,whole_cell,25.94674443256027,PXD013835,s6hpf
adss2,2,Q568F6,0.9517,19.69208068011637,whole_cell,20.17735321753634,PXD013835,s6hpf
aebp2,7,Q7SXV2,1,27.929053082607886,whole_cell,28.237736386542313,PXD013835,s6hpf
afmid,24,Q566U4,1,31.06799513467769,whole_cell,31.155666077854043,PXD013835,s6hpf
agk,41,Q7ZW00,1,32.501281700529965,whole_cell,31.76283092503192,PXD013835,s6hpf
ago3,18,A3KPK0,1,30.069428543113332,whole_cell,29.922745148194224,PXD013835,s6hpf
aida,10,Q6PBN2,1,28.69060299915339,whole_cell,28.338394495441545,PXD013835,s6hpf
ak2,129,Q1L8L9,1,35.15041411900078,whole_cell,34.47522141894303,PXD013835,s6hpf
akr1a1a,1,Q6AZW2,0.9549,26.3487139284876,whole_cell,26.20538694728077,PXD013835,s6hpf
akr1a1b,71,Q568L5,1,33.429497111845876,whole_cell,33.554764220243165,PXD013835,s6hpf
aktip,1,Q7ZYX1,1,25.901131071938362,whole_cell,25.461685227645344,PXD013835,s6hpf
aldh4a1,70,Q7SY23,1,33.31795140002523,whole_cell,32.7226583418054,PXD013835,s6hpf
aldh8a1,14,Q66I21,1,34.273943316969174,whole_cell,33.98686752906827,PXD013835,s6hpf
aldh9a1a,247,Q7ZVB2,1,36.52710871745967,whole_cell,36.713800076413406,PXD013835,s6hpf
aldh9a1b,128,Q802W2,1,34.78786079505046,whole_cell,34.1671822493461,PXD013835,s6hpf
aldob,62,Q8JH71,1,33.391374912544244,whole_cell,33.550925164485605,PXD013835,s6hpf
aldocb,84,Q8JH70,1,34.42578090366724,whole_cell,34.54500010855038,PXD013835,s6hpf
alg11,26,Q7ZW24,1,31.26799109965018,whole_cell,30.527059501602082,PXD013835,s6hpf
ambra1b,4,X1WHY6,0.9961,24.83786372197748,whole_cell,24.952734701730716,PXD013835,s6hpf
amdhd2,1,Q6P0U0,0.9994,26.04300702938433,whole_cell,26.154280954458404,PXD013835,s6hpf
amer1,2,F1RDM5,0.9996,25.3836849369155,whole_cell,25.35926108346732,PXD013835,s6hpf
amfra,6,F1QB30,0.9997,28.958423267126395,whole_cell,28.688637999437624,PXD013835,s6hpf
amn1,1,Q0P4D1,0.9999,23.706598877104625,whole_cell,23.42447095681568,PXD013835,s6hpf
amotl2a,2,A1YB07,0.9163,27.927084576147152,whole_cell,28.04343868819425,PXD013835,s6hpf
angel2,9,Q5RGT6,1,29.37920277638843,whole_cell,29.020162141375256,PXD013835,s6hpf
ankhb,1,P58368,0.9996,24.87703731465579,whole_cell,24.30282301315873,PXD013835,s6hpf
ankib1,4,Q1L8G6,0.9995,25.17986274646967,whole_cell,24.98486979889529,PXD013835,s6hpf
ankrd46,4,Q6TNT2,0.9997,26.193680156752038,whole_cell,25.944066181741647,PXD013835,s6hpf
ankrd52,15,Q502K3,1,28.838411088323152,whole_cell,28.983442870486186,PXD013835,s6hpf
ankrd54,3,Q6DGX3,0.9981,26.084471885041506,whole_cell,25.959140160723102,PXD013835,s6hpf
anks1b,2,A5PMU4,0.994,26.18175087206044,whole_cell,26.250854470408356,PXD013835,s6hpf
ano10,26,Q4V8U5,1,30.67473578193152,whole_cell,29.953521764926958,PXD013835,s6hpf
anp32a,27,Q7ZUP0,1,34.56165693074371,whole_cell,34.76275928970618,PXD013835,s6hpf
anp32e,43,Q6NUW5,1,17.569958181171952,whole_cell,17.752982385456555,PXD013835,s6hpf
ap2m1a,65,Q6NWK2,1,32.94282514084226,whole_cell,33.141969866782674,PXD013835,s6hpf
apaf1,27,Q9I9H8,1,30.07943535370384,whole_cell,30.217004980420207,PXD013835,s6hpf
apex1,77,A0MTA1,1,33.047870936045896,whole_cell,33.246237273587035,PXD013835,s6hpf
aph1b,1,Q8JHE9,0.9853,21.712240661704563,whole_cell,21.87897145024558,PXD013835,s6hpf
apip,23,Q66I75,1,30.377294896834357,whole_cell,30.326081067656823,PXD013835,s6hpf
aplnra,2,Q7SZP9,0.9986,27.93670634482563,whole_cell,27.11401131378443,PXD013835,s6hpf
