Index,NumberPSM,ProteinID,MaxPepProb,ReferenceIntensity,sample-01,sample-02,sample-03,sample-04,sample-05,sample-06,sample-07,sample-08,sample-09,sample-10,sample-01,sample-02,sample-03,sample-04,sample-05,sample-06,sample-07,sample-08,sample-09,sample-10
Bag6,9,A3KPW9,1,24.94191432198618,26.56533377078393,26.188083328983257,26.068495962228937,25.525190042667695,25.236052135457076,24.843457899497352,24.69572336018698,24.497430006534742,24.475486695475475,24.561981346994955,26.73950861291596,26.202424947446396,26.29881099689449,25.579759372556463,25.28967981622669,24.834198161413315,24.73053026152845,23.32074874499449,24.382259103130938,24.496407030197993
Ctnna2,59,B7ZC77,1,26.605560736062557,27.021082616650723,27.094519037504877,27.106187006082884,26.866980967546215,26.889939236309043,26.5949155432358,26.658159783674396,26.529361488047794,26.475727638018906,26.506159747972575,26.81844135886759,26.640989681391062,26.792911558083286,26.731588913347963,26.808351197735213,26.74128842155862,26.60586442861617,26.417043777615778,26.53189707818682,26.633341511848123
P5436,6,Q6NWH0,1,23.34963544310341,23.090804541803582,22.785709238641854,22.49435592966984,22.125661043966733,22.11451575648483,22.942578805811984,23.340876295913912,23.649718463480593,23.71928234506066,23.801682544031095,22.31008168356265,22.668557306403102,22.16258340324311,21.72886467205221,22.593121853042,23.158351013340194,23.662725041438172,24.020226599420237,23.69648143798768,23.62895155056138
Prorsd1,1,Q6PFS2,0.9694,20.54690916506008,21.351536727362067,20.649359686952447,20.71501420452831,19.838522685854254,20.513679933374245,20.446627676739997,20.792700808344733,20.75270539746302,20.541502588884036,20.46451707787062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Selenom,3,Q802G7,1,22.75272334095967,24.07360083804376,24.103159819109326,23.541090542748158,23.174660903285883,22.624533401263502,22.958799913170818,22.59828196004368,22.517692641963034,22.506980145819853,22.427712477365603,24.266090116395564,24.19587137464099,23.703870678789613,23.67081048382968,22.928512016640045,22.475347941519797,22.383547977586215,22.184155365734014,22.234179719770577,22.087152742790664
aacs,9,A3QK15,0.9985,23.798554231029406,24.581260685407322,24.09042899934768,24.0893447600186,23.769953700936064,23.621068952939954,23.685668056761617,23.65953266739732,23.88076746709964,23.840086869477922,23.860890810997315,23.249806085045574,23.25919666169647,23.354194493130116,22.957923591389264,23.09145864543006,23.46783452919107,23.76924825962729,23.701476182618563,24.235229373975255,24.13910337334075
aamdc,2,Q502H1,0.992,21.127566865917732,22.431080974582,22.276897984757994,22.00885772564696,21.59187773776788,21.05474377790078,21.46744372881407,21.045209443803277,21.084611060742795,20.69148740961159,20.631829480614343,21.77243703770651,22.16758060404205,21.91292249325691,21.570637297364073,21.478965295206084,21.408868731817478,21.094371364911765,21.278193175580288,20.73972386755811,20.492424114219524
aarsd1,10,Q6DEJ5,0.9997,24.935480951281157,24.38088644372324,24.102929006102244,24.135965826027885,23.949708195343845,24.302992750758584,24.962679687567142,25.212233764956224,25.14307861016044,25.174269622995684,25.077949648938418,25.592131669955464,24.951821215855215,25.055128632312012,24.559016507558372,24.685926505864604,24.959977419030352,24.958397828100576,25.036377906250788,24.939339962386033,24.977669644147436
abcb7,3,E7F6F7,0.9936,17.390786227814242,18.967742404742506,18.876325959785234,18.50354104051907,18.339320288255998,17.88703502813036,17.8863658621463,17.14308996522417,16.820783196999212,16.557904193118507,16.483935817558592,16.555139780082005,16.802841454725858,16.295409868509935,16.389408164066154,16.9849768660893,17.798311405714536,17.978897040738637,17.57013876434439,17.589085669098676,17.52065817390146
abhd11,10,Q6DRD9,0.9972,24.7046312987388,24.50325320774383,24.586177207650966,24.290905075939666,24.057953629306816,24.160757895132463,24.27648198637561,24.36049778724227,24.907551659270098,25.03599343263856,25.192082884595653,23.570449898724334,23.901886617847822,22.815098783795154,23.163606810018713,23.363356527162562,23.666864670213425,24.528041766659964,24.879474138450657,25.320770581068107,25.516998727149844
