Index,NumberPSM,ProteinID,MaxPepProb,ReferenceIntensity,2hpf_1,2hpf_2,2-5hpf_1,2-5hpf_2,4-3hpf_1,4-3hpf_2,5-3hpf_1,5-3hpf_2
Bag6,4,A3KPW9,0.9995,24.564079941180957,24.423837772762024,24.73332018127406,24.470761835520435,24.53471424009172,24.678680312313258,24.528588631912793,24.60061096242686,24.503305482276094
Ctnna2,1,B7ZC77,0.9867,15.149569047012543,15.203880413242608,15.344639220343446,15.334319381538943,15.161612303437435,14.754750006365722,15.177003633713952,14.957071244290454,15.523995742454504
LYRM7,1,A5PLG0,0.9999,22.93757050262821,23.101950201587147,23.287556945325672,22.979896519238377,22.924733399042942,22.83476730435541,22.927161454275236,22.819798859892103,22.809464076640968
Ninl,2,G9G127,1,22.56873306116131,22.47237539256539,22.34531658769794,22.409074174177622,22.408442761406107,22.736152791689193,22.608498466314412,22.56345871123716,22.978319055328576
P5436,1,Q6NWH0,1,19.66938894747531,20.086060435949786,19.604842654562162,19.69483371968848,19.411671180716063,19.9068326582937,19.126024206884647,19.634493853336455,19.757111237037275
Prorsd1,2,Q6PFS2,1,23.213492638535506,23.282389165975772,22.77624784127187,23.455664031624984,23.212373672376884,22.77837943517852,23.103172712894477,23.25520519163027,23.84226107701873
Q0P3X7,2,Q0P3X7,0.9962,23.36924774574096,23.290505718738487,23.487707354640197,23.20561914458554,23.434528456463024,23.61319879769708,23.33254651842151,23.44103813516322,23.25329687935418
Selenom,1,Q802G7,1,20.963686343776192,21.077541510294726,20.913927328916433,21.043740529508025,20.961986620042588,20.71085397987777,20.70300869373048,21.01007114054979,21.452902711219522
aacs,7,A3QK15,0.9999,26.364894778224645,26.261626011541818,26.457397638398366,26.54983080893772,26.299156769780975,26.3219882894171,26.1890534035453,26.255510313323274,26.16643457602588
aarsd1,3,Q6DEJ5,1,24.50895474196916,24.635356429786814,24.370280962769662,24.61851946493169,24.543822131041857,24.36325580434562,24.38269791647546,24.368832555691245,24.783071855687698
aasdh,3,Q5RG49,1,20.968651560692653,21.19425006579856,20.945966504189844,21.073395405574075,20.922847519985524,21.001664958932935,20.857073702891373,21.03359148690493,20.97136784961242
abcb7,5,E7F6F7,0.9942,25.857331563733048,25.943846558829865,25.88433193325737,25.886816310087866,25.862875618986667,25.945868686850527,25.657829696369795,25.794244466834595,25.985618263768803
abcb8,3,Q56A55,1,24.57053082274877,24.65546573770535,24.559324300895753,24.482008130177043,24.574896413079884,24.746287918663597,24.678424316488407,24.5887415730939,24.271572334086937
abhd14a,22,Q1LV46,1,29.631928898520222,29.692011097724738,29.509828309229775,29.6050909210048,29.659318164530053,29.580259086177332,29.748360260953724,29.63288200798919,29.777502960211102
abhd17c,5,Q7ZVZ7,1,25.476865693046474,25.458359646014355,25.355784076266772,25.740716493016507,25.48634973147535,25.381660167335834,25.36136814462466,25.35626181328947,25.268882703278184
abraxas1,1,Q1LVP6,0.9871,15.329056616383342,15.391351024330774,14.676333754063274,15.392908191357437,15.39494307185055,15.438361849987237,15.152901360723193,15.61820746770521,15.400331256910302
acat1,59,Q6AZA0,1,28.628357924272954,28.60202641698704,28.65114437820371,28.591991040187786,28.589596519692233,28.32272008491316,28.497923625325523,28.65335616076254,29.03323867708208
acbd6,7,Q4V8X4,1,24.489855335767928,24.4394021956914,24.521988948478498,24.437906377603177,24.540090684940193,24.602513042678954,24.482480377256472,24.431368792680402,24.482632281104703
acp7,3,A5D6U8,0.9802,25.044799536099056,25.050815773393477,25.059363607052802,24.971157631660724,24.990128380682865,25.077300080581054,25.156602226763706,25.015210939649958,24.836265914036627
acsf2,8,Q0P4F7,1,24.88326199711123,24.887018685899005,24.80699833783468,24.766583267372784,24.797555349027135,24.96561127786824,24.875442072428065,25.052387694532655,24.980002218815063
actba,415,Q7ZVI7,1,34.828945101596624,34.85227512389718,34.7876119132981,34.83193170471166,34.85040386396674,34.82413598628591,34.86075753002795,34.816068514242886,34.72105953742196
actbb,70,Q7ZVF9,1,30.41586104898118,30.4702140966809,30.334229025066705,30.39146904739007,30.448640501323215,30.51339696751722,30.439933260701835,30.38077859815349,30.25556402404085
actmap,1,B0V3H4,1,20.481887771437663,20.350861124755774,20.585737645864825,20.417911929094103,20.255309006681433,20.75226404777238,20.879100338376738,20.361940047079614,20.366502802544524
actr2a,21,Q7SXW6,1,29.52208132861555,29.49126772436385,29.597763458182644,29.48436186465722,29.440706703473307,29.50507038271384,29.432410411953395,29.568482698538418,29.661447216046408
adal,2,Q4V9P6,0.9588,20.256381194883996,20.367022962483905,20.357503368077445,20.25867958507169,20.226344578218566,20.153888877746084,20.355868849988312,20.102824061272674,20.357118565282782
adi1,23,Q6PBX5,1,28.194555046287654,28.23791789183237,28.129102418337357,28.153360219205748,28.236963055261572,28.202676470142094,28.147991606767963,28.230238469537074,28.272953432403455
adnpa,1,F1QLG5,0.9003,21.31427688765232,21.310484919434614,21.424231368020916,21.52369934034126,21.07070341179089,20.70000658023169,21.125495650405206,21.33259430772882,22.11488593021822
adprs,1,Q66HT8,0.9912,19.74782283413165,20.06728427795768,18.831163714767264,20.816266375344476,19.353502597113692,18.75450940808849,19.53679932506084,19.424262266004714,20.139366989371137
adrm1b,36,Q6NZ09,1,28.531441563327345,28.488346582265486,28.354565709602404,28.476520121927475,28.614867091213824,28.64458279628645,28.68793026329574,28.480052945460134,28.311252333681107
adss1,2,Q6NSN5,1,21.35079917355931,21.157983587713932,21.333576730054787,21.815619784934455,21.30853561436684,21.029863139980314,21.245045800861874,21.27832183542559,21.715174106390776
afmid,5,Q566U4,1,26.56190025768117,26.662847345084714,26.590472286832675,26.503280205496775,26.605896184084376,26.647951067863694,26.65480126207301,26.628305752110048,26.466611894965876
agk,11,Q7ZW00,1,25.84004707201646,25.91234960489004,25.55035785470597,25.908934561064804,26.076766724894398,25.803703141844895,25.794934421088605,25.86900229823339,25.647643461051004
ago3,6,A3KPK0,1,24.772914617941012,24.913644156815522,24.443888649592235,24.823797462461837,24.723936953612167,24.72017315620004,24.75117394998568,24.81437761387866,24.79079541001661
aida,2,Q6PBN2,0.9998,21.050154845364627,21.078247224423578,21.031392354238307,21.15935508576765,21.095692198570624,21.15986792060486,20.887931939073727,21.070870575844886,21.006382187441194
ak2,60,Q1L8L9,1,29.50236172386253,29.54418013222797,29.525194616115048,29.488804935187968,29.52968796636783,29.42899164610738,29.49943851555842,29.49223296222069,29.506883111162388
akr1a1b,54,Q568L5,1,29.681589182271246,29.598663069858816,29.519888399350332,29.75589080320387,29.722944002266455,29.58570981296143,29.60700347070581,29.73237811861623,29.77831595645228
aldh4a1,9,Q7SY23,1,25.182007003715448,25.223508193105456,25.142419383592134,25.16384391581501,25.257444511347924,25.24805718476711,25.171941469256012,25.190777827500344,25.173372194965555
aldh9a1a,101,Q7ZVB2,1,31.029909261530474,30.986573326018597,30.92838181599601,30.95350475895857,31.019419686344403,30.95598620175991,30.984465004642068,31.178001555138316,31.098861224568275
aldh9a1b,28,Q802W2,1,28.817295721185058,28.780661650732128,28.753548522448657,28.816394388776796,28.853273490357655,28.761765694017235,28.75268173327868,28.85725079131615,28.917626245395898
aldob,1,Q8JH71,0.9802,19.891494977130485,19.468646353903495,19.951530988844457,19.72717428501396,19.589734884502462,19.612226403160516,20.2213419358494,20.428378561015485,20.15469333844186
aldocb,45,Q8JH70,1,29.27920125107691,29.260202134753143,29.39729139385769,29.227809412009538,29.394059267313917,29.27442006245108,29.250062092575963,29.28056888400851,29.189596737768102
