ensembl_gene_id,ensembl_transcript_id,Name
ENSDARG00000000001,ENSDART00000000004,slc35a5
ENSDARG00000000002,ENSDART00000000005,ccdc80
ENSDARG00000000018,ENSDART00000138183,nrf1
ENSDARG00000000018,ENSDART00000181044,nrf1
ENSDARG00000000019,ENSDART00000124452,ube2h
ENSDARG00000000068,ENSDART00000136272,nherf1a
ENSDARG00000000068,ENSDART00000000069,nherf1a
ENSDARG00000000069,ENSDART00000142631,dap
ENSDARG00000000069,ENSDART00000140891,dap
ENSDARG00000000069,ENSDART00000000070,dap
ENSDARG00000000069,ENSDART00000134964,dap
ENSDARG00000000086,ENSDART00000160817,itsn1
ENSDARG00000000086,ENSDART00000139573,itsn1
ENSDARG00000000086,ENSDART00000132378,itsn1
ENSDARG00000000086,ENSDART00000150545,itsn1
ENSDARG00000000103,ENSDART00000150939,myh10
ENSDARG00000000103,ENSDART00000151114,myh10
ENSDARG00000000103,ENSDART00000151635,myh10
ENSDARG00000000103,ENSDART00000187590,myh10
ENSDARG00000000142,ENSDART00000135082,tmem267
ENSDARG00000000142,ENSDART00000186615,tmem267
ENSDARG00000000151,ENSDART00000151127,thraa
ENSDARG00000000151,ENSDART00000000160,thraa
ENSDARG00000000151,ENSDART00000151575,thraa
ENSDARG00000000151,ENSDART00000151633,thraa
ENSDARG00000000151,ENSDART00000177021,thraa
ENSDARG00000000161,ENSDART00000125142,itsn2a
ENSDARG00000000161,ENSDART00000153266,itsn2a
ENSDARG00000000161,ENSDART00000062780,itsn2a
ENSDARG00000000161,ENSDART00000180278,itsn2a
ENSDARG00000000175,ENSDART00000146636,hoxb2a
ENSDARG00000000183,ENSDART00000125423,ptpn4b
ENSDARG00000000183,ENSDART00000126784,ptpn4b
ENSDARG00000000183,ENSDART00000000192,ptpn4b
ENSDARG00000000189,ENSDART00000135723,sema6cb
ENSDARG00000000189,ENSDART00000160555,sema6cb
ENSDARG00000000189,ENSDART00000000198,sema6cb
ENSDARG00000000212,ENSDART00000105808,krt97
ENSDARG00000000229,ENSDART00000171036,usp49
ENSDARG00000000229,ENSDART00000037069,usp49
ENSDARG00000000241,ENSDART00000000250,slc40a1
ENSDARG00000000324,ENSDART00000139564,dcaf8
ENSDARG00000000349,ENSDART00000151109,cfap300
ENSDARG00000000369,ENSDART00000135209,prkag3b
ENSDARG00000000369,ENSDART00000132747,prkag3b
ENSDARG00000000370,ENSDART00000000382,
ENSDARG00000000380,ENSDART00000000392,pde6a
ENSDARG00000000380,ENSDART00000160752,pde6a
ENSDARG00000000380,ENSDART00000189157,pde6a
ENSDARG00000000394,ENSDART00000144168,
ENSDARG00000000394,ENSDART00000136630,
ENSDARG00000000394,ENSDART00000184244,
ENSDARG00000000423,ENSDART00000138914,si:ch73-314g15.3
ENSDARG00000000423,ENSDART00000186670,si:ch73-314g15.3
ENSDARG00000000442,ENSDART00000121972,slc39a13
ENSDARG00000000442,ENSDART00000184425,slc39a13
ENSDARG00000000460,ENSDART00000060383,nitr2b
ENSDARG00000000472,ENSDART00000000486,cntn2
ENSDARG00000000472,ENSDART00000190721,cntn2
ENSDARG00000000474,ENSDART00000000488,TNNI1
ENSDARG00000000476,ENSDART00000002053,pms1
ENSDARG00000000476,ENSDART00000157398,pms1
ENSDARG00000000476,ENSDART00000188260,pms1
ENSDARG00000000489,ENSDART00000133248,upf3b
ENSDARG00000000489,ENSDART00000010019,upf3b
ENSDARG00000000503,ENSDART00000174611,stx1b
ENSDARG00000000503,ENSDART00000081951,stx1b
ENSDARG00000000516,ENSDART00000193879,ankar
ENSDARG00000000516,ENSDART00000100342,ankar
ENSDARG00000000529,ENSDART00000000552,ofd1
ENSDARG00000000540,ENSDART00000187769,asnsd1
ENSDARG00000000540,ENSDART00000000564,asnsd1
ENSDARG00000000540,ENSDART00000180078,asnsd1
ENSDARG00000000540,ENSDART00000182552,asnsd1
ENSDARG00000000540,ENSDART00000131681,asnsd1
ENSDARG00000000540,ENSDART00000166785,asnsd1
ENSDARG00000000542,ENSDART00000138386,gtf2e1
ENSDARG00000000542,ENSDART00000148195,gtf2e1
ENSDARG00000000542,ENSDART00000146860,gtf2e1
ENSDARG00000000542,ENSDART00000161068,gtf2e1
ENSDARG00000000542,ENSDART00000000566,gtf2e1
ENSDARG00000000551,ENSDART00000043004,slc1a4
ENSDARG00000000551,ENSDART00000057584,slc1a4
ENSDARG00000000563,ENSDART00000125953,
ENSDARG00000000563,ENSDART00000191396,
ENSDARG00000000563,ENSDART00000193688,
ENSDARG00000000567,ENSDART00000155518,znf281a
ENSDARG00000000567,ENSDART00000193045,znf281a
ENSDARG00000000568,ENSDART00000032770,ell
ENSDARG00000000568,ENSDART00000185845,ell
ENSDARG00000000568,ENSDART00000179672,ell
ENSDARG00000000568,ENSDART00000100642,ell
ENSDARG00000000588,ENSDART00000103343,tamalin
ENSDARG00000000606,ENSDART00000141317,DNAH6
ENSDARG00000000606,ENSDART00000137429,DNAH6
ENSDARG00000000606,ENSDART00000054388,DNAH6
ENSDARG00000000631,ENSDART00000183391,ptpn4a
ENSDARG00000000631,ENSDART00000188836,ptpn4a
ENSDARG00000000631,ENSDART00000000670,ptpn4a
ENSDARG00000000631,ENSDART00000078823,ptpn4a
ENSDARG00000000631,ENSDART00000151941,ptpn4a
ENSDARG00000000638,ENSDART00000000678,opn1mw4
ENSDARG00000000651,ENSDART00000000693,osgepl1
ENSDARG00000000656,ENSDART00000000698,psmb9a
ENSDARG00000000666,ENSDART00000142726,creg2
ENSDARG00000000690,ENSDART00000000744,sypl2b
ENSDARG00000000729,ENSDART00000123443,daxx
ENSDARG00000000729,ENSDART00000124094,daxx
ENSDARG00000000729,ENSDART00000122815,daxx
ENSDARG00000000730,ENSDART00000151055,slc6a22.1
ENSDARG00000000730,ENSDART00000132484,slc6a22.1
ENSDARG00000000730,ENSDART00000001861,slc6a22.1
ENSDARG00000000730,ENSDART00000128723,slc6a22.1
ENSDARG00000000747,ENSDART00000112415,lcmt2
ENSDARG00000000747,ENSDART00000144481,lcmt2
ENSDARG00000000760,ENSDART00000000831,znf511
ENSDARG00000000767,ENSDART00000093279,spi1b
ENSDARG00000000767,ENSDART00000036729,spi1b
ENSDARG00000000767,ENSDART00000126831,spi1b
ENSDARG00000000767,ENSDART00000173776,spi1b
ENSDARG00000000779,ENSDART00000134735,scfd1
ENSDARG00000000796,ENSDART00000184206,nr4a1
ENSDARG00000000796,ENSDART00000155905,nr4a1
ENSDARG00000000796,ENSDART00000000876,nr4a1
ENSDARG00000000796,ENSDART00000157479,nr4a1
ENSDARG00000000796,ENSDART00000166682,nr4a1
ENSDARG00000000804,ENSDART00000136932,rassf6
ENSDARG00000000804,ENSDART00000000887,rassf6
ENSDARG00000000830,ENSDART00000131975,telo2
ENSDARG00000000830,ENSDART00000187591,telo2
ENSDARG00000000837,ENSDART00000142672,snx9a
ENSDARG00000000837,ENSDART00000104476,snx9a
ENSDARG00000000837,ENSDART00000098593,snx9a
ENSDARG00000000853,ENSDART00000067637,dstyk
ENSDARG00000000853,ENSDART00000106645,dstyk
ENSDARG00000000857,ENSDART00000040362,mapk14a
ENSDARG00000000857,ENSDART00000135437,mapk14a
ENSDARG00000000857,ENSDART00000187430,mapk14a
ENSDARG00000000861,ENSDART00000173688,scrib
ENSDARG00000000861,ENSDART00000173740,scrib
ENSDARG00000000861,ENSDART00000174204,scrib
ENSDARG00000000861,ENSDART00000174212,scrib
ENSDARG00000000861,ENSDART00000173878,scrib
ENSDARG00000000861,ENSDART00000173655,scrib
ENSDARG00000000861,ENSDART00000173814,scrib
ENSDARG00000000861,ENSDART00000173474,scrib
ENSDARG00000000861,ENSDART00000164200,scrib
ENSDARG00000000861,ENSDART00000074212,scrib
ENSDARG00000000887,ENSDART00000138849,zgc:56699
ENSDARG00000000887,ENSDART00000000992,zgc:56699
ENSDARG00000000887,ENSDART00000138156,zgc:56699
ENSDARG00000000906,ENSDART00000052660,skap2
ENSDARG00000000906,ENSDART00000137344,skap2
ENSDARG00000000935,ENSDART00000137254,unk
ENSDARG00000000935,ENSDART00000131300,unk
ENSDARG00000000935,ENSDART00000190278,unk
ENSDARG00000000943,ENSDART00000049695,dzip1
ENSDARG00000000943,ENSDART00000136088,dzip1
ENSDARG00000000943,ENSDART00000125912,dzip1
ENSDARG00000000943,ENSDART00000083424,dzip1
ENSDARG00000000943,ENSDART00000177226,dzip1
ENSDARG00000000966,ENSDART00000001092,ncor2
ENSDARG00000000966,ENSDART00000140618,ncor2
ENSDARG00000000966,ENSDART00000133292,ncor2
ENSDARG00000000966,ENSDART00000051139,ncor2
ENSDARG00000001014,ENSDART00000137105,MYH9
ENSDARG00000001014,ENSDART00000092373,MYH9
ENSDARG00000001014,ENSDART00000182438,MYH9
ENSDARG00000001015,ENSDART00000150957,znf384a
ENSDARG00000001015,ENSDART00000145741,znf384a
ENSDARG00000001015,ENSDART00000167640,znf384a
ENSDARG00000001015,ENSDART00000104891,znf384a
ENSDARG00000001015,ENSDART00000141913,znf384a
ENSDARG00000001057,ENSDART00000001201,bysl
ENSDARG00000001127,ENSDART00000003494,slc17a6a
ENSDARG00000001129,ENSDART00000045881,dicer1
ENSDARG00000001129,ENSDART00000170429,dicer1
ENSDARG00000001154,ENSDART00000185935,RIMBP2
ENSDARG00000001154,ENSDART00000186879,RIMBP2
ENSDARG00000001154,ENSDART00000188965,RIMBP2
ENSDARG00000001154,ENSDART00000001313,RIMBP2
ENSDARG00000001154,ENSDART00000188902,RIMBP2
ENSDARG00000001154,ENSDART00000186449,RIMBP2
ENSDARG00000001154,ENSDART00000136269,RIMBP2
ENSDARG00000001162,ENSDART00000173345,
ENSDARG00000001162,ENSDART00000172802,
ENSDARG00000001162,ENSDART00000135004,
ENSDARG00000001169,ENSDART00000001331,hsd17b8
ENSDARG00000001169,ENSDART00000123934,hsd17b8
ENSDARG00000001169,ENSDART00000151220,hsd17b8
ENSDARG00000001210,ENSDART00000001376,arl14ep
ENSDARG00000001220,ENSDART00000039157,mycbp2
ENSDARG00000001234,ENSDART00000009367,map4k2
ENSDARG00000001234,ENSDART00000173759,map4k2
ENSDARG00000001241,ENSDART00000185388,puf60b
ENSDARG00000001241,ENSDART00000166448,puf60b
ENSDARG00000001241,ENSDART00000038487,puf60b
ENSDARG00000001241,ENSDART00000173463,puf60b
ENSDARG00000001241,ENSDART00000174003,puf60b
ENSDARG00000001241,ENSDART00000052274,puf60b
ENSDARG00000001241,ENSDART00000173852,puf60b
ENSDARG00000001241,ENSDART00000173827,puf60b
ENSDARG00000001241,ENSDART00000143285,puf60b
ENSDARG00000001244,ENSDART00000148483,srrm1
ENSDARG00000001244,ENSDART00000150195,srrm1
ENSDARG00000001244,ENSDART00000149790,srrm1
ENSDARG00000001244,ENSDART00000149557,srrm1
ENSDARG00000001244,ENSDART00000121848,srrm1
ENSDARG00000001244,ENSDART00000149747,srrm1
ENSDARG00000001244,ENSDART00000148856,srrm1
ENSDARG00000001244,ENSDART00000149241,srrm1
ENSDARG00000001249,ENSDART00000168074,pcgf1
ENSDARG00000001249,ENSDART00000001424,pcgf1
ENSDARG00000001259,ENSDART00000034313,GAS2
ENSDARG00000001259,ENSDART00000187659,GAS2
ENSDARG00000001303,ENSDART00000104838,psmb8a
ENSDARG00000001303,ENSDART00000147177,psmb8a
ENSDARG00000001313,ENSDART00000001444,g2e3
ENSDARG00000001313,ENSDART00000132811,g2e3
ENSDARG00000001354,ENSDART00000143577,slc6a22.2
ENSDARG00000001354,ENSDART00000191395,slc6a22.2
ENSDARG00000001414,ENSDART00000193765,mctp2a
ENSDARG00000001414,ENSDART00000136489,mctp2a
ENSDARG00000001414,ENSDART00000001102,mctp2a
ENSDARG00000001414,ENSDART00000189030,mctp2a
ENSDARG00000001431,ENSDART00000001649,actn3b
ENSDARG00000001431,ENSDART00000122185,actn3b
ENSDARG00000001431,ENSDART00000189886,actn3b
ENSDARG00000001437,ENSDART00000025414,slc2a1a
ENSDARG00000001442,ENSDART00000172791,inppl1b
ENSDARG00000001442,ENSDART00000105745,inppl1b
ENSDARG00000001447,ENSDART00000142545,mier1b
ENSDARG00000001452,ENSDART00000001678,adam8a
ENSDARG00000001452,ENSDART00000139572,adam8a
ENSDARG00000001463,ENSDART00000158516,tdh2
ENSDARG00000001463,ENSDART00000162536,tdh2
ENSDARG00000001463,ENSDART00000001691,tdh2
ENSDARG00000001470,ENSDART00000048445,mhc1zea
ENSDARG00000001470,ENSDART00000176803,mhc1zea
ENSDARG00000001470,ENSDART00000159925,mhc1zea
ENSDARG00000001470,ENSDART00000101143,mhc1zea
ENSDARG00000001498,ENSDART00000153189,skap1
ENSDARG00000001498,ENSDART00000153030,skap1
ENSDARG00000001498,ENSDART00000001737,skap1
ENSDARG00000001549,ENSDART00000001795,sp3a
ENSDARG00000001549,ENSDART00000123342,sp3a
ENSDARG00000001549,ENSDART00000177563,sp3a
ENSDARG00000001557,ENSDART00000139105,tomm34
ENSDARG00000001557,ENSDART00000147754,tomm34
ENSDARG00000001557,ENSDART00000133554,tomm34
ENSDARG00000001557,ENSDART00000001803,tomm34
ENSDARG00000001557,ENSDART00000191243,tomm34
ENSDARG00000001558,ENSDART00000160482,kifc1
ENSDARG00000001558,ENSDART00000158758,kifc1
ENSDARG00000001558,ENSDART00000193566,kifc1
ENSDARG00000001559,ENSDART00000132471,
ENSDARG00000001559,ENSDART00000151348,
ENSDARG00000001559,ENSDART00000189743,
ENSDARG00000001559,ENSDART00000186003,
ENSDARG00000001559,ENSDART00000193856,
ENSDARG00000001572,ENSDART00000001821,prf1.3
ENSDARG00000001572,ENSDART00000145003,prf1.3
ENSDARG00000001578,ENSDART00000001830,echs1
ENSDARG00000001621,ENSDART00000135973,nfyal
ENSDARG00000001621,ENSDART00000003493,nfyal
ENSDARG00000001634,ENSDART00000142924,kirrel1a
ENSDARG00000001634,ENSDART00000009695,kirrel1a
ENSDARG00000001656,ENSDART00000001930,psmb13a
ENSDARG00000001656,ENSDART00000134850,psmb13a
ENSDARG00000001676,ENSDART00000137214,gpm6bb
ENSDARG00000001676,ENSDART00000085693,gpm6bb
ENSDARG00000001686,ENSDART00000030885,uckl1a
ENSDARG00000001710,ENSDART00000139122,flot1a
ENSDARG00000001710,ENSDART00000178832,flot1a
ENSDARG00000001712,ENSDART00000052698,s100p
ENSDARG00000001712,ENSDART00000160570,s100p
ENSDARG00000001721,ENSDART00000139945,oc90
ENSDARG00000001721,ENSDART00000144317,oc90
ENSDARG00000001721,ENSDART00000098303,oc90
ENSDARG00000001729,ENSDART00000126967,strn3
ENSDARG00000001733,ENSDART00000138133,gulp1a
ENSDARG00000001733,ENSDART00000002027,gulp1a
ENSDARG00000001733,ENSDART00000192224,gulp1a
ENSDARG00000001733,ENSDART00000191186,gulp1a
ENSDARG00000001734,ENSDART00000002029,fkbp8
ENSDARG00000001754,ENSDART00000122945,noc2l
ENSDARG00000001754,ENSDART00000141853,noc2l
ENSDARG00000001754,ENSDART00000091662,noc2l
ENSDARG00000001760,ENSDART00000014439,
ENSDARG00000001760,ENSDART00000185748,
ENSDARG00000001767,ENSDART00000131646,slc29a2
ENSDARG00000001767,ENSDART00000148161,slc29a2
ENSDARG00000001769,ENSDART00000101956,ptpra
ENSDARG00000001769,ENSDART00000026903,ptpra
ENSDARG00000001771,ENSDART00000132859,otol1a
ENSDARG00000001776,ENSDART00000012089,stim2b
ENSDARG00000001777,ENSDART00000010626,nup155
ENSDARG00000001777,ENSDART00000137285,nup155
ENSDARG00000001781,ENSDART00000138661,tspan11
ENSDARG00000001781,ENSDART00000193598,tspan11
ENSDARG00000001782,ENSDART00000011183,prkacba
ENSDARG00000001782,ENSDART00000158112,prkacba
ENSDARG00000001785,ENSDART00000183394,irx2a
ENSDARG00000001785,ENSDART00000148452,irx2a
ENSDARG00000001785,ENSDART00000016303,irx2a
ENSDARG00000001785,ENSDART00000148602,irx2a
ENSDARG00000001788,ENSDART00000142453,atp5po
ENSDARG00000001788,ENSDART00000141849,atp5po
ENSDARG00000001788,ENSDART00000005879,atp5po
ENSDARG00000001803,ENSDART00000134201,kcnh6a
ENSDARG00000001803,ENSDART00000090809,kcnh6a
ENSDARG00000001804,ENSDART00000014103,zgc:112148
ENSDARG00000001804,ENSDART00000189908,zgc:112148
ENSDARG00000001804,ENSDART00000183146,zgc:112148
ENSDARG00000001804,ENSDART00000183087,zgc:112148
ENSDARG00000001807,ENSDART00000037855,tnfrsf21
ENSDARG00000001817,ENSDART00000016143,
ENSDARG00000001818,ENSDART00000108737,c3b.2
ENSDARG00000001825,ENSDART00000147713,CFAP43
ENSDARG00000001829,ENSDART00000024606,zgc:112982
ENSDARG00000001829,ENSDART00000144664,zgc:112982
ENSDARG00000001829,ENSDART00000146736,zgc:112982
ENSDARG00000001829,ENSDART00000111096,zgc:112982
ENSDARG00000001829,ENSDART00000160578,zgc:112982
ENSDARG00000001835,ENSDART00000135022,nalcn
ENSDARG00000001835,ENSDART00000145204,nalcn
ENSDARG00000001835,ENSDART00000142289,nalcn
ENSDARG00000001835,ENSDART00000186889,nalcn
ENSDARG00000001835,ENSDART00000048469,nalcn
ENSDARG00000001857,ENSDART00000151350,aff4
ENSDARG00000001857,ENSDART00000151512,aff4
ENSDARG00000001857,ENSDART00000151748,aff4
ENSDARG00000001859,ENSDART00000015681,dbx1b
ENSDARG00000001870,ENSDART00000048828,atp1a1a.4
ENSDARG00000001870,ENSDART00000141426,atp1a1a.4
ENSDARG00000001870,ENSDART00000123205,atp1a1a.4
ENSDARG00000001873,ENSDART00000012938,phgdh
ENSDARG00000001879,ENSDART00000143666,NAV2
ENSDARG00000001879,ENSDART00000137935,NAV2
ENSDARG00000001880,ENSDART00000161435,stx3b
ENSDARG00000001880,ENSDART00000169942,stx3b
ENSDARG00000001880,ENSDART00000073707,stx3b
ENSDARG00000001880,ENSDART00000183667,stx3b
ENSDARG00000001881,ENSDART00000143529,cacnb3a
ENSDARG00000001881,ENSDART00000087280,cacnb3a
ENSDARG00000001882,ENSDART00000188187,kbtbd12
ENSDARG00000001882,ENSDART00000035101,kbtbd12
ENSDARG00000001888,ENSDART00000126725,ppm1ba
ENSDARG00000001888,ENSDART00000144755,ppm1ba
ENSDARG00000001888,ENSDART00000190925,ppm1ba
ENSDARG00000001889,ENSDART00000009277,tuba1a
ENSDARG00000001890,ENSDART00000102525,stt3b
ENSDARG00000001890,ENSDART00000191330,stt3b
ENSDARG00000001891,ENSDART00000136079,syt14b
ENSDARG00000001891,ENSDART00000175069,syt14b
ENSDARG00000001897,ENSDART00000004780,man2b1
ENSDARG00000001897,ENSDART00000141062,man2b1
ENSDARG00000001898,ENSDART00000142972,manea
ENSDARG00000001898,ENSDART00000189936,manea
ENSDARG00000001898,ENSDART00000132571,manea
ENSDARG00000001906,ENSDART00000132853,si:dkey-247m21.3
ENSDARG00000001906,ENSDART00000025860,si:dkey-247m21.3
ENSDARG00000001909,ENSDART00000048940,vill
ENSDARG00000001910,ENSDART00000173723,rorab
ENSDARG00000001910,ENSDART00000019140,rorab
ENSDARG00000001912,ENSDART00000169248,drd4-rs
ENSDARG00000001912,ENSDART00000003420,drd4-rs
ENSDARG00000001913,ENSDART00000137848,palmda
ENSDARG00000001913,ENSDART00000006817,palmda
ENSDARG00000001913,ENSDART00000185940,palmda
ENSDARG00000001929,ENSDART00000006436,pink1
ENSDARG00000001930,ENSDART00000005331,klhl15
ENSDARG00000001930,ENSDART00000128446,klhl15
ENSDARG00000001930,ENSDART00000180687,klhl15
ENSDARG00000001930,ENSDART00000183812,klhl15
ENSDARG00000001933,ENSDART00000142649,prkag2b
ENSDARG00000001933,ENSDART00000192832,prkag2b
ENSDARG00000001937,ENSDART00000019804,
ENSDARG00000001939,ENSDART00000149490,b3gat3
ENSDARG00000001939,ENSDART00000149966,b3gat3
ENSDARG00000001939,ENSDART00000175583,b3gat3
ENSDARG00000001940,ENSDART00000147726,dnajc1
ENSDARG00000001940,ENSDART00000079518,dnajc1
ENSDARG00000001940,ENSDART00000123539,dnajc1
ENSDARG00000001940,ENSDART00000123008,dnajc1
ENSDARG00000001950,ENSDART00000013404,ak1
ENSDARG00000001950,ENSDART00000187767,ak1
ENSDARG00000001953,ENSDART00000136720,pfkfb3
ENSDARG00000001953,ENSDART00000133991,pfkfb3
ENSDARG00000001953,ENSDART00000133237,pfkfb3
ENSDARG00000001953,ENSDART00000041402,pfkfb3
ENSDARG00000001953,ENSDART00000159941,pfkfb3
ENSDARG00000001968,ENSDART00000135834,dock5
ENSDARG00000001969,ENSDART00000103449,txlng
ENSDARG00000001969,ENSDART00000104143,txlng
ENSDARG00000001969,ENSDART00000191178,txlng
ENSDARG00000001971,ENSDART00000147072,cthrc1b
ENSDARG00000001971,ENSDART00000190202,cthrc1b
ENSDARG00000001971,ENSDART00000190549,cthrc1b
ENSDARG00000001971,ENSDART00000181240,cthrc1b
ENSDARG00000001975,ENSDART00000141211,hsd11b2
ENSDARG00000001976,ENSDART00000007856,
ENSDARG00000001993,ENSDART00000156295,myhb
ENSDARG00000001993,ENSDART00000026257,myhb
ENSDARG00000001994,ENSDART00000015629,stxbp1a
ENSDARG00000001994,ENSDART00000148199,stxbp1a
ENSDARG00000001994,ENSDART00000171306,stxbp1a
ENSDARG00000001999,ENSDART00000004120,adamts18
ENSDARG00000001999,ENSDART00000190350,adamts18
ENSDARG00000002002,ENSDART00000157127,lmcd1
ENSDARG00000002002,ENSDART00000153841,lmcd1
ENSDARG00000002006,ENSDART00000021596,rxrbb
ENSDARG00000002006,ENSDART00000147844,rxrbb
ENSDARG00000002006,ENSDART00000180168,rxrbb
ENSDARG00000002013,ENSDART00000140665,grb10a
ENSDARG00000002013,ENSDART00000042172,grb10a
ENSDARG00000002016,ENSDART00000051663,ppil2
ENSDARG00000002020,ENSDART00000184832,
ENSDARG00000002020,ENSDART00000142961,
ENSDARG00000002020,ENSDART00000181746,
ENSDARG00000002020,ENSDART00000058311,
ENSDARG00000002021,ENSDART00000022830,pygb
ENSDARG00000002026,ENSDART00000136913,QKI
ENSDARG00000002026,ENSDART00000183554,QKI
ENSDARG00000002026,ENSDART00000018737,QKI
ENSDARG00000002026,ENSDART00000189841,QKI
ENSDARG00000002026,ENSDART00000131553,QKI
ENSDARG00000002026,ENSDART00000139958,QKI
ENSDARG00000002031,ENSDART00000056544,tox4a
ENSDARG00000002037,ENSDART00000189116,pfkfb2b
ENSDARG00000002037,ENSDART00000185438,pfkfb2b
ENSDARG00000002037,ENSDART00000180504,pfkfb2b
ENSDARG00000002037,ENSDART00000156431,pfkfb2b
ENSDARG00000002037,ENSDART00000156276,pfkfb2b
ENSDARG00000002060,ENSDART00000020297,brf2
ENSDARG00000002060,ENSDART00000160174,brf2
ENSDARG00000002060,ENSDART00000183850,brf2
ENSDARG00000002060,ENSDART00000169493,brf2
ENSDARG00000002060,ENSDART00000141190,brf2
ENSDARG00000002071,ENSDART00000018155,adss2
ENSDARG00000002077,ENSDART00000006648,mnat1
ENSDARG00000002082,ENSDART00000146886,csnk2a1
ENSDARG00000002082,ENSDART00000140880,csnk2a1
ENSDARG00000002082,ENSDART00000008297,csnk2a1
ENSDARG00000002082,ENSDART00000147373,csnk2a1
ENSDARG00000002082,ENSDART00000056551,csnk2a1
ENSDARG00000002082,ENSDART00000192354,csnk2a1
ENSDARG00000002084,ENSDART00000147326,lamb2
ENSDARG00000002097,ENSDART00000149308,
ENSDARG00000002127,ENSDART00000141170,stam
ENSDARG00000002127,ENSDART00000142727,stam
ENSDARG00000002128,ENSDART00000026509,cwf19l1
ENSDARG00000002131,ENSDART00000133433,celf2
ENSDARG00000002131,ENSDART00000017443,celf2
ENSDARG00000002131,ENSDART00000138873,celf2
ENSDARG00000002131,ENSDART00000135942,celf2
ENSDARG00000002131,ENSDART00000128368,celf2
ENSDARG00000002131,ENSDART00000077926,celf2
ENSDARG00000002131,ENSDART00000132615,celf2
ENSDARG00000002131,ENSDART00000139439,celf2
ENSDARG00000002165,ENSDART00000005105,psme1
ENSDARG00000002165,ENSDART00000133925,psme1
ENSDARG00000002167,ENSDART00000127275,cacnb1
ENSDARG00000002167,ENSDART00000130611,cacnb1
ENSDARG00000002167,ENSDART00000057159,cacnb1
ENSDARG00000002167,ENSDART00000111707,cacnb1
ENSDARG00000002167,ENSDART00000012835,cacnb1
ENSDARG00000002168,ENSDART00000146127,tra2b
ENSDARG00000002168,ENSDART00000132331,tra2b
ENSDARG00000002168,ENSDART00000021266,tra2b
ENSDARG00000002168,ENSDART00000146059,tra2b
ENSDARG00000002168,ENSDART00000142024,tra2b
ENSDARG00000002168,ENSDART00000184900,tra2b
ENSDARG00000002172,ENSDART00000074125,aplnra
ENSDARG00000002174,ENSDART00000013313,itfg2
ENSDARG00000002184,ENSDART00000146814,igbp1
ENSDARG00000002184,ENSDART00000006899,igbp1
ENSDARG00000002190,ENSDART00000018472,chmp2bb
ENSDARG00000002192,ENSDART00000143164,aspn
ENSDARG00000002192,ENSDART00000064798,aspn
ENSDARG00000002192,ENSDART00000184366,aspn
ENSDARG00000002193,ENSDART00000027000,rho
ENSDARG00000002194,ENSDART00000020663,rhd
ENSDARG00000002194,ENSDART00000137566,rhd
ENSDARG00000002196,ENSDART00000164375,bach1b
ENSDARG00000002196,ENSDART00000047541,bach1b
ENSDARG00000002197,ENSDART00000149011,pygl
ENSDARG00000002197,ENSDART00000023449,pygl
ENSDARG00000002204,ENSDART00000026430,hspb9l
ENSDARG00000002210,ENSDART00000149363,stk25a
