Index	NumberPSM	ProteinID	MaxPepProb	ReferenceIntensity	whole_cell	migrasome
Bag6	10	A3KPW9	0.9985	30.64721964045006	30.87446810654694	29.930123748698968
Ctnna2	1	B7ZC77	0.9997	24.13711080785431	23.694244272366994	24.772333544585486
Fam174b	1	Q1LVN1	0.9942	17.569958181171952	17.364153462998765	17.937282888484376
LYRM7	21	A5PLG0	1.0	32.13970939437514	31.48852870685942	32.948170808027655
Maco1a	3	Q2TLY2	0.9893	25.621517653629137	25.366815624515255	26.052174752046078
Ninl	7	G9G127	0.9987	28.454998172949008	28.328315833839177	28.70841816859868
P0C8Y2	5	P0C8Y2	1.0	30.18396949368587	29.47005052369761	31.036472033899013
P5436	8	Q6NWH0	1.0	28.6341377098468	28.411526916264993	29.023753206467266
Prorsd1	6	Q6PFS2	1.0	29.420387592931498	29.56277411441505	29.125691379894228
Q0P3X7	11	Q0P3X7	0.9939	31.582641884318026	30.748851986095485	32.5109282316406
Selenom	3	Q802G7	1.0	28.047596915815543	28.100829031183277	27.971024517626468
Tmem17b	2	A5D6V4	0.986	26.131574874127807	26.163046480558922	26.031491682390566
aacs	26	A3QK15	1.0	30.543496926531144	30.82363284527204	29.79086881247514
aamdc	3	Q502H1	0.9948	26.297988195713653	26.085606912242017	26.6741219781765
aarsd1	11	Q6DEJ5	1.0	28.382529746255234	28.592773331708564	27.916494618684425
abcb7	68	E7F6F7	1.0	31.43733905777709	30.68112045766212	32.323212649205985
abcb8	32	Q56A55	1.0	30.408767401395753	29.72233799818613	31.24229128230299
abcd1	3	F1RBC8	0.9968	29.175466698372453	28.907527139591753	29.622447529685463
abhd11	2	Q6DRD9	0.9878	27.01827498551241	27.0184313774498	27.05036753715362
abhd12	6	Q08C93	0.9998	27.137723220069276	26.546208689345903	27.881257814432594
abhd13	7	Q32LS6	1.0	29.07485683529374	28.41827056182699	29.88724306106854
abhd14a	35	Q1LV46	1.0	33.494007816074024	32.750296653612025	34.366320037140184
abhd17c	16	Q7ZVZ7	1.0	30.54879894541575	30.15571595182113	31.134569749486737
abitram	4	Q1LU93	0.9982	26.84938161939207	26.9867318440207	26.53299205937244
abracl	4	Q6TGV7	1.0	30.052936294556	29.648369922217007	30.048581917102517
abraxas1	1	Q1LVP6	0.9882	26.44445701351593	26.84352377488094	25.0681572276003
abraxas2	8	A0A8M3AJY3	1.0	28.762799403693016	28.98659524628283	28.22207976013806
acat1	219	Q6AZA0	1.0	35.78492826075867	35.1079862523887	36.61224190772824
acbd5a	18	Q502L1	1.0	29.854694547730823	29.26339802528511	30.617800600219876
acbd6	15	Q4V8X4	1.0	29.700111383540793	29.922389904063685	29.164547212702583
acer1	2	Q568I2	0.9996	22.9139464627797	22.829370967185056	22.68506016200023
acp7	1	A5D6U8	0.9969	24.41593496950978	24.145285017025984	24.86621714956958
acsf2	63	Q0P4F7	1.0	32.67215999611397	31.98998536859555	33.50607125102936
actba	695	Q7ZVI7	1.0	17.569958181171952	17.762036180847367	17.084732364469858
actbb	43	Q7ZVF9	1.0	34.71307457201799	34.90680094941316	34.184593562693486
actr2a	53	Q7SXW6	1.0	32.52187151351099	32.71992307787003	32.0654836939627
actr2b	1	Q56A35	0.9983	17.569958181171952	17.35774535166938	17.94586749477728
actr8	10	P59679	1.0	27.673804320803956	27.826975908226654	27.35009641928133
acy3.1	2	Q6DHI0	1.0	25.181593349863505	25.23534030920853	25.103850041122886
adal	2	Q4V9P6	0.9987	28.568323200556645	28.948135507250978	27.016042510963562
adgra3	10	S4X0Q8	1.0	27.361822302520164	27.0330261008949	27.879255616237167
adi1	29	Q6PBX5	1.0	32.02484021330091	32.249916660609934	31.449860598081138
adnpa	35	F1QLG5	1.0	30.77210942779207	30.977716269776526	30.29307665564652
adprs	9	Q66HT8	0.9999	29.83748511221024	29.774214755310318	29.987491606470506
adrm1b	42	Q6NZ09	1.0	33.65364680031129	33.81253561866314	32.75185659555841
adss1	4	Q6NSN5	0.999	25.878166061331523	25.94674443256027	25.74667632109617
adss2	2	Q568F6	0.9517	19.69208068011637	20.17735321753634	17.478654301232403
aebp2	7	Q7SXV2	1.0	27.929053082607886	28.237736386542313	27.0550656723823
afmid	24	Q566U4	1.0	31.06799513467769	31.155666077854043	30.96594350891964
agk	41	Q7ZW00	1.0	32.501281700529965	31.76283092503192	33.39360856959322
ago3	18	A3KPK0	1.0	30.069428543113332	29.922745148194224	30.352353646600665
aida	10	Q6PBN2	1.0	28.69060299915339	28.338394495441545	29.232292354819844
ak2	129	Q1L8L9	1.0	35.15041411900078	34.47522141894303	35.98171452322756
akr1a1a	1	Q6AZW2	0.9549	26.3487139284876	26.20538694728077	26.627387288096617
akr1a1b	71	Q568L5	1.0	33.429497111845876	33.554764220243165	33.1811830278967
aktip	1	Q7ZYX1	1.0	25.901131071938362	25.461685227645344	26.533100257516892
aldh4a1	70	Q7SY23	1.0	33.31795140002523	32.7226583418054	34.08427390755371
aldh8a1	14	Q66I21	1.0	34.273943316969174	33.98686752906827	34.72215069920199
aldh9a1a	247	Q7ZVB2	1.0	36.52710871745967	36.713800076413406	35.90622077828118
aldh9a1b	128	Q802W2	1.0	34.78786079505046	34.1671822493461	35.5677227790059
aldob	62	Q8JH71	1.0	33.391374912544244	33.550925164485605	32.90503559658349
aldocb	84	Q8JH70	1.0	34.42578090366724	34.54500010855038	34.081521331770645
alg11	26	Q7ZW24	1.0	31.26799109965018	30.527059501602082	32.13854252372594
ambra1b	4	X1WHY6	0.9961	24.83786372197748	24.952734701730716	24.61583198895891
amdhd2	1	Q6P0U0	0.9994	26.04300702938433	26.154280954458404	25.83039253135818
amer1	2	F1RDM5	0.9996	25.3836849369155	25.35926108346732	25.46206869893388
amfra	6	F1QB30	0.9997	28.958423267126395	28.688637999437624	29.390277892474003
amn1	1	Q0P4D1	0.9999	23.706598877104625	23.42447095681568	24.170710653860386
amotl2a	2	A1YB07	0.9163	27.927084576147152	28.04343868819425	27.681594978351974
angel2	9	Q5RGT6	1.0	29.37920277638843	29.020162141375256	29.930106598122972
ankhb	1	P58368	0.9996	24.87703731465579	24.30282301315873	25.62673182504037
ankib1	4	Q1L8G6	0.9995	25.17986274646967	24.98486979889529	25.517199194172296
ankrd46	4	Q6TNT2	0.9997	26.193680156752038	25.944066181741647	26.5802923339475
ankrd52	15	Q502K3	1.0	28.838411088323152	28.983442870486186	28.53658007574831
