Index	NumberPSM	ProteinID	MaxPepProb	ReferenceIntensity	0hpf_1	0hpf_2	0hpf_3	0hpf_4	2hpf_1	2hpf_2	2hpf_3	2hpf_4	4hpf_1	4hpf_2	4hpf_3	4hpf_4	6hpf_1	6hpf_2	6hpf_3	6hpf_4
Fam174b	3	Q1LVN1	0.996	22.638100942009437	22.691727550988787	22.72621137259105	22.771808269193105	22.759699217815943	22.78224244605769	22.63764748181585	22.628802821519972	22.487437211669203	22.899090529518922	22.91328471827512	22.90424686011726	22.44924509516822	22.533256278665228	22.886743494489316	22.68090650337258	22.66184583291649
LYRM7	2	A5PLG0	0.9908	23.902163169102764	24.587396603878297	24.12164925225169	24.091270901775875	24.06742690709229	23.89122190933061	23.831791166570785	24.08028259556558	24.226386070805706	23.89755780493372	23.907789499320035	23.72280938621125	23.69407028663154	23.505803155739	23.735326553289735	23.633133509122732	23.803855149724793
P0C8Y2	2	P0C8Y2	0.9984	25.94249654731066	26.146855606364017	25.693683078950073	25.87488170941008	25.82802975941213	26.05421335584904	25.865055562872715	26.07555548382079	26.122653887172515	26.19945916995206	25.969230004309544	25.88243849623149	26.092747141714796	26.155906588989872	25.82093589396959	25.9108127309961	25.916823178236278
aacs	1	A3QK15	0.926	18.899090411084078	NA	NA	17.750519470002846	NA	NA	19.27715481735881	NA	NA	19.22845204066457	17.744020020599258	18.16962851113312	18.578792829787837	20.011418199553706	17.871953611481278	19.071630091259728	19.03285714304387
abhd14a	2	Q1LV46	0.9566	25.142922965923923	24.52234302773499	23.27315489649563	25.868784202562715	25.92057123925663	26.223666026783377	26.88200254674721	23.857614156517954	26.6467214988561	23.905415699507742	24.088999231335862	23.284730804792115	23.449759037779007	23.957430138379006	23.553481433050916	23.522561648382915	24.05169873917307
acat1	1	Q6AZA0	0.9285	20.15802240769597	19.34506400685339	19.80952794576593	20.102588341237166	19.915628847068866	20.0039756730215	20.917051993611736	19.033204383764993	20.111096751072626	20.14877995588522	19.808798342412185	19.94274028276041	20.1598843396267	20.77650240806577	20.04531985743081	20.268953070505972	20.963681400182328
actba	13	Q7ZVI7	0.9994	30.30487305470138	29.745332815608492	29.483723938477347	29.595218811727133	29.569651560099565	29.326363001588913	30.732250044006115	29.347737426233568	29.90962177527554	31.00000576860374	29.962242651602338	30.32769947532034	30.2584007036314	30.70977896402697	30.300463497447918	30.51292492098754	30.954619356175602
adrm1b	2	Q6NZ09	0.9575	28.130346391124686	28.172013477587885	28.379819954360265	28.224890197453792	27.99930668156227	28.17621912670959	28.20814731966116	28.130573923410818	28.177401596356784	28.141124112997115	27.806135902823293	27.872689407437733	28.029672138899716	28.074533633228995	28.468611663723784	28.351492191329484	28.183875093184927
ak2	2	Q1L8L9	0.9999	24.469146583853192	24.80283503270949	24.895323980599052	25.451082269969586	25.161289747142714	25.052554599410733	25.037075272661365	23.29611855435073	24.90023734458835	23.868093593886805	23.57588732857932	23.779225566212038	23.90560614016044	24.221671356137808	23.55200213526695	23.68079787638968	24.073277166097725
aldh9a1a	5	Q7ZVB2	0.9894	25.261325497634346	23.658128775788	24.137749339449076	24.28885286309122	23.494151217996947	24.581491574786536	25.484524238235917	23.687115336078865	23.941240791396694	25.53656286457292	24.714587291940845	25.33107966008992	25.180994354012274	26.281123624740168	25.10469755699339	25.7753508172521	26.170506307042846
