Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,WT Spectral Count,vtg1_KO Spectral Count,vtg3_KO Spectral Count,WT Unique Spectral Count,vtg1_KO Unique Spectral Count,vtg3_KO Unique Spectral Count,WT Total Spectral Count,vtg1_KO Total Spectral Count,vtg3_KO Total Spectral Count,WT_Oocyte_Intensity,vtg1_KO_Oocyte_Intensity,vtg3_KO_Oocyte_Intensity,WT MaxLFQ_Oocyte_Intensity,vtg1_KO MaxLFQ_Oocyte_Intensity,vtg3_KO MaxLFQ_Oocyte_Intensity,Indistinguishable Proteins
sp|A0A0R4IBK5|R213A_DANRE,A0A0R4IBK5,R213A_DANRE,rnf213a,5209,Danio rerio,3:Protein inferred from homology,E3 ubiquitin-protein ligase rnf213-alpha,0.9796,0.9891,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,
sp|A2BFC9|CFA77_DANRE,A2BFC9,CFA77_DANRE,cfap77,240,Danio rerio,3:Protein inferred from homology,Cilia- and flagella-associated protein 77,0.9796,0.9891,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,9252739100,0,0,0,
sp|B0S6C5|RTSTL_DANRE,B0S6C5,RTSTL_DANRE,retsatl,604,Danio rerio,1:Experimental evidence at protein level,"Inactive all-trans-retinol 13,14-reductase",0.9998,0.9891,3,4,4,4,0,3,1,0,3,1,0,3,1,0,740919810,357319424,0,0,0,
sp|F1QWM2|STYL2_DANRE,F1QWM2,STYL2_DANRE,styxl2,1100,Danio rerio,1:Experimental evidence at protein level,Serine/threonine/tyrosine-interacting-like protein 2,0.9796,0.9891,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,
sp|O57521|HS90B_DANRE,O57521,HS90B_DANRE,hsp90ab1,725,Danio rerio,1:Experimental evidence at protein level,Heat shock protein HSP 90-beta,0.9277,0.7198,2,2,2,2,0,0,2,0,0,2,0,0,2,0,0,103121848,0,0,0,
sp|O73872|SODC_DANRE,O73872,SODC_DANRE,sod1,154,Danio rerio,2:Experimental evidence at transcript level,Superoxide dismutase [Cu-Zn],0.9409,0.7477,2,2,2,2,0,2,0,0,2,0,0,2,0,0,174201728,0,0,0,0,
sp|P79735|RAN_DANRE,P79735,RAN_DANRE,ran,215,Danio rerio,2:Experimental evidence at transcript level,GTP-binding nuclear protein Ran,0.6767,0.7985,1,1,1,1,0,1,0,0,1,0,0,1,0,0,109259896,0,0,0,0,
sp|Q1LX29|TERB1_DANRE,Q1LX29,TERB1_DANRE,ccdc79,814,Danio rerio,3:Protein inferred from homology,Telomere repeats-binding bouquet formation protein 1,0.6357,0.7676,1,1,1,1,0,1,0,0,1,0,0,1,0,0,210569968,0,0,0,0,
sp|Q1MTI4|TPISA_DANRE,Q1MTI4,TPISA_DANRE,tpi1a,248,Danio rerio,2:Experimental evidence at transcript level,Triosephosphate isomerase A,0.9796,0.9891,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,223478736,0,0,0,
sp|Q5XJ10|G3P_DANRE,Q5XJ10,G3P_DANRE,gapdh,333,Danio rerio,2:Experimental evidence at transcript level,Glyceraldehyde-3-phosphate dehydrogenase,1,0.9891,6,12,12,12,1,5,6,1,5,6,1,5,6,43657104,2015603970,6959564300,324410752,749011260,967225410,
sp|Q6DGZ0|GPT11_DANRE,Q6DGZ0,GPT11_DANRE,gpatch11,262,Danio rerio,2:Experimental evidence at transcript level,G patch domain-containing protein 11,0.9796,0.9891,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,
sp|Q6P132|TXB1B_DANRE,Q6P132,TXB1B_DANRE,tax1bp1b,823,Danio rerio,2:Experimental evidence at transcript level,Tax1-binding protein 1 homolog B,0.9796,0.9891,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,
sp|Q6PE25|EF1G_DANRE,Q6PE25,EF1G_DANRE,eef1g,442,Danio rerio,2:Experimental evidence at transcript level,Elongation factor 1-gamma,0.5512,0.6992,1,1,1,1,1,0,0,1,0,0,1,0,0,22331352,0,0,0,0,0,
sp|Q7SXG4|SAE2_DANRE,Q7SXG4,SAE2_DANRE,uba2,650,Danio rerio,1:Experimental evidence at protein level,SUMO-activating enzyme subunit 2,0.607,0.7451,1,1,1,1,0,1,0,0,1,0,0,1,0,0,8925736,0,0,0,0,
