accession,name,ensembl_gene_id,ensembl_transcript_id,chromosome_name,2h_logFC,2h_adj.P.Val,4h_logFC,4h_adj.P.Val,6h_logFC,6h_adj.P.Val
A0A0R4I9C7,pou5f3,ENSDARG00000044774,ENSDART00000065817,21,1.0091701528910262,0.004388941098,1.1275320629789765,3.38025666848e-4,1.7526304145226257,1.945419069383e-6
A0A0R4IU36,alyref,ENSDARG00000077732,ENSDART00000166922,3,1.136586484993344,0.010252651204,2.3847064902065944,2.128428244e-6,2.98719309049707,6.9912317597e-8
A0A2R8QPY7,FO834857.1,ENSDARG00000112895,ENSDART00000183228,6,2.0229687827671725,2.5357461e-5,2.4542244470599477,6.34016662e-7,2.0528329088638477,1.740673582619e-6
A5JNG8,nanog,ENSDARG00000075113,ENSDART00000114762,24,1.8725167374809764,2.5357461e-5,2.2121683513733017,8.70509548e-7,2.0640639751041765,8.5250011747e-7
F1Q7Q6,marcksa,ENSDARG00000004049,ENSDART00000123096,20,1.2053896736201737,3.84395842e-4,1.8563847196362244,7.99742996e-7,3.705392865758074,7.4643946e-11
F1QM98,znf281b,ENSDARG00000035910,ENSDART00000141898,12,1.1099870672320484,4.61118755e-4,2.837384829059848,3.248102e-9,3.3883699575075985,1.11276346e-10
F1R211,sox19b,ENSDARG00000040266,ENSDART00000058910,7,1.1681402200500988,1.05918639e-4,1.991838501214074,5.1277697e-8,1.3841176823835488,1.55193453904e-6
Q1LU98,gmnn,ENSDARG00000035957,ENSDART00000132182,19,1.0413822484629265,1.4954317e-5,1.5086107623115277,2.6935614e-8,1.410676912509577,3.1929689763e-8
Q6PBZ5,aif1l,ENSDARG00000009336,ENSDART00000009500,5,1.5845704935900242,1.4954317e-5,2.991500972102223,1.681043e-9,3.95332386856185,1.8268455e-11
X1WG15,limd2,ENSDARG00000078092,ENSDART00000155298,3,1.5135882883499774,7.704363e-6,2.782306929019027,1.324712e-9,2.9554639719621765,9.0218865e-11
