Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	115_1 Spectral Count	119_2 Spectral Count	124_3 Spectral Count	2_5 Spectral Count	4_6 Spectral Count	57_4 Spectral Count	5_7 Spectral Count	d6_8 Spectral Count	115_1 Unique Spectral Count	119_2 Unique Spectral Count	124_3 Unique Spectral Count	2_5 Unique Spectral Count	4_6 Unique Spectral Count	57_4 Unique Spectral Count	5_7 Unique Spectral Count	d6_8 Unique Spectral Count	115_1 Total Spectral Count	119_2 Total Spectral Count	124_3 Total Spectral Count	2_5 Total Spectral Count	4_6 Total Spectral Count	57_4 Total Spectral Count	5_7 Total Spectral Count	d6_8 Total Spectral Count	115_1 Intensity	119_2 Intensity	124_3 Intensity	2_5 Intensity	4_6 Intensity	57_4 Intensity	5_7 Intensity	d6_8 Intensity	115_1 MaxLFQ Intensity	119_2 MaxLFQ Intensity	124_3 MaxLFQ Intensity	2_5 MaxLFQ Intensity	4_6 MaxLFQ Intensity	57_4 MaxLFQ Intensity	5_7 MaxLFQ Intensity	d6_8 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.9974	5	109	109	109	13	8	5	12	12	21	17	21	13	8	5	12	12	21	17	21	13	8	5	12	12	21	17	21	4.8570548E10	5.9644666E10	4.3635118E10	1.49983703E10	5.1270713E10	5.3487755E10	1.14959196E11	1.10857798E11	2.11881329E10	2.90029711E10	4.5819593E10	1.52392561E10	2.50156073E10	2.13133947E10	3.27585956E10	3.29334579E10	
contam_sp|P04040|CATA_HUMAN	P04040	CATA_HUMAN	CAT	527	Homo sapiens	1:Experimental evidence at protein level	Catalase	0.9873	0.9369	1	6	6	6	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	8.0176424E7	0.0	1.24266744E8	1.3390788E8	0.0	6.065852E7	1.82125296E8	1.15032752E8	8.0176424E7	0.0	1.24266744E8	1.3390788E8	0.0	6.065852E7	1.82125296E8	1.15032752E8	
contam_sp|P04264|K2C1_HUMAN	P04264	K2C1_HUMAN	KRT1	644	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 1	1.0	0.9795	16	41	32	41	5	7	1	3	3	9	7	6	4	6	1	2	2	8	5	4	5	7	1	3	3	9	7	6	7.885433E8	3.8792535E9	7.2629632E7	7.0291283E8	9.7382298E8	1.1731671E9	1.60842125E9	1.56819366E9	3.5841456E8	9.148615E8	3.72805472E8	3.56029504E8	3.53599488E8	5.9406387E8	5.1170304E8	5.541433E8	
contam_sp|P06732|KCRM_HUMAN	P06732	KCRM_HUMAN	CKM	381	Homo sapiens	1:Experimental evidence at protein level	Creatine kinase M-type	0.8779	0.9889	1	7	7	7	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	5.721129E8	0.0	8.8645466E8	2.92677376E8	8.7800653E8	1.83470832E8	6.1211174E8	1.21521267E9	5.721129E8	0.0	8.8645466E8	2.92677376E8	8.7800653E8	1.83470832E8	6.1211174E8	1.21521267E9	
contam_sp|P08263|GSTA1_HUMAN	P08263	GSTA1_HUMAN	GSTA1	222	Homo sapiens	1:Experimental evidence at protein level	Glutathione S-transferase A1	0.6606	0.96	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P0DTE7|AMY1B_HUMAN	P0DTE7	AMY1B_HUMAN	AMY1B	511	Homo sapiens	1:Experimental evidence at protein level	Alpha-amylase 1B	0.5465	0.9369	1	3	0	3	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0.0	1.11308896E8	0.0	1.00331888E8	0.0	8.1710232E7	0.0	2.92716032E8	0.0	1.11308896E8	0.0	1.00331888E8	0.0	8.1710232E7	0.0	2.92716032E8	contam_sp|P0DTE8|AMY1C_HUMAN, contam_sp|P0DUB6|AMY1A_HUMAN
contam_sp|P13645|K1C10_HUMAN	P13645	K1C10_HUMAN	KRT10	584	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 10	1.0	0.9934	14	31	31	31	3	4	0	1	1	11	7	4	3	4	0	1	1	11	7	4	3	4	0	1	1	11	7	4	2.88771648E8	1.78750285E9	0.0	1.5272192E8	2.95181632E8	1.24600269E9	1.16433805E9	1.70212208E8	1.62616448E8	4.35953216E8	0.0	1.5906184E8	3.07435488E8	2.72027392E8	3.3215632E8	3.51239744E8	
contam_sp|P35527|K1C9_HUMAN	P35527	K1C9_HUMAN	KRT9	623	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 9	1.0	0.9964	7	25	25	25	3	5	2	1	1	5	4	4	3	5	2	1	1	5	4	4	3	5	2	1	1	5	4	4	1.41252816E8	5.12850912E8	3.7313928E7	1.6447219E7	1.6642816E8	3.49786496E8	1.9350456E8	2.33294336E8	7.0130432E7	1.72849568E8	6.5278284E7	6.4977928E7	1.13847688E8	9.275552E7	6.685278E7	1.08593784E8	
contam_sp|P35908|K22E_HUMAN	P35908	K22E_HUMAN	KRT2	639	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 2 epidermal	1.0	0.9486	8	12	12	19	1	2	0	1	0	3	3	2	1	2	0	1	0	3	3	2	2	3	0	2	1	3	4	4	2.4887044E7	6.3285421E8	0.0	2.8679788E7	0.0	1.94422864E8	3.43768512E8	1.01840528E8	1.04656704E8	2.2798216E8	0.0	5.7441696E7	0.0	9.657028E7	1.84848992E8	3.1499304E7	
contam_sp|P69905|HBA_HUMAN	P69905	HBA_HUMAN	HBA2	142	Homo sapiens	1:Experimental evidence at protein level	Hemoglobin subunit alpha	0.994	0.921	1	15	15	15	0	0	6	0	0	0	0	9	0	0	6	0	0	0	0	9	0	0	6	0	0	0	0	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
