Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,C_1 Spectral Count,C_2 Spectral Count,C_3 Spectral Count,E_1 Spectral Count,E_2 Spectral Count,E_3 Spectral Count,Hp_1 Spectral Count,Hp_2 Spectral Count,Hp_3 Spectral Count,Mx_1 Spectral Count,Mx_2 Spectral Count,Mx_3 Spectral Count,T_1 Spectral Count,T_2 Spectral Count,T_3 Spectral Count,C_1 Unique Spectral Count,C_2 Unique Spectral Count,C_3 Unique Spectral Count,E_1 Unique Spectral Count,E_2 Unique Spectral Count,E_3 Unique Spectral Count,Hp_1 Unique Spectral Count,Hp_2 Unique Spectral Count,Hp_3 Unique Spectral Count,Mx_1 Unique Spectral Count,Mx_2 Unique Spectral Count,Mx_3 Unique Spectral Count,T_1 Unique Spectral Count,T_2 Unique Spectral Count,T_3 Unique Spectral Count,C_1 Total Spectral Count,C_2 Total Spectral Count,C_3 Total Spectral Count,E_1 Total Spectral Count,E_2 Total Spectral Count,E_3 Total Spectral Count,Hp_1 Total Spectral Count,Hp_2 Total Spectral Count,Hp_3 Total Spectral Count,Mx_1 Total Spectral Count,Mx_2 Total Spectral Count,Mx_3 Total Spectral Count,T_1 Total Spectral Count,T_2 Total Spectral Count,T_3 Total Spectral Count,C_1_5dpf_Intensity,C_2_5dpf_Intensity,C_3_5dpf_Intensity,E_1_5dpf_Intensity,E_2_5dpf_Intensity,E_3_5dpf_Intensity,Hp_1_5dpf_Intensity,Hp_2_5dpf_Intensity,Hp_3_5dpf_Intensity,Mx_1_5dpf_Intensity,Mx_2_5dpf_Intensity,Mx_3_5dpf_Intensity,T_1_5dpf_Intensity,T_2_5dpf_Intensity,T_3_5dpf_Intensity,C_1 MaxLFQ_5dpf_Intensity,C_2 MaxLFQ_5dpf_Intensity,C_3 MaxLFQ_5dpf_Intensity,E_1 MaxLFQ_5dpf_Intensity,E_2 MaxLFQ_5dpf_Intensity,E_3 MaxLFQ_5dpf_Intensity,Hp_1 MaxLFQ_5dpf_Intensity,Hp_2 MaxLFQ_5dpf_Intensity,Hp_3 MaxLFQ_5dpf_Intensity,Mx_1 MaxLFQ_5dpf_Intensity,Mx_2 MaxLFQ_5dpf_Intensity,Mx_3 MaxLFQ_5dpf_Intensity,T_1 MaxLFQ_5dpf_Intensity,T_2 MaxLFQ_5dpf_Intensity,T_3 MaxLFQ_5dpf_Intensity,Indistinguishable Proteins
sp|A0A0R4IC37|CPSF1_DANRE,A0A0R4IC37,CPSF1_DANRE,cpsf1,1451,Danio rerio,3:Protein inferred from homology,Cleavage and polyadenylation specificity factor subunit 1,0.3137,0.9664,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1587936.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A0A0R4IEW8|ELAV4_DANRE,A0A0R4IEW8,ELAV4_DANRE,elavl4,411,Danio rerio,1:Experimental evidence at protein level,ELAV-like protein 4,1,0.999,9,73,73,73,12,3,3,9,5,2,10,5,1,3,3,2,7,5,3,12,3,3,9,5,2,10,5,1,3,3,2,7,5,3,12,3,3,9,5,2,10,5,1,3,3,2,7,5,3,192611392,85759264,77634184,168443728,109247608,13654006,147204784,69608488,45740960,17793912,15890668,61891724,147162288,95690800,73709528,54034124,33779344,28162060,46951232,33181048,23140706,40484664,29687476,27741710,62726600,34856072,31836178,51385568,39322468,31144466,
sp|A0A0R4IKU3|RECK_DANRE,A0A0R4IKU3,RECK_DANRE,reck,955,Danio rerio,1:Experimental evidence at protein level,Reversion-inducing cysteine-rich protein with Kazal motifs,1,0.9989,5,15,15,15,1,1,3,1,0,2,1,0,1,0,1,2,1,0,1,1,1,3,1,0,2,1,0,1,0,1,2,1,0,1,1,1,3,1,0,2,1,0,1,0,1,2,1,0,1,12676278,9587767,24476870,12997477,5912349,8023915.5,5420662.5,0,11606664,0,5372715,16437668,12954524,0,17486392,6751772.5,5138559.5,11091128,6998990,5595372,9865900,6665039.5,0,14271111,0,5084669.5,8655117,6907236.5,0,8278020.5,
sp|A0A0R4IVV0|MTP_DANRE,A0A0R4IVV0,MTP_DANRE,mttp,884,Danio rerio,1:Experimental evidence at protein level,Microsomal triglyceride transfer protein large subunit,1,0.9989,5,9,9,9,1,0,0,1,0,0,2,0,0,1,0,0,2,0,2,1,0,0,1,0,0,2,0,0,1,0,0,2,0,2,1,0,0,1,0,0,2,0,0,1,0,0,2,0,2,4214078.5,0,0,12090696,0,0,8459801,0,0,6833284,0,0,0,0,20797284,4710424.5,0,0,6799008,0,0,5830686.5,0,0,20872916,0,0,0,0,10334562,
sp|A0A1Z2R986|EGLN_DANRE,A0A1Z2R986,EGLN_DANRE,eng,559,Danio rerio,2:Experimental evidence at transcript level,Endoglin,0.2433,0.9529,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A0A2R8QF68|GRIK2_DANRE,A0A2R8QF68,GRIK2_DANRE,grik2,908,Danio rerio,3:Protein inferred from homology,"Glutamate receptor ionotropic, kainate 2",0.9957,0.9929,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1285357.5,4219053,0,15054155,0,0,0,0,0,0,0,0,0,0,0,2769023.8,1810518.6,0,9119988,
sp|A0A8M2BID5|DESPA_DANRE,A0A8M2BID5,DESPA_DANRE,dspa,2059,Danio rerio,2:Experimental evidence at transcript level,Desmoplakin-A,1,0.999,15,59,59,59,4,6,6,3,4,4,3,2,4,4,4,5,6,1,3,4,6,6,3,4,4,3,2,4,4,4,5,6,1,3,4,6,6,3,4,4,3,2,4,4,4,5,6,1,3,28051402,91383936,120691536,61660080,78141624,74029832,26477906,18529652,18454682,27097718,4031388.2,116337352,37374704,69748064,103007704,24335830,26049818,29479518,32369238,29609034,29820632,21023756,35789380,29125316,32118142,33890556,30768788,28444700,26700220,29199466,
sp|A0A8M9PQ61|DESPB_DANRE,A0A8M9PQ61,DESPB_DANRE,dspb,2207,Danio rerio,2:Experimental evidence at transcript level,Desmoplakin-B,1,0.999,25,132,132,132,11,14,8,6,13,8,10,7,6,4,11,5,12,9,8,11,14,8,6,13,8,10,7,6,4,11,5,12,9,8,11,14,8,6,13,8,10,7,6,4,11,5,12,9,8,99812712,148068352,170356672,59047416,121837328,126382936,114629544,101449080,32815082,222361040,80392960,105325472,85291304,118438368,203489872,46455520,50790788,46082360,30915644,40419520,43119200,33258412,57421132,30765744,183898608,40694560,42953112,36525472,48186292,65098032,
sp|A0JMD0|CLU_DANRE,A0JMD0,CLU_DANRE,cluh,1400,Danio rerio,2:Experimental evidence at transcript level,Clustered mitochondria protein homolog,0.9903,0.9902,2,8,8,8,0,0,0,0,1,1,2,1,0,0,1,0,1,1,0,0,0,0,0,1,1,2,1,0,0,1,0,1,1,0,0,0,0,0,1,1,2,1,0,0,1,0,1,1,0,0,40354804,9273359,5245897.5,25215036,2360356.5,7288076.5,26764510,0,0,19607870,0,5245036.5,17236202,9552715,0,40354804,9273359,5245897.5,25215036,0,7288076.5,26764510,0,0,19607870,0,5245036.5,17236202,9552715,
sp|A0JME2|MCAF1_DANRE,A0JME2,MCAF1_DANRE,atf7ip,815,Danio rerio,1:Experimental evidence at protein level,Activating transcription factor 7-interacting protein 1,0.9689,0.9985,1,6,6,6,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,2350058.8,3055000,821501.2,2143599.5,4967711.5,0,0,0,0,0,0,0,1893278.1,4096869.2,1568548.8,2350058.8,3055000,821501.2,2143599.5,4967711.5,0,0,0,0,0,0,0,1893278.1,4096869.2,1568548.8,
