Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,5dpf_1 Spectral Count,5dpf_2 Spectral Count,5dpf_1 Unique Spectral Count,5dpf_2 Unique Spectral Count,5dpf_1 Total Spectral Count,5dpf_2 Total Spectral Count,5dpf_1 Intensity,5dpf_2 Intensity,Indistinguishable Proteins
sp|A0A0G2KTI4|S12A2_DANRE,A0A0G2KTI4,S12A2_DANRE,slc12a2,1136,Danio rerio,1:Experimental evidence at protein level,Solute carrier family 12 member 2,1,0.999,15,28,28,28,16,12,16,12,16,12,837459650,616814340,
sp|A0A0R4I9Y1|R213B_DANRE,A0A0R4I9Y1,R213B_DANRE,rnf213b,5061,Danio rerio,3:Protein inferred from homology,E3 ubiquitin-protein ligase rnf213-beta,0.9896,0.9829,4,11,11,11,9,2,9,2,9,2,379784096,110018880,
sp|A0A0R4IB93|UBP48_DANRE,A0A0R4IB93,UBP48_DANRE,usp48,1047,Danio rerio,3:Protein inferred from homology,Ubiquitin carboxyl-terminal hydrolase 48,1,0.999,10,10,10,10,7,3,7,3,7,3,236048656,41750688,
sp|A0A0R4IBL7|HTF4_DANRE,A0A0R4IBL7,HTF4_DANRE,tcf12,726,Danio rerio,2:Experimental evidence at transcript level,Transcription factor 12,0.8058,0.993,1,1,1,1,1,0,1,0,1,0,29905182,0,
sp|A0A0R4IC37|CPSF1_DANRE,A0A0R4IC37,CPSF1_DANRE,cpsf1,1451,Danio rerio,3:Protein inferred from homology,Cleavage and polyadenylation specificity factor subunit 1,1,0.999,25,39,39,39,27,12,27,12,27,12,2239852030,456025952,
sp|A0A0R4IEW8|ELAV4_DANRE,A0A0R4IEW8,ELAV4_DANRE,elavl4,411,Danio rerio,1:Experimental evidence at protein level,ELAV-like protein 4,1,0.999,20,130,130,130,68,62,68,62,68,62,20952203300,17234782200,
sp|A0A0R4IFG5|CFA53_DANRE,A0A0R4IFG5,CFA53_DANRE,cfap53,519,Danio rerio,2:Experimental evidence at transcript level,Cilia- and flagella-associated protein 53,0.8009,0.9928,1,4,4,4,2,2,2,2,2,2,225050000,95131344,
sp|A0A0R4IKJ1|CAPAM_DANRE,A0A0R4IKJ1,CAPAM_DANRE,pcif1,721,Danio rerio,1:Experimental evidence at protein level,mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase,0.9999,0.9986,3,5,5,5,3,2,3,2,3,2,139913616,63805408,
sp|A0A0R4IKU3|RECK_DANRE,A0A0R4IKU3,RECK_DANRE,reck,955,Danio rerio,1:Experimental evidence at protein level,Reversion-inducing cysteine-rich protein with Kazal motifs,1,0.999,22,35,35,35,20,15,20,15,20,15,1299377790,834574660,
sp|A0A0R4ITC5|TRRAP_DANRE,A0A0R4ITC5,TRRAP_DANRE,trrap,3841,Danio rerio,3:Protein inferred from homology,Transformation/transcription domain-associated protein,1,0.9971,10,12,12,12,6,6,6,6,6,6,490505312,1125510780,
sp|A0A0R4IVV0|MTP_DANRE,A0A0R4IVV0,MTP_DANRE,mttp,884,Danio rerio,1:Experimental evidence at protein level,Microsomal triglyceride transfer protein large subunit,1,0.999,48,242,242,242,133,109,133,109,133,109,18210820100,13254535200,
sp|A0A0R4IWI1|COE1A_DANRE,A0A0R4IWI1,COE1A_DANRE,ebf1a,591,Danio rerio,2:Experimental evidence at transcript level,Transcription factor COE1-A,1,0.999,5,13,7,13,7,6,4,3,7,6,641329340,430892096,
sp|A0A0R4IYX6|Z687A_DANRE,A0A0R4IYX6,Z687A_DANRE,znf687a,1246,Danio rerio,2:Experimental evidence at transcript level,Zinc finger protein 687a,0.9652,0.9989,2,1,1,2,1,0,1,0,2,0,30643374,0,
sp|A0A0R4IZ84|EST1A_DANRE,A0A0R4IZ84,EST1A_DANRE,smg6,1544,Danio rerio,2:Experimental evidence at transcript level,Telomerase-binding protein EST1A,0.7547,0.9905,1,1,1,1,1,0,1,0,1,0,55338720,0,
sp|A0A1Z2R986|EGLN_DANRE,A0A1Z2R986,EGLN_DANRE,eng,559,Danio rerio,2:Experimental evidence at transcript level,Endoglin,1,0.999,4,7,7,7,5,2,5,2,5,2,250941888,109214656,
