Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	170928_MW_1 Spectral Count	170928_MW_2 Spectral Count	170928_MW_3 Spectral Count	170928_MW_4 Spectral Count	170928_MW_5 Spectral Count	170928_MW_6 Spectral Count	170928_MW_1 Unique Spectral Count	170928_MW_2 Unique Spectral Count	170928_MW_3 Unique Spectral Count	170928_MW_4 Unique Spectral Count	170928_MW_5 Unique Spectral Count	170928_MW_6 Unique Spectral Count	170928_MW_1 Total Spectral Count	170928_MW_2 Total Spectral Count	170928_MW_3 Total Spectral Count	170928_MW_4 Total Spectral Count	170928_MW_5 Total Spectral Count	170928_MW_6 Total Spectral Count	170928_MW_1 Intensity	170928_MW_2 Intensity	170928_MW_3 Intensity	170928_MW_4 Intensity	170928_MW_5 Intensity	170928_MW_6 Intensity	170928_MW_1 MaxLFQ Intensity	170928_MW_2 MaxLFQ Intensity	170928_MW_3 MaxLFQ Intensity	170928_MW_4 MaxLFQ Intensity	170928_MW_5 MaxLFQ Intensity	170928_MW_6 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|O77727|K1C15_SHEEP	O77727	K1C15_SHEEP	KRT15	453	Ovis aries	2:Experimental evidence at transcript level	Keratin, type I cytoskeletal 15	0.9999	0.9984	7	7	7	26	2	1	1	0	1	2	2	1	1	0	1	2	6	4	3	3	4	6	3.09624416E8	7.4186624E7	5.5031636E7	0.0	5.4472472E7	3.6447224E7	3.09624416E8	7.4186624E7	5.5031636E7	0.0	5.4472472E7	3.6447224E7	
contam_sp|O82803|SRPP_HEVBR	O82803	SRPP_HEVBR	SRPP	204	Hevea brasiliensis	1:Experimental evidence at protein level	Small rubber particle protein	0.7355	0.9903	1	2	2	2	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P00366|DHE3_BOVIN	P00366	DHE3_BOVIN	GLUD1	558	Bos taurus	1:Experimental evidence at protein level	Glutamate dehydrogenase 1, mitochondrial	1.0	0.999	12	74	74	74	10	11	19	13	11	10	10	11	19	13	11	10	10	11	19	13	11	10	2.10747072E9	2.63344179E9	2.50990438E9	2.66488243E9	1.76174131E9	2.10055974E9	7.0508525E8	7.2693491E8	6.912512E8	6.950288E8	4.85754496E8	5.9429363E8	
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	7	91	91	91	21	14	20	12	13	11	21	14	20	12	13	11	21	14	20	12	13	11	1.00104036E11	6.7702718E10	7.5515298E10	7.9243878E10	4.8108786E10	7.4093265E10	7.4208805E10	5.5022264E10	8.2474754E10	6.7531108E10	4.5799801E10	7.0898926E10	
contam_sp|P00883|ALDOA_RABIT	P00883	ALDOA_RABIT	ALDOA	364	Oryctolagus cuniculus	1:Experimental evidence at protein level	Fructose-bisphosphate aldolase A	0.9925	0.9706	5	7	0	27	1	1	1	2	1	1	0	0	0	0	0	0	5	5	5	5	3	4	4.86208576E8	4.9664512E8	5.6878291E8	4.18526464E8	5.5620378E8	4.82685248E8	4.86208576E8	4.9664512E8	5.6878291E8	4.18526464E8	5.5620378E8	4.82685248E8	
contam_sp|P01112|RASH_HUMAN	P01112	RASH_HUMAN	HRAS	189	Homo sapiens	1:Experimental evidence at protein level	GTPase HRas	1.0	0.9989	3	7	1	7	1	3	1	0	2	0	0	1	0	0	0	0	1	3	1	0	2	0	0.0	6.8972272E7	8.9192E7	6.2028852E7	7.9900776E7	0.0	0.0	6.3277328E7	8.9192E7	6.2028852E7	7.9900776E7	0.0	
contam_sp|P02662|CASA1_BOVIN	P02662	CASA1_BOVIN	CSN1S1	214	Bos taurus	1:Experimental evidence at protein level	Alpha-S1-casein	1.0	0.9989	3	17	17	17	3	3	2	3	3	3	3	3	2	3	3	3	3	3	2	3	3	3	1.5774816E8	7.9777944E7	9.3687712E7	1.3332E8	2.04548032E8	1.19168472E8	1.0458916E8	5.8369896E7	8.1768864E7	9.5639144E7	2.20475136E8	9.0137464E7	
contam_sp|P02663|CASA2_BOVIN	P02663	CASA2_BOVIN	CSN1S2	222	Bos taurus	1:Experimental evidence at protein level	Alpha-S2-casein	0.8457	0.9951	1	2	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1.3216894E7	0.0	0.0	3979447.5	0.0	0.0	1.3216894E7	0.0	0.0	3979447.5	0.0	0.0	
contam_sp|P02666|CASB_BOVIN	P02666	CASB_BOVIN	CSN2	224	Bos taurus	1:Experimental evidence at protein level	Beta-casein	1.0	0.999	2	23	23	23	4	4	3	4	6	2	4	4	3	4	6	2	4	4	3	4	6	2	1.63987696E8	6.9438744E7	2.424234E7	4.3965656E7	1.48976736E8	4.8211944E7	6.2643036E7	5.3799572E7	1.9108754E7	4.0104968E7	3.7936404E7	5.4215636E7	
contam_sp|P02668|CASK_BOVIN	P02668	CASK_BOVIN	CSN3	190	Bos taurus	1:Experimental evidence at protein level	Kappa-casein	0.9851	0.99	2	2	2	2	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0.0	2345107.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	1:Experimental evidence at protein level	Albumin	1.0	0.999	52	534	479	534	94	90	95	84	89	82	83	81	87	75	80	73	94	90	95	84	89	82	3.4574017E10	2.78358774E10	3.13079357E10	3.05864315E10	2.52034355E10	2.69251707E10	3.45749606E9	2.60029466E9	3.22267213E9	2.71568179E9	2.35464038E9	2.50377626E9	
contam_sp|P04040|CATA_HUMAN	P04040	CATA_HUMAN	CAT	527	Homo sapiens	1:Experimental evidence at protein level	Catalase	0.9995	0.9944	2	7	7	7	2	2	0	1	0	2	2	2	0	1	0	2	2	2	0	1	0	2	1.3482479E7	1.79025616E8	0.0	1.1530809E7	0.0	1.27060528E8	3.812814E7	5.7709344E7	0.0	3.260886E7	0.0	3.8934968E7	
contam_sp|P04264|K2C1_HUMAN	P04264	K2C1_HUMAN	KRT1	644	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 1	1.0	0.999	43	340	300	340	80	41	45	54	61	59	71	37	39	48	54	51	80	41	45	54	61	59	2.16203059E10	8.9709148E9	8.6467205E9	9.8923796E9	1.05715702E10	1.31044772E10	2.63466342E9	1.09929293E9	1.05986189E9	1.12435546E9	1.40241408E9	1.50034803E9	
contam_sp|P05413|FABPH_HUMAN	P05413	FABPH_HUMAN	FABP3	133	Homo sapiens	1:Experimental evidence at protein level	Fatty acid-binding protein, heart	0.9999	0.9975	3	10	10	10	0	1	3	2	2	2	0	1	3	2	2	2	0	1	3	2	2	2	6.0079789E8	7.6897517E8	1.20997261E9	1.10620864E9	1.19388749E9	7.8062938E8	6.0079789E8	6.8255226E8	1.20997261E9	7.7417331E8	8.3673101E8	7.5385504E8	
contam_sp|P06396|GELS_HUMAN	P06396	GELS_HUMAN	GSN	782	Homo sapiens	1:Experimental evidence at protein level	Gelsolin	0.9542	0.973	2	2	2	2	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0.0	3.977282E7	3.4397972E7	0.0	0.0	0.0	0.0	3.977282E7	3.4397972E7	0.0	0.0	0.0	
contam_sp|P06732|KCRM_HUMAN	P06732	KCRM_HUMAN	CKM	381	Homo sapiens	1:Experimental evidence at protein level	Creatine kinase M-type	1.0	0.999	13	206	206	206	20	30	32	32	47	45	20	30	32	32	47	45	20	30	32	32	47	45	1.23211192E10	1.71320422E10	1.33166971E10	1.75393403E10	2.28589527E10	2.37776364E10	4.12860518E9	6.0088351E9	4.5844644E9	5.9463613E9	8.1060557E9	8.2521165E9	
contam_sp|P07339|CATD_HUMAN	P07339	CATD_HUMAN	CTSD	412	Homo sapiens	1:Experimental evidence at protein level	Cathepsin D	0.9594	0.9989	1	9	9	9	1	1	2	1	2	2	1	1	2	1	2	2	1	1	2	1	2	2	1.41848944E8	2.01050768E8	1.13881968E8	1.22551824E8	1.25574272E8	1.7544056E8	1.41848944E8	2.01050768E8	1.13881968E8	1.22551824E8	1.25574272E8	1.7544056E8	
contam_sp|P13645|K1C10_HUMAN	P13645	K1C10_HUMAN	KRT10	584	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 10	1.0	0.999	36	298	284	298	85	33	39	37	45	59	81	31	38	35	43	56	85	33	39	37	45	59	1.6920619E10	6.2546785E9	6.4320015E9	6.3940332E9	7.0390574E9	8.9602058E9	3.15568819E9	1.16746419E9	1.21052544E9	1.22661427E9	1.3200425E9	1.71981082E9	
contam_sp|P15252|REF_HEVBR	P15252	REF_HEVBR		138	Hevea brasiliensis	1:Experimental evidence at protein level	Rubber elongation factor protein	1.0	0.9973	3	3	3	3	1	0	0	0	2	0	1	0	0	0	2	0	1	0	0	0	2	0	0.0	0.0	0.0	0.0	5.1706756E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P35527|K1C9_HUMAN	P35527	K1C9_HUMAN	KRT9	623	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 9	1.0	0.999	27	181	181	182	51	26	22	23	35	24	51	26	22	23	35	24	52	26	22	23	35	24	7.2624348E9	2.12273446E9	1.52100659E9	2.16705382E9	3.44808064E9	2.84605261E9	1.16523149E9	4.13349728E8	3.505376E8	4.40046656E8	6.2819955E8	4.47037504E8	
