Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	TL1a Spectral Count	TL1b Spectral Count	TL2a Spectral Count	TL2b Spectral Count	TL1a Unique Spectral Count	TL1b Unique Spectral Count	TL2a Unique Spectral Count	TL2b Unique Spectral Count	TL1a Total Spectral Count	TL1b Total Spectral Count	TL2a Total Spectral Count	TL2b Total Spectral Count	TL1a Intensity	TL1b Intensity	TL2a Intensity	TL2b Intensity	TL1a MaxLFQ Intensity	TL1b MaxLFQ Intensity	TL2a MaxLFQ Intensity	TL2b MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|O77727|K1C15_SHEEP	O77727	K1C15_SHEEP	KRT15	453	Ovis aries	2:Experimental evidence at transcript level	Keratin, type I cytoskeletal 15	1.0	0.999	7	3	3	62	0	2	1	0	0	2	1	0	11	16	25	10	0.0	5.4702259E8	1.31602592E8	2.48920144E8	0.0	5.4702259E8	0.0	2.48920144E8	
contam_sp|P00167|CYB5_HUMAN	P00167	CYB5_HUMAN	CYB5A	134	Homo sapiens	1:Experimental evidence at protein level	Cytochrome b5	1.0	0.9988	1	9	9	9	2	2	3	2	2	2	3	2	2	2	3	2	9.2717792E8	6.8863738E8	1.15275648E9	7.3423974E8	9.2717792E8	6.8863738E8	9.192793E8	7.3423974E8	
contam_sp|P00366|DHE3_BOVIN	P00366	DHE3_BOVIN	GLUD1	558	Bos taurus	1:Experimental evidence at protein level	Glutamate dehydrogenase 1, mitochondrial	1.0	0.999	18	357	357	357	96	99	73	89	96	99	73	89	96	99	73	89	4.6885859E10	4.2260898E10	2.75274772E10	3.9151473E10	1.04655053E10	9.2811756E9	6.5747538E9	9.6076595E9	
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	10	1131	1131	1131	333	349	199	250	333	349	199	250	333	349	199	250	4.33444618E11	4.14833574E11	2.35854725E11	2.86732321E11	1.17816885E11	1.23512013E11	6.8510495E10	1.09337248E11	
contam_sp|P00883|ALDOA_RABIT	P00883	ALDOA_RABIT	ALDOA	364	Oryctolagus cuniculus	1:Experimental evidence at protein level	Fructose-bisphosphate aldolase A	0.9995	0.9704	7	21	5	186	6	5	6	4	3	1	1	0	42	58	49	37	3.66969011E9	5.6921272E9	4.3002465E9	5.0502036E9	3.66969011E9	5.6921272E9	4.3002465E9	5.0502036E9	
contam_sp|P02662|CASA1_BOVIN	P02662	CASA1_BOVIN	CSN1S1	214	Bos taurus	1:Experimental evidence at protein level	Alpha-S1-casein	0.9999	0.9988	2	8	8	8	1	2	4	1	1	2	4	1	1	2	4	1	1.92975168E8	1.07715688E8	7.2421306E8	0.0	1.92975168E8	1.07715688E8	5.649223E8	0.0	
contam_sp|P02663|CASA2_BOVIN	P02663	CASA2_BOVIN	CSN1S2	222	Bos taurus	1:Experimental evidence at protein level	Alpha-S2-casein	0.8964	0.998	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0.0	3.3552942E7	2.64047104E8	0.0	0.0	3.3552942E7	2.64047104E8	0.0	
contam_sp|P02666|CASB_BOVIN	P02666	CASB_BOVIN	CSN2	224	Bos taurus	1:Experimental evidence at protein level	Beta-casein	0.9448	0.999	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0.0	0.0	1.14454232E8	0.0	0.0	0.0	0.0	0.0	
contam_sp|P02668|CASK_BOVIN	P02668	CASK_BOVIN	CSN3	190	Bos taurus	1:Experimental evidence at protein level	Kappa-casein	1.0	0.999	3	11	11	11	0	0	11	0	0	0	11	0	0	0	11	0	0.0	0.0	6.4151546E8	0.0	0.0	0.0	0.0	0.0	
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	1:Experimental evidence at protein level	Albumin	1.0	0.9988	4	7	4	7	2	1	3	1	1	1	2	0	2	1	3	1	1.33179456E8	7.1235872E7	3.83082048E8	0.0	1.8975368E8	1.01496656E8	1.07692472E8	0.0	
contam_sp|P04040|CATA_HUMAN	P04040	CATA_HUMAN	CAT	527	Homo sapiens	1:Experimental evidence at protein level	Catalase	1.0	0.999	5	22	22	43	7	6	4	5	7	6	4	5	9	15	7	12	1.82223462E9	2.1228352E9	1.24756941E9	2.4669632E9	1.03529472E9	1.23228774E9	8.8980115E8	1.61956083E9	
contam_sp|P04264|K2C1_HUMAN	P04264	K2C1_HUMAN	KRT1	644	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 1	1.0	0.999	39	425	312	425	63	120	186	56	36	93	153	30	63	120	186	56	1.54441544E10	1.69812756E10	5.685316E10	9.1754097E9	2.3105385E9	2.30993869E9	7.3698401E9	1.24088307E9	
contam_sp|P05413|FABPH_HUMAN	P05413	FABPH_HUMAN	FABP3	133	Homo sapiens	1:Experimental evidence at protein level	Fatty acid-binding protein, heart	1.0	0.9915	3	31	31	31	8	11	6	6	8	11	6	6	8	11	6	6	7.7916928E9	1.11189002E10	4.05585152E9	8.6392545E9	4.27615053E9	5.7522483E9	2.20959462E9	5.4269245E9	
