Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	deyolked_5dpf_1 Spectral Count	deyolked_5dpf_2 Spectral Count	deyolked_5dpf_3 Spectral Count	non_deyolked_5dpf_1 Spectral Count	non_deyolked_5dpf_2 Spectral Count	non_deyolked_5dpf_3 Spectral Count	deyolked_5dpf_1 Unique Spectral Count	deyolked_5dpf_2 Unique Spectral Count	deyolked_5dpf_3 Unique Spectral Count	non_deyolked_5dpf_1 Unique Spectral Count	non_deyolked_5dpf_2 Unique Spectral Count	non_deyolked_5dpf_3 Unique Spectral Count	deyolked_5dpf_1 Total Spectral Count	deyolked_5dpf_2 Total Spectral Count	deyolked_5dpf_3 Total Spectral Count	non_deyolked_5dpf_1 Total Spectral Count	non_deyolked_5dpf_2 Total Spectral Count	non_deyolked_5dpf_3 Total Spectral Count	deyolked_5dpf_1 Intensity	deyolked_5dpf_2 Intensity	deyolked_5dpf_3 Intensity	non_deyolked_5dpf_1 Intensity	non_deyolked_5dpf_2 Intensity	non_deyolked_5dpf_3 Intensity	deyolked_5dpf_1 MaxLFQ Intensity	deyolked_5dpf_2 MaxLFQ Intensity	deyolked_5dpf_3 MaxLFQ Intensity	non_deyolked_5dpf_1 MaxLFQ Intensity	non_deyolked_5dpf_2 MaxLFQ Intensity	non_deyolked_5dpf_3 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P00760|TRY1_BOVIN	P00760	TRY1_BOVIN	PRSS1	246	Bos taurus	1:Experimental evidence at protein level	Serine protease 1	1.0	0.9958	5	19	18	19	10	0	3	3	1	2	9	0	3	3	1	2	10	0	3	3	1	2	9202713.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	1:Experimental evidence at protein level	Albumin	0.6789	0.9668	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.0	0.0	0.0	418188.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P06732|KCRM_HUMAN	P06732	KCRM_HUMAN	CKM	381	Homo sapiens	1:Experimental evidence at protein level	Creatine kinase M-type	1.0	0.9978	2	5	5	5	2	0	3	0	0	0	2	0	3	0	0	0	2	0	3	0	0	0	670080.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P32503|GAG_SCVLA	P32503	GAG_SCVLA	gag	680	Saccharomyces cerevisiae virus L-A	1:Experimental evidence at protein level	Major capsid protein	0.2984	0.8541	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0R4IVA4|CC14A_DANRE	A0A0R4IVA4	CC14A_DANRE	cdc14ab	611	Danio rerio	3:Protein inferred from homology	Dual specificity protein phosphatase CDC14AB	0.3845	0.8958	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A2CEI6|PIWL2_DANRE	A2CEI6	PIWL2_DANRE	piwil2	1046	Danio rerio	1:Experimental evidence at protein level	Piwi-like protein 2	0.2992	0.8546	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|B0R0T1|VWA8_DANRE	B0R0T1	VWA8_DANRE	vwa8	1896	Danio rerio	3:Protein inferred from homology	von Willebrand factor A domain-containing protein 8	0.9988	0.9748	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|E7F3F0|MY9AB_DANRE	E7F3F0	MY9AB_DANRE	myo9ab	2286	Danio rerio	3:Protein inferred from homology	Unconventional myosin-IXAb	0.3431	0.8779	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1QB30|AMFR_DANRE	F1QB30	AMFR_DANRE	amfra	620	Danio rerio	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase AMFR	0.3907	0.8982	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1QGH7|CTNB1_DANRE	F1QGH7	CTNB1_DANRE	ctnnb1	780	Danio rerio	1:Experimental evidence at protein level	Catenin beta-1	0.3176	0.865	1	2	2	2	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	263118.75	0.0	318338.62	0.0	0.0	0.0	263118.75	0.0	318338.62	0.0	0.0	0.0	
sp|F1R4U0|TXTPB_DANRE	F1R4U0	TXTPB_DANRE	slc25a1b	317	Danio rerio	3:Protein inferred from homology	Tricarboxylate transport protein B, mitochondrial	0.8401	0.9864	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	37699.336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
