Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	5dpf_1 Spectral Count	5dpf_2 Spectral Count	5dpf_1 Unique Spectral Count	5dpf_2 Unique Spectral Count	5dpf_1 Total Spectral Count	5dpf_2 Total Spectral Count	5dpf_1 Intensity	5dpf_2 Intensity	Indistinguishable Proteins
contam_sp|O76011|KRT34_HUMAN	O76011	KRT34_HUMAN	KRT34	436	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cuticular Ha4	0.9023	0.9868	2	1	1	30	1	0	1	0	14	16	0.0	0.0	
contam_sp|O76013|KRT36_HUMAN	O76013	KRT36_HUMAN	KRT36	467	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cuticular Ha6	0.8825	0.9822	4	3	3	56	2	1	2	1	26	30	9.944332E7	9.7438656E7	
contam_sp|O77727|K1C15_SHEEP	O77727	K1C15_SHEEP	KRT15	453	Ovis aries	2:Experimental evidence at transcript level	Keratin, type I cytoskeletal 15	1.0	0.999	23	113	113	280	59	54	59	54	139	141	9.2798904E9	1.11965542E10	
contam_sp|P00167|CYB5_HUMAN	P00167	CYB5_HUMAN	CYB5A	134	Homo sapiens	1:Experimental evidence at protein level	Cytochrome b5	0.9663	0.999	1	2	2	2	1	1	1	1	1	1	6.3139512E7	2.92232128E8	
contam_sp|P00366|DHE3_BOVIN	P00366	DHE3_BOVIN	GLUD1	558	Bos taurus	1:Experimental evidence at protein level	Glutamate dehydrogenase 1, mitochondrial	1.0	0.999	18	257	257	257	121	136	121	136	121	136	4.1745183E10	3.6490695E10	
contam_sp|P00711|LALBA_BOVIN	P00711	LALBA_BOVIN	LALBA	142	Bos taurus	1:Experimental evidence at protein level	Alpha-lactalbumin	1.0	0.999	7	31	31	31	28	3	28	3	28	3	6.7549814E9	1.36408752E8	
contam_sp|P00760|TRY1_BOVIN	P00760	TRY1_BOVIN	PRSS1	246	Bos taurus	1:Experimental evidence at protein level	Serine protease 1	1.0	0.999	21	4739	4561	4739	2465	2274	2364	2197	2465	2274	2.50125353E12	2.25504186E12	
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	9	39	39	217	21	18	21	18	122	95	8.3159546E8	5.6541696E8	
contam_sp|P00766|CTRA_BOVIN	P00766	CTRA_BOVIN		245	Bos taurus	1:Experimental evidence at protein level	Chymotrypsinogen A	0.9262	0.9955	2	2	2	2	2	0	2	0	2	0	8.2396152E7	0.0	
contam_sp|P00767|CTRB_BOVIN	P00767	CTRB_BOVIN		245	Bos taurus	1:Experimental evidence at protein level	Chymotrypsinogen B	1.0	0.9987	1	6	6	6	5	1	5	1	5	1	1.7857874E7	0.0	
contam_sp|P00883|ALDOA_RABIT	P00883	ALDOA_RABIT	ALDOA	364	Oryctolagus cuniculus	1:Experimental evidence at protein level	Fructose-bisphosphate aldolase A	1.0	0.9988	13	17	17	289	10	7	10	7	150	139	9.0351386E8	8.1708941E8	
contam_sp|P01112|RASH_HUMAN	P01112	RASH_HUMAN	HRAS	189	Homo sapiens	1:Experimental evidence at protein level	GTPase HRas	1.0	0.999	9	37	20	37	21	16	11	9	21	16	2.96965965E9	1.86390733E9	
contam_sp|P02534|K1M1_SHEEP	P02534	K1M1_SHEEP		412	Ovis aries	1:Experimental evidence at protein level	Keratin, type I microfibrillar 48 kDa, component 8C-1	0.994	0.9987	4	9	0	83	5	4	0	0	38	45	8.1622528E8	7.0211757E8	
contam_sp|P02662|CASA1_BOVIN	P02662	CASA1_BOVIN	CSN1S1	214	Bos taurus	1:Experimental evidence at protein level	Alpha-S1-casein	1.0	0.999	6	13	13	13	10	3	10	3	10	3	1.51269171E9	2.82789888E8	
contam_sp|P02663|CASA2_BOVIN	P02663	CASA2_BOVIN	CSN1S2	222	Bos taurus	1:Experimental evidence at protein level	Alpha-S2-casein	1.0	0.999	7	23	23	23	19	4	19	4	19	4	1.84674906E9	1.7789712E8	
contam_sp|P02666|CASB_BOVIN	P02666	CASB_BOVIN	CSN2	224	Bos taurus	1:Experimental evidence at protein level	Beta-casein	0.9997	0.999	3	17	17	17	13	4	13	4	13	4	1.95330278E9	5.28210048E8	
contam_sp|P02668|CASK_BOVIN	P02668	CASK_BOVIN	CSN3	190	Bos taurus	1:Experimental evidence at protein level	Kappa-casein	1.0	0.999	6	12	12	12	10	2	10	2	10	2	1.15986752E9	8.3180768E7	
contam_sp|P02768|ALBU_HUMAN	P02768	ALBU_HUMAN	ALB	609	Homo sapiens	1:Experimental evidence at protein level	Albumin	1.0	0.999	28	43	43	53	29	14	29	14	37	16	1.49100032E9	5.7114419E8	
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	1:Experimental evidence at protein level	Albumin	1.0	0.999	36	75	65	75	58	17	50	15	58	17	2.33803387E10	1.28520627E9	
contam_sp|P02787|TRFE_HUMAN	P02787	TRFE_HUMAN	TF	698	Homo sapiens	1:Experimental evidence at protein level	Serotransferrin	0.9759	0.9984	2	7	7	7	4	3	4	3	4	3	3.03357792E8	2.64979808E8	
contam_sp|P04040|CATA_HUMAN	P04040	CATA_HUMAN	CAT	527	Homo sapiens	1:Experimental evidence at protein level	Catalase	1.0	0.999	14	26	26	40	15	11	15	11	22	18	2.7993385E9	2.11970611E9	
contam_sp|P04264|K2C1_HUMAN	P04264	K2C1_HUMAN	KRT1	644	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 1	1.0	0.999	77	1583	1310	1583	773	810	650	660	773	810	5.13126498E11	4.19372925E11	
contam_sp|P05413|FABPH_HUMAN	P05413	FABPH_HUMAN	FABP3	133	Homo sapiens	1:Experimental evidence at protein level	Fatty acid-binding protein, heart	1.0	0.9985	3	117	117	117	61	56	61	56	61	56	8.174352E10	6.0885823E10	
contam_sp|P06396|GELS_HUMAN	P06396	GELS_HUMAN	GSN	782	Homo sapiens	1:Experimental evidence at protein level	Gelsolin	1.0	0.9987	8	25	25	25	11	14	11	14	11	14	1.83472666E9	1.07793395E9	
contam_sp|P06732|KCRM_HUMAN	P06732	KCRM_HUMAN	CKM	381	Homo sapiens	1:Experimental evidence at protein level	Creatine kinase M-type	1.0	0.999	33	894	894	894	434	460	434	460	434	460	6.8769717E11	5.5228151E11	
contam_sp|P07339|CATD_HUMAN	P07339	CATD_HUMAN	CTSD	412	Homo sapiens	1:Experimental evidence at protein level	Cathepsin D	1.0	0.999	7	43	43	43	24	19	24	19	24	19	4.3262838E9	2.75911936E9	
contam_sp|P08758|ANXA5_HUMAN	P08758	ANXA5_HUMAN	ANXA5	320	Homo sapiens	1:Experimental evidence at protein level	Annexin A5	0.8122	0.9933	2	3	3	3	2	1	2	1	2	1	345989.84	616111.2	
contam_sp|P0DTE7|AMY1B_HUMAN	P0DTE7	AMY1B_HUMAN	AMY1B	511	Homo sapiens	1:Experimental evidence at protein level	Alpha-amylase 1B	1.0	0.999	5	27	0	27	12	15	0	0	12	15	2.64756045E9	1.76932646E9	contam_sp|P0DTE8|AMY1C_HUMAN, contam_sp|P0DUB6|AMY1A_HUMAN
contam_sp|P10599|THIO_HUMAN	P10599	THIO_HUMAN	TXN	105	Homo sapiens	1:Experimental evidence at protein level	Thioredoxin	1.0	0.999	7	23	23	23	12	11	12	11	12	11	7.2002298E8	3.95719232E8	
contam_sp|P10636|TAU_HUMAN	P10636	TAU_HUMAN	MAPT	758	Homo sapiens	1:Experimental evidence at protein level	Microtubule-associated protein tau	0.9997	0.9989	3	5	5	5	2	3	2	3	2	3	4963428.5	2.63590592E8	
contam_sp|P13645|K1C10_HUMAN	P13645	K1C10_HUMAN	KRT10	584	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 10	1.0	0.999	56	882	722	882	421	461	345	377	421	461	2.11307725E11	2.18354827E11	
contam_sp|P15241|K2M2_SHEEP	P15241	K2M2_SHEEP		491	Ovis aries	1:Experimental evidence at protein level	Keratin, type II microfibrillar, component 7C	0.9917	0.9868	5	1	0	91	1	0	0	0	45	46	6139315.0	0.0	
contam_sp|P25691|K2M3_SHEEP	P25691	K2M3_SHEEP		502	Ovis aries	1:Experimental evidence at protein level	Keratin, type II microfibrillar, component 5	1.0	0.9971	6	8	0	95	6	2	0	0	48	47	7.4468368E7	3.4239052E7	
contam_sp|P35527|K1C9_HUMAN	P35527	K1C9_HUMAN	KRT9	623	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 9	1.0	0.999	53	745	745	767	374	371	374	371	383	384	1.08867617E11	1.11326028E11	
contam_sp|P35908|K22E_HUMAN	P35908	K22E_HUMAN	KRT2	639	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 2 epidermal	1.0	0.999	82	730	728	919	360	370	360	368	443	476	1.03839597E11	9.8028757E10	
contam_sp|P51965|UB2E1_HUMAN	P51965	UB2E1_HUMAN	UBE2E1	193	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-conjugating enzyme E2 E1	0.9934	0.9987	2	4	4	4	1	3	1	3	1	3	9.379392E7	9.09932E7	
contam_sp|P61626|LYSC_HUMAN	P61626	LYSC_HUMAN	LYZ	148	Homo sapiens	1:Experimental evidence at protein level	Lysozyme C	1.0	0.999	7	13	13	13	7	6	7	6	7	6	1.6256608E8	2.1357968E8	
contam_sp|P62937|PPIA_HUMAN	P62937	PPIA_HUMAN	PPIA	165	Homo sapiens	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase A	0.953	0.9704	1	7	7	7	6	1	6	1	6	1	1.480808E7	0.0	
contam_sp|P62979|RS27A_HUMAN	P62979	RS27A_HUMAN	RPS27A	156	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-40S ribosomal protein S27a	1.0	0.999	9	412	412	412	208	204	208	204	208	204	7.8269956E10	7.098631E10	
contam_sp|P63279|UBC9_HUMAN	P63279	UBC9_HUMAN	UBE2I	158	Homo sapiens	1:Experimental evidence at protein level	SUMO-conjugating enzyme UBC9	1.0	0.9988	9	8	0	63	4	4	0	0	34	29	7.7677229E8	5.7238291E8	sp|Q9DDJ0|UBC9B_DANRE
contam_sp|P68871|HBB_HUMAN	P68871	HBB_HUMAN	HBB	147	Homo sapiens	1:Experimental evidence at protein level	Hemoglobin subunit beta	1.0	0.999	8	11	11	11	1	10	1	10	1	10	2.006296E7	1.1223712E9	
contam_sp|P69905|HBA_HUMAN	P69905	HBA_HUMAN	HBA2	142	Homo sapiens	1:Experimental evidence at protein level	Hemoglobin subunit alpha	1.0	0.999	6	9	9	9	1	8	1	8	1	8	1.2062647E7	7.1588826E8	
contam_sp|Q06830|PRDX1_HUMAN	Q06830	PRDX1_HUMAN	PRDX1	199	Homo sapiens	1:Experimental evidence at protein level	Peroxiredoxin-1	1.0	0.9987	8	59	59	59	36	23	36	23	36	23	1.7236949E10	1.4543745E10	
contam_sp|Q14532|K1H2_HUMAN	Q14532	K1H2_HUMAN	KRT32	448	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cuticular Ha2	0.848	0.9593	3	6	6	51	2	4	2	4	22	29	5.0222536E7	6.9173484E9	
contam_sp|Q15843|NEDD8_HUMAN	Q15843	NEDD8_HUMAN	NEDD8	81	Homo sapiens	1:Experimental evidence at protein level	NEDD8	1.0	0.999	4	9	9	9	6	3	6	3	6	3	1.2942496E9	1.47331824E8	
contam_sp|Q7M135|LYSC_LYSEN	Q7M135	LYSC_LYSEN		269	Lysobacter enzymogenes	1:Experimental evidence at protein level	Lysyl endopeptidase	0.9993	0.9985	3	6	6	6	4	2	4	2	4	2	8998518.0	2.7930378E7	
contam_sp|Q9NSB2|KRT84_HUMAN	Q9NSB2	KRT84_HUMAN	KRT84	600	Homo sapiens	2:Experimental evidence at transcript level	Keratin, type II cuticular Hb4	1.0	0.9989	8	94	94	236	51	43	51	43	122	114	1.27000199E11	1.1348634E11	
sp|A0A0G2KTI4|S12A2_DANRE	A0A0G2KTI4	S12A2_DANRE	slc12a2	1136	Danio rerio	1:Experimental evidence at protein level	Solute carrier family 12 member 2	1.0	0.999	15	28	28	28	16	12	16	12	16	12	8.3745965E8	6.1681434E8	
sp|A0A0R4I9Y1|R213B_DANRE	A0A0R4I9Y1	R213B_DANRE	rnf213b	5061	Danio rerio	3:Protein inferred from homology	E3 ubiquitin-protein ligase rnf213-beta	0.9896	0.9829	4	11	11	11	9	2	9	2	9	2	3.79784096E8	1.1001888E8	
sp|A0A0R4IB93|UBP48_DANRE	A0A0R4IB93	UBP48_DANRE	usp48	1047	Danio rerio	3:Protein inferred from homology	Ubiquitin carboxyl-terminal hydrolase 48	1.0	0.999	10	10	10	10	7	3	7	3	7	3	2.36048656E8	4.1750688E7	
sp|A0A0R4IBL7|HTF4_DANRE	A0A0R4IBL7	HTF4_DANRE	tcf12	726	Danio rerio	2:Experimental evidence at transcript level	Transcription factor 12	0.8058	0.993	1	1	1	1	1	0	1	0	1	0	2.9905182E7	0.0	
sp|A0A0R4IC37|CPSF1_DANRE	A0A0R4IC37	CPSF1_DANRE	cpsf1	1451	Danio rerio	3:Protein inferred from homology	Cleavage and polyadenylation specificity factor subunit 1	1.0	0.999	25	39	39	39	27	12	27	12	27	12	2.23985203E9	4.56025952E8	
sp|A0A0R4IEW8|ELAV4_DANRE	A0A0R4IEW8	ELAV4_DANRE	elavl4	411	Danio rerio	1:Experimental evidence at protein level	ELAV-like protein 4	1.0	0.999	20	130	130	130	68	62	68	62	68	62	2.09522033E10	1.72347822E10	
sp|A0A0R4IFG5|CFA53_DANRE	A0A0R4IFG5	CFA53_DANRE	cfap53	519	Danio rerio	2:Experimental evidence at transcript level	Cilia- and flagella-associated protein 53	0.8009	0.9928	1	4	4	4	2	2	2	2	2	2	2.2505E8	9.5131344E7	
sp|A0A0R4IKJ1|CAPAM_DANRE	A0A0R4IKJ1	CAPAM_DANRE	pcif1	721	Danio rerio	1:Experimental evidence at protein level	mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase	0.9999	0.9986	3	5	5	5	3	2	3	2	3	2	1.39913616E8	6.3805408E7	
sp|A0A0R4IKU3|RECK_DANRE	A0A0R4IKU3	RECK_DANRE	reck	955	Danio rerio	1:Experimental evidence at protein level	Reversion-inducing cysteine-rich protein with Kazal motifs	1.0	0.999	22	35	35	35	20	15	20	15	20	15	1.29937779E9	8.3457466E8	
sp|A0A0R4ITC5|TRRAP_DANRE	A0A0R4ITC5	TRRAP_DANRE	trrap	3841	Danio rerio	3:Protein inferred from homology	Transformation/transcription domain-associated protein	1.0	0.9971	10	12	12	12	6	6	6	6	6	6	4.90505312E8	1.12551078E9	
sp|A0A0R4IVV0|MTP_DANRE	A0A0R4IVV0	MTP_DANRE	mttp	884	Danio rerio	1:Experimental evidence at protein level	Microsomal triglyceride transfer protein large subunit	1.0	0.999	48	242	242	242	133	109	133	109	133	109	1.82108201E10	1.32545352E10	
sp|A0A0R4IWI1|COE1A_DANRE	A0A0R4IWI1	COE1A_DANRE	ebf1a	591	Danio rerio	2:Experimental evidence at transcript level	Transcription factor COE1-A	1.0	0.999	5	13	7	13	7	6	4	3	7	6	6.4132934E8	4.30892096E8	
sp|A0A0R4IYX6|Z687A_DANRE	A0A0R4IYX6	Z687A_DANRE	znf687a	1246	Danio rerio	2:Experimental evidence at transcript level	Zinc finger protein 687a	0.9652	0.9989	2	1	1	2	1	0	1	0	2	0	3.0643374E7	0.0	
sp|A0A0R4IZ84|EST1A_DANRE	A0A0R4IZ84	EST1A_DANRE	smg6	1544	Danio rerio	2:Experimental evidence at transcript level	Telomerase-binding protein EST1A	0.7547	0.9905	1	1	1	1	1	0	1	0	1	0	5.533872E7	0.0	
sp|A0A1Z2R986|EGLN_DANRE	A0A1Z2R986	EGLN_DANRE	eng	559	Danio rerio	2:Experimental evidence at transcript level	Endoglin	1.0	0.999	4	7	7	7	5	2	5	2	5	2	2.50941888E8	1.09214656E8	
sp|A0A286Y9D1|PHF14_DANRE	A0A286Y9D1	PHF14_DANRE	phf14	914	Danio rerio	1:Experimental evidence at protein level	PHD finger protein 14	0.6443	0.9841	1	1	1	1	1	0	1	0	1	0	2.6591018E7	0.0	
sp|A0A2R8Q3S9|CLCC1_DANRE	A0A2R8Q3S9	CLCC1_DANRE	clcc1	609	Danio rerio	2:Experimental evidence at transcript level	Chloride channel CLIC-like protein 1	0.9785	0.999	1	2	2	2	2	0	2	0	2	0	2.5130184E7	0.0	
sp|A0A2R8QCI3|DAPLE_DANRE	A0A2R8QCI3	DAPLE_DANRE	ccdc88c	2023	Danio rerio	2:Experimental evidence at transcript level	Protein Daple	1.0	0.9858	4	51	51	51	28	23	28	23	28	23	7.1519617E10	5.3526041E10	
sp|A0A2R8QF68|GRIK2_DANRE	A0A2R8QF68	GRIK2_DANRE	grik2	908	Danio rerio	3:Protein inferred from homology	Glutamate receptor ionotropic, kainate 2	0.9999	0.9968	4	4	4	4	3	1	3	1	3	1	6.9983264E7	3.0649922E7	
sp|A0A2R8QFQ6|FB11A_DANRE	A0A2R8QFQ6	FB11A_DANRE	fbxw11a	562	Danio rerio	2:Experimental evidence at transcript level	F-box and WD repeat domain-containing 11-A	0.9997	0.9979	3	4	0	4	2	2	0	0	2	2	8.5608552E7	4.8217488E7	
sp|A0A2R8QP51|DPP9_DANRE	A0A2R8QP51	DPP9_DANRE	dpp9	885	Danio rerio	3:Protein inferred from homology	Dipeptidyl peptidase 9	1.0	0.999	27	77	77	77	42	35	42	35	42	35	3.26528845E9	2.3259177E9	
sp|A0A8M1N5Y4|TMX3A_DANRE	A0A8M1N5Y4	TMX3A_DANRE	tmx3a	437	Danio rerio	2:Experimental evidence at transcript level	Protein disulfide-isomerase tmx3a	1.0	0.9989	6	11	11	11	7	4	7	4	7	4	4.1624672E8	2.32805232E8	
sp|A0A8M1NHK4|RBM47_DANRE	A0A8M1NHK4	RBM47_DANRE	rbm47	600	Danio rerio	1:Experimental evidence at protein level	RNA-binding protein 47	0.9999	0.9958	4	6	6	6	3	3	3	3	3	3	2.5506672E8	1.3083892E8	
sp|A0A8M2B5N2|TSN18_DANRE	A0A8M2B5N2	TSN18_DANRE	tspan18b	258	Danio rerio	2:Experimental evidence at transcript level	Tetraspanin-18B	0.4517	0.9656	1	2	2	2	2	0	2	0	2	0	3.7703164E7	0.0	
sp|A0A8M2BIB6|DSG2L_DANRE	A0A8M2BIB6	DSG2L_DANRE	dsg2l	1063	Danio rerio	2:Experimental evidence at transcript level	Desmoglein-2-like protein	1.0	0.999	8	10	10	10	9	1	9	1	9	1	4.09769504E8	7.7941176E7	
sp|A0A8M2BID5|DESPA_DANRE	A0A8M2BID5	DESPA_DANRE	dspa	2059	Danio rerio	2:Experimental evidence at transcript level	Desmoplakin-A	1.0	0.999	86	208	204	208	107	101	105	99	107	101	9.6659866E9	6.2813542E9	
sp|A0A8M3AJY3|ABRX2_DANRE	A0A8M3AJY3	ABRX2_DANRE	abraxas2	416	Danio rerio	1:Experimental evidence at protein level	BRISC complex subunit abraxas 2	0.9992	0.9968	4	7	7	7	4	3	4	3	4	3	1.69969552E8	9.8616512E7	
sp|A0A8M3B525|BRCC3_DANRE	A0A8M3B525	BRCC3_DANRE	brcc3	287	Danio rerio	1:Experimental evidence at protein level	Lys-63-specific deubiquitinase	1.0	0.999	5	11	11	11	7	4	7	4	7	4	4.20606176E8	2.21523104E8	
sp|A0A8M9PFP2|CSTN3_DANRE	A0A8M9PFP2	CSTN3_DANRE	clstn3	956	Danio rerio	1:Experimental evidence at protein level	Calsyntenin-3	0.9985	0.9989	2	2	2	2	2	0	2	0	2	0	1.4951157E7	0.0	
sp|A0A8M9PQ61|DESPB_DANRE	A0A8M9PQ61	DESPB_DANRE	dspb	2207	Danio rerio	2:Experimental evidence at transcript level	Desmoplakin-B	1.0	0.999	91	194	194	198	113	81	113	81	115	83	8.1518356E9	4.724693E9	
sp|A0AUR5|MINY3_DANRE	A0AUR5	MINY3_DANRE	mindy3	446	Danio rerio	2:Experimental evidence at transcript level	Ubiquitin carboxyl-terminal hydrolase MINDY-3	0.9999	0.999	2	4	4	4	2	2	2	2	2	2	1.31462016E8	6.5592784E7	
sp|A0AUS0|WSDU1_DANRE	A0AUS0	WSDU1_DANRE	wdsub1	487	Danio rerio	2:Experimental evidence at transcript level	WD repeat, SAM and U-box domain-containing protein 1	1.0	0.999	4	6	6	6	3	3	3	3	3	3	3.2946542E7	2.6611146E7	
sp|A0JMD0|CLU_DANRE	A0JMD0	CLU_DANRE	cluh	1400	Danio rerio	2:Experimental evidence at transcript level	Clustered mitochondria protein homolog	1.0	0.999	36	87	87	87	46	41	46	41	46	41	4.05541478E9	2.95937075E9	
sp|A0JME2|MCAF1_DANRE	A0JME2	MCAF1_DANRE	atf7ip	815	Danio rerio	1:Experimental evidence at protein level	Activating transcription factor 7-interacting protein 1	0.9065	0.997	2	4	4	4	3	1	3	1	3	1	2.6472926E7	1.4299734E7	
sp|A0JME6|ISOC2_DANRE	A0JME6	ISOC2_DANRE	isoc2	197	Danio rerio	2:Experimental evidence at transcript level	Isochorismatase domain-containing protein 2	1.0	0.999	6	20	20	20	11	9	11	9	11	9	1.49698829E9	1.0697504E9	
sp|A0JMI9|RRF2M_DANRE	A0JMI9	RRF2M_DANRE	gfm2	762	Danio rerio	2:Experimental evidence at transcript level	Ribosome-releasing factor 2, mitochondrial	0.9976	0.9984	5	6	6	6	5	1	5	1	5	1	1.37113952E8	2.7445602E7	
sp|A0JMK5|MTMR2_DANRE	A0JMK5	MTMR2_DANRE	mtmr2	620	Danio rerio	2:Experimental evidence at transcript level	Phosphatidylinositol-3,5-bisphosphate 3-phosphatase MTMR2	1.0	0.999	10	23	23	23	14	9	14	9	14	9	3.9531369E9	2.53984256E9	
sp|A0JML8|DALD3_DANRE	A0JML8	DALD3_DANRE	dalrd3	558	Danio rerio	2:Experimental evidence at transcript level	DALR anticodon-binding domain-containing protein 3	0.753	0.9905	2	2	2	2	2	0	2	0	2	0	7.9831016E7	0.0	
sp|A0JMP0|PGGHG_DANRE	A0JMP0	PGGHG_DANRE	pgghg	655	Danio rerio	2:Experimental evidence at transcript level	Protein-glucosylgalactosylhydroxylysine glucosidase	1.0	0.999	5	7	7	7	4	3	4	3	4	3	2.50002256E8	1.70968512E8	
sp|A0MS83|ZN148_DANRE	A0MS83	ZN148_DANRE	znf148	808	Danio rerio	2:Experimental evidence at transcript level	Zinc finger protein 148	0.8506	0.9949	1	2	2	2	1	1	1	1	1	1	4.778544E7	2.3587326E7	
sp|A0MTA1|APEX1_DANRE	A0MTA1	APEX1_DANRE	apex1	310	Danio rerio	1:Experimental evidence at protein level	DNA repair nuclease APEX1	1.0	0.999	21	73	73	73	39	34	39	34	39	34	5.4522957E9	4.26264499E9	
sp|A0PJR5|ECHD3_DANRE	A0PJR5	ECHD3_DANRE	echdc3	289	Danio rerio	2:Experimental evidence at transcript level	Enoyl-CoA hydratase domain-containing protein 3, mitochondrial	0.9959	0.9962	4	5	5	5	4	1	4	1	4	1	6.0810944E8	9.6611E7	
sp|A1A5H6|CNOT1_DANRE	A1A5H6	CNOT1_DANRE	cnot1	2374	Danio rerio	2:Experimental evidence at transcript level	CCR4-NOT transcription complex subunit 1	1.0	0.999	40	64	64	64	40	24	40	24	40	24	2.54300774E9	1.86099981E9	
sp|A1A5H8|YES_DANRE	A1A5H8	YES_DANRE	yes1	546	Danio rerio	1:Experimental evidence at protein level	Tyrosine-protein kinase yes	1.0	0.999	26	62	30	62	35	27	18	12	35	27	3.66953472E9	3.77949542E9	
sp|A1A5V7|TM41B_DANRE	A1A5V7	TM41B_DANRE	tmem41b	282	Danio rerio	2:Experimental evidence at transcript level	Transmembrane protein 41B	0.9893	0.9866	2	4	4	4	2	2	2	2	2	2	1.0800772E8	8.8504104E7	
sp|A1A5V9|ELP5_DANRE	A1A5V9	ELP5_DANRE	elp5	296	Danio rerio	2:Experimental evidence at transcript level	Elongator complex protein 5	0.9573	0.9987	1	1	1	1	1	0	1	0	1	0	4.0609156E7	0.0	
