Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,170928_MW_1 Spectral Count,170928_MW_2 Spectral Count,170928_MW_3 Spectral Count,170928_MW_4 Spectral Count,170928_MW_5 Spectral Count,170928_MW_6 Spectral Count,170928_MW_1 Unique Spectral Count,170928_MW_2 Unique Spectral Count,170928_MW_3 Unique Spectral Count,170928_MW_4 Unique Spectral Count,170928_MW_5 Unique Spectral Count,170928_MW_6 Unique Spectral Count,170928_MW_1 Total Spectral Count,170928_MW_2 Total Spectral Count,170928_MW_3 Total Spectral Count,170928_MW_4 Total Spectral Count,170928_MW_5 Total Spectral Count,170928_MW_6 Total Spectral Count,170928_MW_1_6dpf_Intensity,170928_MW_2_6dpf_Intensity,170928_MW_3_6dpf_Intensity,170928_MW_4_6dpf_Intensity,170928_MW_5_6dpf_Intensity,170928_MW_6_6dpf_Intensity,170928_MW_1 MaxLFQ_6dpf_Intensity,170928_MW_2 MaxLFQ_6dpf_Intensity,170928_MW_3 MaxLFQ_6dpf_Intensity,170928_MW_4 MaxLFQ_6dpf_Intensity,170928_MW_5 MaxLFQ_6dpf_Intensity,170928_MW_6 MaxLFQ_6dpf_Intensity,Indistinguishable Proteins
sp|A0A0G2KTI4|S12A2_DANRE,A0A0G2KTI4,S12A2_DANRE,slc12a2,1136,Danio rerio,1:Experimental evidence at protein level,Solute carrier family 12 member 2,0.9993,0.9962,2,6,6,6,2,1,2,0,0,1,2,1,2,0,0,1,2,1,2,0,0,1,0,0,25030522,0,0,110660288,0,0,25030522,0,0,110660288,
sp|A0A0R4IB93|UBP48_DANRE,A0A0R4IB93,UBP48_DANRE,usp48,1047,Danio rerio,3:Protein inferred from homology,Ubiquitin carboxyl-terminal hydrolase 48,0.9893,0.9989,1,5,5,5,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,3045561,0,0,11426456,0,0,3045561,0,0,11426456,0,
sp|A0A0R4IC37|CPSF1_DANRE,A0A0R4IC37,CPSF1_DANRE,cpsf1,1451,Danio rerio,3:Protein inferred from homology,Cleavage and polyadenylation specificity factor subunit 1,0.9833,0.9648,2,5,5,5,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A0A0R4IES7|BLTP1_DANRE,A0A0R4IES7,BLTP1_DANRE,bltp1,4923,Danio rerio,3:Protein inferred from homology,Bridge-like lipid transfer protein family member 1,0.9993,0.9499,2,3,3,3,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,80766784,0,100705112,79528568,0,0,80766784,0,100705112,79528568,0,
sp|A0A0R4IEW8|ELAV4_DANRE,A0A0R4IEW8,ELAV4_DANRE,elavl4,411,Danio rerio,1:Experimental evidence at protein level,ELAV-like protein 4,1,0.999,10,39,39,39,4,8,7,7,7,6,4,8,7,7,7,6,4,8,7,7,7,6,209656000,684582210,828814660,529317184,410181152,607782210,166249680,197914528,221630672,230713632,246731056,223316480,
sp|A0A0R4IKU3|RECK_DANRE,A0A0R4IKU3,RECK_DANRE,reck,955,Danio rerio,1:Experimental evidence at protein level,Reversion-inducing cysteine-rich protein with Kazal motifs,0.9182,0.9976,1,2,2,2,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A0A0R4ITC5|TRRAP_DANRE,A0A0R4ITC5,TRRAP_DANRE,trrap,3841,Danio rerio,3:Protein inferred from homology,Transformation/transcription domain-associated protein,0.9999,0.9861,2,3,3,3,0,0,2,0,0,1,0,0,2,0,0,1,0,0,2,0,0,1,77162616,75864664,112139904,0,0,91171776,77162616,75864664,112139904,0,0,91171776,
sp|A0A0R4IVV0|MTP_DANRE,A0A0R4IVV0,MTP_DANRE,mttp,884,Danio rerio,1:Experimental evidence at protein level,Microsomal triglyceride transfer protein large subunit,0.9997,0.9961,2,6,6,6,2,2,0,0,1,1,2,2,0,0,1,1,2,2,0,0,1,1,144531168,123049272,0,0,126063552,281230016,144531168,123049272,0,0,126063552,281230016,
sp|A0A2R8QP51|DPP9_DANRE,A0A2R8QP51,DPP9_DANRE,dpp9,885,Danio rerio,3:Protein inferred from homology,Dipeptidyl peptidase 9,0.9641,0.999,1,13,13,13,2,2,3,1,2,3,2,2,3,1,2,3,2,2,3,1,2,3,2306411.5,774603.6,12007794,471343.12,3804481.2,2756540.8,2306411.5,774603.6,12007794,471343.12,3804481.2,2756540.8,
sp|A0A8M1N5Y4|TMX3A_DANRE,A0A8M1N5Y4,TMX3A_DANRE,tmx3a,437,Danio rerio,2:Experimental evidence at transcript level,Protein disulfide-isomerase tmx3a,1,0.999,5,11,11,11,0,3,4,1,2,1,0,3,4,1,2,1,0,3,4,1,2,1,0,204984064,176917712,19067612,0,31569054,0,65762228,79225048,48516364,0,55362516,
sp|A0A8M2BID5|DESPA_DANRE,A0A8M2BID5,DESPA_DANRE,dspa,2059,Danio rerio,2:Experimental evidence at transcript level,Desmoplakin-A,0.9426,0.9696,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A0JMI9|RRF2M_DANRE,A0JMI9,RRF2M_DANRE,gfm2,762,Danio rerio,2:Experimental evidence at transcript level,"Ribosome-releasing factor 2, mitochondrial",0.8851,0.9965,1,2,2,2,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A0JMQ0|BOP1_DANRE,A0JMQ0,BOP1_DANRE,bop1,777,Danio rerio,2:Experimental evidence at transcript level,Ribosome biogenesis protein bop1,0.951,0.9739,2,2,2,2,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,671044610,983281280,0,0,800948740,949447740,671044610,958869820,0,0,800948740,949447740,
sp|A0MTA1|APEX1_DANRE,A0MTA1,APEX1_DANRE,apex1,310,Danio rerio,1:Experimental evidence at protein level,DNA repair nuclease APEX1,1,0.999,9,67,67,67,9,11,9,7,15,16,9,11,9,7,15,16,9,11,9,7,15,16,212190208,386362336,282931424,265875744,724381700,643064450,70407456,116622288,106528400,144890256,310513664,176979360,
sp|A1A5H6|CNOT1_DANRE,A1A5H6,CNOT1_DANRE,cnot1,2374,Danio rerio,2:Experimental evidence at transcript level,CCR4-NOT transcription complex subunit 1,1,0.9988,7,14,14,14,2,3,2,3,2,2,2,3,2,3,2,2,2,3,2,3,2,2,0,9836726,9605800,34062320,6406713.5,19363310,0,14143422,0,15967121,9211688,13467516,
sp|A1A5H8|YES_DANRE,A1A5H8,YES_DANRE,yes1,546,Danio rerio,1:Experimental evidence at protein level,Tyrosine-protein kinase yes,0.963,0.9976,2,7,0,7,1,1,2,2,0,1,0,0,0,0,0,0,1,1,2,2,0,1,66013008,142214880,82095760,182343040,71099432,156653472,66013008,81906232,82095760,106591416,71099432,89091016,"sp|F1RDG9|FYNB_DANRE, sp|Q6EWH2|FYNA_DANRE"
sp|A1A5Z3|EFTS_DANRE,A1A5Z3,EFTS_DANRE,tsfm,305,Danio rerio,2:Experimental evidence at transcript level,"Elongation factor Ts, mitochondrial",1,0.999,2,3,3,3,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A1L1F4|PDS5A_DANRE,A1L1F4,PDS5A_DANRE,pds5a,1320,Danio rerio,2:Experimental evidence at transcript level,Sister chromatid cohesion protein PDS5 homolog A,1,0.999,7,19,19,19,2,4,3,3,3,4,2,4,3,3,3,4,2,4,3,3,3,4,188751216,41021872,39754452,20035580,19670908,79388120,126411632,42113056,38667088,10297974,20944046,48975232,
sp|A1L1W9|MOT10_DANRE,A1L1W9,MOT10_DANRE,slc16a10,505,Danio rerio,2:Experimental evidence at transcript level,Monocarboxylate transporter 10,0.5052,0.9741,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A1L244|SAC1B_DANRE,A1L244,SAC1B_DANRE,sacm1lb,586,Danio rerio,2:Experimental evidence at transcript level,Phosphatidylinositol-3-phosphatase SAC1-B,0.9447,0.985,5,4,4,10,0,0,2,1,0,1,0,0,2,1,0,1,0,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A1L251|ENASE_DANRE,A1L251,ENASE_DANRE,engase,713,Danio rerio,2:Experimental evidence at transcript level,Cytosolic endo-beta-N-acetylglucosaminidase,0.9976,0.993,2,3,3,3,0,0,1,0,0,2,0,0,1,0,0,2,0,0,1,0,0,2,0,0,0,0,0,247408336,0,0,0,0,0,0,
