Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	E Spectral Count	L Spectral Count	E Unique Spectral Count	L Unique Spectral Count	E Total Spectral Count	L Total Spectral Count	E Intensity	L Intensity	Indistinguishable Proteins
contam_sp|P00167|CYB5_HUMAN	P00167	CYB5_HUMAN	CYB5A	134	Homo sapiens	1:Experimental evidence at protein level	Cytochrome b5	1.0	0.9983	1	6	6	6	0	6	0	6	0	6	0.0	1.71277824E9	
contam_sp|P00366|DHE3_BOVIN	P00366	DHE3_BOVIN	GLUD1	558	Bos taurus	1:Experimental evidence at protein level	Glutamate dehydrogenase 1, mitochondrial	1.0	0.9989	9	31	31	31	0	31	0	31	0	31	0.0	5.6770299E9	
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	4	99	99	99	9	90	9	90	9	90	9.0717522E9	7.9579333E10	
contam_sp|P04040|CATA_HUMAN	P04040	CATA_HUMAN	CAT	527	Homo sapiens	1:Experimental evidence at protein level	Catalase	1.0	0.9985	5	15	15	34	0	15	0	15	0	34	0.0	4.5147976E9	
contam_sp|P04264|K2C1_HUMAN	P04264	K2C1_HUMAN	KRT1	644	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 1	1.0	0.999	26	40	34	45	2	38	1	33	2	43	7.2172392E7	2.47484129E10	
contam_sp|P05413|FABPH_HUMAN	P05413	FABPH_HUMAN	FABP3	133	Homo sapiens	1:Experimental evidence at protein level	Fatty acid-binding protein, heart	1.0	0.9963	3	10	10	10	0	10	0	10	0	10	0.0	1.29529836E10	
contam_sp|P06732|KCRM_HUMAN	P06732	KCRM_HUMAN	CKM	381	Homo sapiens	1:Experimental evidence at protein level	Creatine kinase M-type	0.9741	0.999	1	1	1	1	0	1	0	1	0	1	0.0	5.9473581E8	
contam_sp|P0DTE7|AMY1B_HUMAN	P0DTE7	AMY1B_HUMAN	AMY1B	511	Homo sapiens	1:Experimental evidence at protein level	Alpha-amylase 1B	0.9943	0.9982	1	2	0	2	0	2	0	0	0	2	0.0	6.5555664E7	contam_sp|P0DTE8|AMY1C_HUMAN, contam_sp|P0DUB6|AMY1A_HUMAN
contam_sp|P13645|K1C10_HUMAN	P13645	K1C10_HUMAN	KRT10	584	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 10	1.0	0.999	16	21	20	25	0	21	0	20	0	25	0.0	5.5757056E9	
contam_sp|P35527|K1C9_HUMAN	P35527	K1C9_HUMAN	KRT9	623	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 9	1.0	0.999	13	22	22	22	2	20	2	20	2	20	3298112.0	1.41674455E10	
contam_sp|P35908|K22E_HUMAN	P35908	K22E_HUMAN	KRT2	639	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 2 epidermal	1.0	0.999	12	9	9	19	0	9	0	9	1	18	0.0	1.57005914E9	
contam_sp|P62979|RS27A_HUMAN	P62979	RS27A_HUMAN	RPS27A	156	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-40S ribosomal protein S27a	1.0	0.999	5	24	24	24	2	22	2	22	2	22	1.59961552E8	6.5574451E9	
contam_sp|Q06830|PRDX1_HUMAN	Q06830	PRDX1_HUMAN	PRDX1	199	Homo sapiens	1:Experimental evidence at protein level	Peroxiredoxin-1	0.8465	0.993	1	2	2	2	0	2	0	2	0	2	0.0	8.7814608E7	
contam_sp|Q9NSB2|KRT84_HUMAN	Q9NSB2	KRT84_HUMAN	KRT84	600	Homo sapiens	2:Experimental evidence at transcript level	Keratin, type II cuticular Hb4	0.9875	0.9656	2	1	1	5	0	1	0	1	0	5	0.0	0.0	
sp|A0A0R4IVV0|MTP_DANRE	A0A0R4IVV0	MTP_DANRE	mttp	884	Danio rerio	1:Experimental evidence at protein level	Microsomal triglyceride transfer protein large subunit	1.0	0.999	14	34	34	34	0	34	0	34	0	34	0.0	6.2133837E9	
sp|A0JME6|ISOC2_DANRE	A0JME6	ISOC2_DANRE	isoc2	197	Danio rerio	2:Experimental evidence at transcript level	Isochorismatase domain-containing protein 2	0.9764	0.9937	1	1	1	1	0	1	0	1	0	1	0.0	6.2125368E7	
