Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Bad_oocyte_1 Spectral Count	Good_oocyte_1 Spectral Count	Bad_oocyte_1 Unique Spectral Count	Good_oocyte_1 Unique Spectral Count	Bad_oocyte_1 Total Spectral Count	Good_oocyte_1 Total Spectral Count	Bad_oocyte_1 Intensity	Good_oocyte_1 Intensity	Indistinguishable Proteins
contam_sp|O77727|K1C15_SHEEP	O77727	K1C15_SHEEP	KRT15	453	Ovis aries	2:Experimental evidence at transcript level	Keratin, type I cytoskeletal 15	0.9993	0.9955	5	6	6	25	5	1	5	1	18	7	2.8747936E8	5697507.5	
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	6	1035	1035	1035	641	394	641	394	641	394	3.26056387E10	1.7712982E10	
contam_sp|P02662|CASA1_BOVIN	P02662	CASA1_BOVIN	CSN1S1	214	Bos taurus	1:Experimental evidence at protein level	Alpha-S1-casein	0.9991	0.964	3	4	4	4	2	2	2	2	2	2	0.0	3.0582972E7	
contam_sp|P02663|CASA2_BOVIN	P02663	CASA2_BOVIN	CSN1S2	222	Bos taurus	1:Experimental evidence at protein level	Alpha-S2-casein	0.9949	0.9678	2	2	2	2	2	0	2	0	2	0	2680827.0	0.0	
contam_sp|P02666|CASB_BOVIN	P02666	CASB_BOVIN	CSN2	224	Bos taurus	1:Experimental evidence at protein level	Beta-casein	0.9997	0.995	1	2	2	2	0	2	0	2	0	2	0.0	2.4944772E7	
contam_sp|P04264|K2C1_HUMAN	P04264	K2C1_HUMAN	KRT1	644	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 1	1.0	0.9989	28	144	120	144	77	67	64	56	77	67	8.6501638E8	1.17450138E9	
contam_sp|P06732|KCRM_HUMAN	P06732	KCRM_HUMAN	CKM	381	Homo sapiens	1:Experimental evidence at protein level	Creatine kinase M-type	0.9998	0.999	1	7	7	7	4	3	4	3	4	3	1.82234163E9	9.4723789E8	
contam_sp|P0DTE7|AMY1B_HUMAN	P0DTE7	AMY1B_HUMAN	AMY1B	511	Homo sapiens	1:Experimental evidence at protein level	Alpha-amylase 1B	1.0	0.9834	3	9	0	9	2	7	0	0	2	7	9.9273968E7	1.61869376E8	contam_sp|P0DTE8|AMY1C_HUMAN, contam_sp|P0DUB6|AMY1A_HUMAN
contam_sp|P13645|K1C10_HUMAN	P13645	K1C10_HUMAN	KRT10	584	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 10	1.0	0.9989	31	138	117	138	85	53	70	47	85	53	6.9001939E8	8.6658144E8	
contam_sp|P35527|K1C9_HUMAN	P35527	K1C9_HUMAN	KRT9	623	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 9	1.0	0.999	22	83	83	85	41	42	41	42	43	42	2.29158432E8	2.65261952E8	
contam_sp|P35908|K22E_HUMAN	P35908	K22E_HUMAN	KRT2	639	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 2 epidermal	1.0	0.9988	25	79	77	102	45	34	43	34	58	44	1.18044256E8	2.45311872E8	
contam_sp|P62979|RS27A_HUMAN	P62979	RS27A_HUMAN	RPS27A	156	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-40S ribosomal protein S27a	1.0	0.996	3	14	14	14	8	6	8	6	8	6	7.7175896E7	5.7166916E7	
contam_sp|Q15323|K1H1_HUMAN	Q15323	K1H1_HUMAN	KRT31	416	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cuticular Ha1	0.8472	0.9848	2	1	1	10	1	0	1	0	7	3	1.506787E7	0.0	
