identifier,announce_date
PXD022578,8/29/24
PXD047541,8/21/24
PXD043679,6/16/24
PXD043676,6/16/24
PXD036678,5/1/24
PXD042434,4/12/24
PXD045444,1/2/24
PXD045650,1/2/24
PXD026866,11/14/23
PXD039560,10/10/23
PXD042791,10/9/23
PXD017896,8/25/23
PXD038229,3/11/23
PXD036867,2/25/23
PXD036868,2/25/23
PXD036869,2/25/23
PXD036875,2/25/23
PXD039348,1/9/23
PXD036250,8/23/22
PXD021670,2/28/22
PXD025850,2/17/22
PXD023933,9/9/21
PXD021302,9/9/21
PXD009612,8/22/21
PXD019079,1/15/21
PXD019111,1/14/21
PXD017419,10/29/20
PXD016714,12/12/19
PXD010922,9/9/19
PXD013835,6/3/19
PXD012027,12/13/18
PXD008614,11/27/18
PXD009594,10/10/18
PXD005129,11/27/17
PXD005137,11/27/17
PXD006098,3/27/17
PXD000145,6/9/16
PXD002124,10/14/15
PXD000479,2/26/14
PXD048920,9/27/24
PXD046978,9/25/24
PXD042283,9/3/24
PXD048925,8/27/24
PXD038300,8/9/24
PXD052468,7/31/24
PXD044765,7/25/24
PXD053400,6/25/24
PXD048128,6/16/24
PXD040431,5/24/24
PXD047121,5/10/24
PXD038406,3/7/24
PXD033338,3/4/24
PXD048516,2/25/24
PXD049175,2/5/24
PXD046452,1/26/24
PXD009934,1/26/24
PXD024626,1/23/24
PXD048620,1/16/24
PXD034247,12/28/23
PXD035409,10/24/23
PXD037605,9/7/23
PXD037590,9/6/23
PXD045016,8/31/23
PXD030527,3/11/23
PXD027741,3/11/23
PXD036830,3/10/23
PXD037981,1/19/23
PXD038134,11/14/22
PXD016357,7/24/22
PXD030733,6/9/22
PXD028191,3/31/22
PXD028131,3/16/22
PXD027280,3/7/22
PXD027528,2/22/22
PXD024665,2/16/22
PXD026646,2/10/22
PXD030522,2/10/22
PXD030918,1/20/22
PXD016847,9/8/21
PXD026024,6/30/21
PXD026023,6/30/21
PXD026022,6/30/21
PXD026021,6/30/21
PXD026007,6/30/21
PXD023506,6/27/21
PXD024942,5/27/21
PXD023037,3/22/21
PXD023765,1/23/21
PXD020342,12/8/20
PXD021557,9/18/20
PXD016235,7/16/20
PXD017702,5/26/20
PXD015577,5/26/20
PXD017523,4/9/20
PXD016718,3/18/20
PXD017123,2/12/20
PXD013357,11/18/19
PXD013552,9/26/19
PXD013173,9/20/19
PXD014480,8/29/19
PXD010092,8/26/19
PXD011627,8/22/19
PXD011981,5/24/19
PXD011022,4/30/19
PXD011258,4/10/19
PXD012735,3/21/19
PXD010869,12/18/18
PXD010876,12/18/18
PXD007169,10/23/18
PXD008993,10/19/18
PXD004209,7/5/18
PXD004876,6/15/18
PXD005131,5/22/17
PXD005843,3/21/17
PXD005630,3/6/17
PXD003455,10/10/16
PXD001164,1/27/16
PXD002232,10/14/15
PXD001876,3/30/15
PXD000112,12/18/12
