Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	WT Spectral Count	vtg1_KO Spectral Count	vtg3_KO Spectral Count	WT Unique Spectral Count	vtg1_KO Unique Spectral Count	vtg3_KO Unique Spectral Count	WT Total Spectral Count	vtg1_KO Total Spectral Count	vtg3_KO Total Spectral Count	WT Intensity	vtg1_KO Intensity	vtg3_KO Intensity	WT MaxLFQ Intensity	vtg1_KO MaxLFQ Intensity	vtg3_KO MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.9891	2	15	15	15	5	8	2	5	8	2	5	8	2	6.7122586E8	6.4296899E9	8.7562208E8	1.28871322E9	1.40834342E9	1.3363488E9	
contam_sp|P04264|K2C1_HUMAN	P04264	K2C1_HUMAN	KRT1	644	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 1	0.7143	0.8255	1	1	0	1	1	0	0	0	0	0	1	0	0	5.04940032E8	0.0	0.0	0.0	0.0	0.0	contam_sp|P35908|K22E_HUMAN
contam_sp|P0DTE7|AMY1B_HUMAN	P0DTE7	AMY1B_HUMAN	AMY1B	511	Homo sapiens	1:Experimental evidence at protein level	Alpha-amylase 1B	0.9796	0.9891	1	1	0	1	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	contam_sp|P0DTE8|AMY1C_HUMAN, contam_sp|P0DUB6|AMY1A_HUMAN
sp|A0A0R4IBK5|R213A_DANRE	A0A0R4IBK5	R213A_DANRE	rnf213a	5209	Danio rerio	3:Protein inferred from homology	E3 ubiquitin-protein ligase rnf213-alpha	0.9796	0.9891	1	1	1	1	0	0	1	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A2BFC9|CFA77_DANRE	A2BFC9	CFA77_DANRE	cfap77	240	Danio rerio	3:Protein inferred from homology	Cilia- and flagella-associated protein 77	0.9796	0.9891	1	1	1	1	0	0	1	0	0	1	0	0	1	0.0	0.0	9.2527391E9	0.0	0.0	0.0	
sp|B0S6C5|RTSTL_DANRE	B0S6C5	RTSTL_DANRE	retsatl	604	Danio rerio	1:Experimental evidence at protein level	Inactive all-trans-retinol 13,14-reductase	0.9998	0.9891	3	4	4	4	0	3	1	0	3	1	0	3	1	0.0	7.4091981E8	3.57319424E8	0.0	0.0	0.0	
sp|F1QWM2|STYL2_DANRE	F1QWM2	STYL2_DANRE	styxl2	1100	Danio rerio	1:Experimental evidence at protein level	Serine/threonine/tyrosine-interacting-like protein 2	0.9796	0.9891	1	1	1	1	0	0	1	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O57521|HS90B_DANRE	O57521	HS90B_DANRE	hsp90ab1	725	Danio rerio	1:Experimental evidence at protein level	Heat shock protein HSP 90-beta	0.9277	0.7198	2	2	2	2	0	0	2	0	0	2	0	0	2	0.0	0.0	1.03121848E8	0.0	0.0	0.0	
sp|O73872|SODC_DANRE	O73872	SODC_DANRE	sod1	154	Danio rerio	2:Experimental evidence at transcript level	Superoxide dismutase [Cu-Zn]	0.9409	0.7477	2	2	2	2	0	2	0	0	2	0	0	2	0	0.0	1.74201728E8	0.0	0.0	0.0	0.0	
sp|P79735|RAN_DANRE	P79735	RAN_DANRE	ran	215	Danio rerio	2:Experimental evidence at transcript level	GTP-binding nuclear protein Ran	0.6767	0.7985	1	1	1	1	0	1	0	0	1	0	0	1	0	0.0	1.09259896E8	0.0	0.0	0.0	0.0	
