Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,E Spectral Count,L Spectral Count,E Unique Spectral Count,L Unique Spectral Count,E Total Spectral Count,L Total Spectral Count,Oocyte_Intensity,Liver_Intensity,Indistinguishable Proteins
sp|A0A0R4IVV0|MTP_DANRE,A0A0R4IVV0,MTP_DANRE,mttp,884,Danio rerio,1:Experimental evidence at protein level,Microsomal triglyceride transfer protein large subunit,1,0.999,14,34,34,34,0,34,0,34,0,34,0,6213383700,
sp|A0JME6|ISOC2_DANRE,A0JME6,ISOC2_DANRE,isoc2,197,Danio rerio,2:Experimental evidence at transcript level,Isochorismatase domain-containing protein 2,0.9764,0.9937,1,1,1,1,0,1,0,1,0,1,0,62125368,
sp|A1L259|URAD_DANRE,A1L259,URAD_DANRE,urad,174,Danio rerio,1:Experimental evidence at protein level,2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase,1,0.999,7,17,17,17,0,17,0,17,0,17,0,3472913150,
sp|A2BGU9|SERHL_DANRE,A2BGU9,SERHL_DANRE,serhl,326,Danio rerio,2:Experimental evidence at transcript level,Serine hydrolase-like protein,1,0.9988,2,3,3,3,0,3,0,3,0,3,0,303772352,
sp|A3QK15|AACS_DANRE,A3QK15,AACS_DANRE,aacs,673,Danio rerio,2:Experimental evidence at transcript level,Acetoacetyl-CoA synthetase,1,0.9987,3,7,7,7,0,7,0,7,0,7,0,799368640,
sp|A4FUM1|SEP8B_DANRE,A4FUM1,SEP8B_DANRE,sept8b,423,Danio rerio,2:Experimental evidence at transcript level,Septin-8-B,0.6202,0.9767,1,1,0,1,0,1,0,0,0,1,0,96934192,sp|Q642H3|SEP8A_DANRE
sp|A5PLK2|LHPP_DANRE,A5PLK2,LHPP_DANRE,lhpp,270,Danio rerio,2:Experimental evidence at transcript level,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase,0.9972,0.9983,1,2,2,2,0,2,0,2,0,2,0,15001674,
sp|A7MBU6|T23OA_DANRE,A7MBU6,T23OA_DANRE,tdo2a,406,Danio rerio,2:Experimental evidence at transcript level,"Tryptophan 2,3-dioxygenase A",0.9996,0.9977,1,3,3,3,0,3,0,3,0,3,0,121911928,
sp|A9C3P0|MLEC_DANRE,A9C3P0,MLEC_DANRE,mlec,285,Danio rerio,3:Protein inferred from homology,Malectin,1,0.9989,2,5,5,5,0,5,0,5,0,5,0,159928016,
sp|B0R0D7|COR1C_DANRE,B0R0D7,COR1C_DANRE,coro1ca,474,Danio rerio,2:Experimental evidence at transcript level,Coronin-1C-A,1,0.997,3,5,5,5,0,5,0,5,0,5,0,67622568,
sp|B5DE31|YBOX1_DANRE,B5DE31,YBOX1_DANRE,ybx1,310,Danio rerio,1:Experimental evidence at protein level,Y-box-binding protein 1,1,0.999,5,28,28,28,1,27,1,27,1,27,25612344,4209252100,
sp|B8A5I7|SSBP_DANRE,B8A5I7,SSBP_DANRE,ssbp1,146,Danio rerio,1:Experimental evidence at protein level,"Single-stranded DNA-binding protein, mitochondrial",0.9053,0.9959,1,3,3,3,0,3,0,3,0,3,0,33012424,
sp|B8A5W4|DHRSX_DANRE,B8A5W4,DHRSX_DANRE,dhrsx,324,Danio rerio,3:Protein inferred from homology,Polyprenol dehydrogenase,0.5035,0.963,1,2,2,2,0,2,0,2,0,2,0,32045908,
sp|E7FDW8|TRD7B_DANRE,E7FDW8,TRD7B_DANRE,tdrd7b,1085,Danio rerio,3:Protein inferred from homology,Tudor domain-containing protein 7B,0.6612,0.9804,1,1,1,1,0,1,0,1,0,1,0,216551728,
sp|E9QI36|HARS1_DANRE,E9QI36,HARS1_DANRE,hars,513,Danio rerio,3:Protein inferred from homology,Histidine--tRNA ligase,1,0.9892,3,5,2,5,0,5,0,2,0,5,0,173330480,
sp|F1Q749|DKC1_DANRE,F1Q749,DKC1_DANRE,dkc1,506,Danio rerio,2:Experimental evidence at transcript level,H/ACA ribonucleoprotein complex subunit DKC1,1,0.999,6,14,14,14,0,14,0,14,0,14,0,1142165890,
sp|F1Q8C3|CP2K6_DANRE,F1Q8C3,CP2K6_DANRE,cyp2k6,505,Danio rerio,1:Experimental evidence at protein level,Cytochrome P450 2K6,0.9999,0.9697,2,6,6,6,0,6,0,6,0,6,0,377048768,
sp|F1QB54|PABPA_DANRE,F1QB54,PABPA_DANRE,pabpc1a,634,Danio rerio,1:Experimental evidence at protein level,Polyadenylate-binding protein 1A,1,0.999,11,40,40,40,0,40,0,40,0,40,0,5227243500,
sp|F1QGH7|CTNB1_DANRE,F1QGH7,CTNB1_DANRE,ctnnb1,780,Danio rerio,1:Experimental evidence at protein level,Catenin beta-1,0.7381,0.9615,1,3,3,3,0,3,0,3,0,3,0,33439630,
sp|F1QGW6|IF2G_DANRE,F1QGW6,IF2G_DANRE,eif2s3,472,Danio rerio,3:Protein inferred from homology,Eukaryotic translation initiation factor 2 subunit 3,1,0.9988,6,20,20,20,0,20,0,20,0,20,0,1321937660,
sp|F1R4U0|TXTPB_DANRE,F1R4U0,TXTPB_DANRE,slc25a1b,317,Danio rerio,3:Protein inferred from homology,"Tricarboxylate transport protein B, mitochondrial",1,0.999,3,4,3,4,0,4,0,3,0,4,0,157467456,
sp|F4ZGF2|COMTA_DANRE,F4ZGF2,COMTA_DANRE,comta,256,Danio rerio,1:Experimental evidence at protein level,Catechol O-methyltransferase A,1,0.9988,5,9,9,9,0,9,0,9,0,9,0,1676220420,
sp|F8W2M8|TPP1_DANRE,F8W2M8,TPP1_DANRE,tpp1,557,Danio rerio,1:Experimental evidence at protein level,Tripeptidyl-peptidase 1,1,0.999,5,14,14,14,0,14,0,14,0,14,0,1180268800,
sp|O42248|GBLP_DANRE,O42248,GBLP_DANRE,gnb2l1,317,Danio rerio,1:Experimental evidence at protein level,Small ribosomal subunit protein RACK1,1,0.9989,10,20,20,20,0,20,0,20,0,20,0,6822367200,
sp|O57521|HS90B_DANRE,O57521,HS90B_DANRE,hsp90ab1,725,Danio rerio,1:Experimental evidence at protein level,Heat shock protein HSP 90-beta,1,0.999,21,85,73,85,0,85,0,73,0,85,0,12067991600,
sp|O73872|SODC_DANRE,O73872,SODC_DANRE,sod1,154,Danio rerio,2:Experimental evidence at transcript level,Superoxide dismutase [Cu-Zn],1,0.999,8,31,31,31,1,30,1,30,1,30,70688248,8734514200,
sp|P62247|RS8_DANRE,P62247,RS8_DANRE,rps8,208,Danio rerio,1:Experimental evidence at protein level,Small ribosomal subunit protein eS8,1,0.999,4,4,4,4,0,4,0,4,0,4,0,1658865540,
sp|P79735|RAN_DANRE,P79735,RAN_DANRE,ran,215,Danio rerio,2:Experimental evidence at transcript level,GTP-binding nuclear protein Ran,1,0.9916,4,9,9,9,0,9,0,9,0,9,0,1360246910,
sp|Q06S87|HIUH_DANRE,Q06S87,HIUH_DANRE,urah,138,Danio rerio,1:Experimental evidence at protein level,5-hydroxyisourate hydrolase,1,0.999,3,16,16,16,0,16,0,16,0,16,0,2051142910,
