Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	1000c_1 Spectral Count	1000c_2 Spectral Count	1000c_3 Spectral Count	1000c_4 Spectral Count	16hpf_1 Spectral Count	16hpf_2 Spectral Count	16hpf_3 Spectral Count	16hpf_4 Spectral Count	256c_1 Spectral Count	256c_2 Spectral Count	256c_3 Spectral Count	256c_4 Spectral Count	28hpf_1 Spectral Count	28hpf_2 Spectral Count	28hpf_3 Spectral Count	28hpf_4 Spectral Count	3dpf_1 Spectral Count	3dpf_2 Spectral Count	3dpf_3 Spectral Count	3dpf_4 Spectral Count	4c_1 Spectral Count	4c_2 Spectral Count	4c_3 Spectral Count	4c_4 Spectral Count	5dpf_1 Spectral Count	5dpf_2 Spectral Count	5dpf_3 Spectral Count	5dpf_4 Spectral Count	Bud_1 Spectral Count	Bud_2 Spectral Count	Bud_3 Spectral Count	Bud_4 Spectral Count	Dome_1 Spectral Count	Dome_2 Spectral Count	Dome_3 Spectral Count	Dome_4 Spectral Count	Oblong_1 Spectral Count	Oblong_2 Spectral Count	Oblong_3 Spectral Count	Oblong_4 Spectral Count	1000c_1 Unique Spectral Count	1000c_2 Unique Spectral Count	1000c_3 Unique Spectral Count	1000c_4 Unique Spectral Count	16hpf_1 Unique Spectral Count	16hpf_2 Unique Spectral Count	16hpf_3 Unique Spectral Count	16hpf_4 Unique Spectral Count	256c_1 Unique Spectral Count	256c_2 Unique Spectral Count	256c_3 Unique Spectral Count	256c_4 Unique Spectral Count	28hpf_1 Unique Spectral Count	28hpf_2 Unique Spectral Count	28hpf_3 Unique Spectral Count	28hpf_4 Unique Spectral Count	3dpf_1 Unique Spectral Count	3dpf_2 Unique Spectral Count	3dpf_3 Unique Spectral Count	3dpf_4 Unique Spectral Count	4c_1 Unique Spectral Count	4c_2 Unique Spectral Count	4c_3 Unique Spectral Count	4c_4 Unique Spectral Count	5dpf_1 Unique Spectral Count	5dpf_2 Unique Spectral Count	5dpf_3 Unique Spectral Count	5dpf_4 Unique Spectral Count	Bud_1 Unique Spectral Count	Bud_2 Unique Spectral Count	Bud_3 Unique Spectral Count	Bud_4 Unique Spectral Count	Dome_1 Unique Spectral Count	Dome_2 Unique Spectral Count	Dome_3 Unique Spectral Count	Dome_4 Unique Spectral Count	Oblong_1 Unique Spectral Count	Oblong_2 Unique Spectral Count	Oblong_3 Unique Spectral Count	Oblong_4 Unique Spectral Count	1000c_1 Total Spectral Count	1000c_2 Total Spectral Count	1000c_3 Total Spectral Count	1000c_4 Total Spectral Count	16hpf_1 Total Spectral Count	16hpf_2 Total Spectral Count	16hpf_3 Total Spectral Count	16hpf_4 Total Spectral Count	256c_1 Total Spectral Count	256c_2 Total Spectral Count	256c_3 Total Spectral Count	256c_4 Total Spectral Count	28hpf_1 Total Spectral Count	28hpf_2 Total Spectral Count	28hpf_3 Total Spectral Count	28hpf_4 Total Spectral Count	3dpf_1 Total Spectral Count	3dpf_2 Total Spectral Count	3dpf_3 Total Spectral Count	3dpf_4 Total Spectral Count	4c_1 Total Spectral Count	4c_2 Total Spectral Count	4c_3 Total Spectral Count	4c_4 Total Spectral Count	5dpf_1 Total Spectral Count	5dpf_2 Total Spectral Count	5dpf_3 Total Spectral Count	5dpf_4 Total Spectral Count	Bud_1 Total Spectral Count	Bud_2 Total Spectral Count	Bud_3 Total Spectral Count	Bud_4 Total Spectral Count	Dome_1 Total Spectral Count	Dome_2 Total Spectral Count	Dome_3 Total Spectral Count	Dome_4 Total Spectral Count	Oblong_1 Total Spectral Count	Oblong_2 Total Spectral Count	Oblong_3 Total Spectral Count	Oblong_4 Total Spectral Count	1000c_1 Intensity	1000c_2 Intensity	1000c_3 Intensity	1000c_4 Intensity	16hpf_1 Intensity	16hpf_2 Intensity	16hpf_3 Intensity	16hpf_4 Intensity	256c_1 Intensity	256c_2 Intensity	256c_3 Intensity	256c_4 Intensity	28hpf_1 Intensity	28hpf_2 Intensity	28hpf_3 Intensity	28hpf_4 Intensity	3dpf_1 Intensity	3dpf_2 Intensity	3dpf_3 Intensity	3dpf_4 Intensity	4c_1 Intensity	4c_2 Intensity	4c_3 Intensity	4c_4 Intensity	5dpf_1 Intensity	5dpf_2 Intensity	5dpf_3 Intensity	5dpf_4 Intensity	Bud_1 Intensity	Bud_2 Intensity	Bud_3 Intensity	Bud_4 Intensity	Dome_1 Intensity	Dome_2 Intensity	Dome_3 Intensity	Dome_4 Intensity	Oblong_1 Intensity	Oblong_2 Intensity	Oblong_3 Intensity	Oblong_4 Intensity	1000c_1 MaxLFQ Intensity	1000c_2 MaxLFQ Intensity	1000c_3 MaxLFQ Intensity	1000c_4 MaxLFQ Intensity	16hpf_1 MaxLFQ Intensity	16hpf_2 MaxLFQ Intensity	16hpf_3 MaxLFQ Intensity	16hpf_4 MaxLFQ Intensity	256c_1 MaxLFQ Intensity	256c_2 MaxLFQ Intensity	256c_3 MaxLFQ Intensity	256c_4 MaxLFQ Intensity	28hpf_1 MaxLFQ Intensity	28hpf_2 MaxLFQ Intensity	28hpf_3 MaxLFQ Intensity	28hpf_4 MaxLFQ Intensity	3dpf_1 MaxLFQ Intensity	3dpf_2 MaxLFQ Intensity	3dpf_3 MaxLFQ Intensity	3dpf_4 MaxLFQ Intensity	4c_1 MaxLFQ Intensity	4c_2 MaxLFQ Intensity	4c_3 MaxLFQ Intensity	4c_4 MaxLFQ Intensity	5dpf_1 MaxLFQ Intensity	5dpf_2 MaxLFQ Intensity	5dpf_3 MaxLFQ Intensity	5dpf_4 MaxLFQ Intensity	Bud_1 MaxLFQ Intensity	Bud_2 MaxLFQ Intensity	Bud_3 MaxLFQ Intensity	Bud_4 MaxLFQ Intensity	Dome_1 MaxLFQ Intensity	Dome_2 MaxLFQ Intensity	Dome_3 MaxLFQ Intensity	Dome_4 MaxLFQ Intensity	Oblong_1 MaxLFQ Intensity	Oblong_2 MaxLFQ Intensity	Oblong_3 MaxLFQ Intensity	Oblong_4 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|O00762|UBE2C_HUMAN	O00762	UBE2C_HUMAN	UBE2C	179	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-conjugating enzyme E2 C	0.9933	0.999	2	12	12	12	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	9.7207648E7	1.08526896E8	0.0	0.0	0.0	0.0	0.0	0.0	9.742864E7	1.29401072E8	8.5152648E7	9.0672664E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.42823536E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9008656E7	7.5040312E7	9.6157776E7	0.0	0.0	5.3686164E7	0.0	0.0	9.2610272E7	0.0	9.7207648E7	1.08526896E8	0.0	0.0	0.0	0.0	0.0	0.0	9.742864E7	1.29401072E8	8.5152648E7	9.0672664E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.42823536E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.5040312E7	9.6157776E7	0.0	0.0	5.3686164E7	0.0	0.0	9.2610272E7	0.0	
contam_sp|O76013|KRT36_HUMAN	O76013	KRT36_HUMAN	KRT36	467	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cuticular Ha6	0.9858	0.9863	4	7	4	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	0	0	0	1	0	1	1	2	1	1	1	1	1	0	1	0	0	3	3	1	1	1	1	0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.52692352E8	3.43575552E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.72179168E8	1.53154256E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.52692352E8	3.43575552E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.72179168E8	1.53154256E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|O77727|K1C15_SHEEP	O77727	K1C15_SHEEP	KRT15	453	Ovis aries	2:Experimental evidence at transcript level	Keratin, type I cytoskeletal 15	1.0	0.999	9	35	35	90	0	0	0	0	2	3	1	1	0	0	0	0	2	2	1	1	1	2	2	2	1	1	0	0	3	1	3	2	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	3	1	1	0	0	0	0	2	2	1	1	1	2	2	2	1	1	0	0	3	1	3	2	1	2	0	0	0	0	0	1	0	0	0	0	1	1	0	0	6	6	3	2	4	3	0	0	5	4	3	2	1	3	4	4	4	4	0	0	3	1	5	4	4	6	2	2	0	1	1	1	0	0	0	0	0.0	0.0	0.0	0.0	1.7149591E9	1.66866586E9	2.02340813E9	2.51615104E9	0.0	0.0	0.0	0.0	2.41248032E8	1.73253936E8	6.4370246E8	5.8276762E8	0.0	1.8920472E7	1.84117952E8	1.75466384E8	7.2467224E7	6.804544E7	0.0	0.0	1.37743888E8	6.3506148E7	9.5745536E7	3.2961178E7	6.5000698E8	8.135673E8	0.0	0.0	0.0	0.0	0.0	1.2799895E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1949513E9	1.15702118E9	1.60852032E9	1.51731878E9	0.0	0.0	0.0	0.0	1.91781552E8	1.182964E8	5.11715072E8	4.6327456E8	0.0	2.7550468E7	1.58388176E8	1.48144256E8	3.50783456E8	3.29379456E8	0.0	0.0	5.1780664E7	9.2472536E7	8.949076E7	4.7995412E7	5.1672688E8	5.5846899E8	0.0	0.0	0.0	0.0	0.0	6.1958928E7	0.0	0.0	0.0	0.0	
contam_sp|O82803|SRPP_HEVBR	O82803	SRPP_HEVBR	SRPP	204	Hevea brasiliensis	1:Experimental evidence at protein level	Small rubber particle protein	0.7773	0.994	1	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6752448E8	1.34367136E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6752448E8	1.34367136E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P00167|CYB5_HUMAN	P00167	CYB5_HUMAN	CYB5A	134	Homo sapiens	1:Experimental evidence at protein level	Cytochrome b5	0.9996	0.999	1	55	55	55	2	2	2	1	2	2	0	1	3	2	2	2	0	0	1	1	1	1	0	1	2	2	2	2	0	0	1	2	0	0	2	1	2	2	2	2	1	2	2	2	2	2	2	1	2	2	0	1	3	2	2	2	0	0	1	1	1	1	0	1	2	2	2	2	0	0	1	2	0	0	2	1	2	2	2	2	1	2	2	2	2	2	2	1	2	2	0	1	3	2	2	2	0	0	1	1	1	1	0	1	2	2	2	2	0	0	1	2	0	0	2	1	2	2	2	2	1	2	2	2	6.0822682E8	5.9063027E8	4.61950144E8	2.04941808E8	6.5259514E8	6.6100947E8	0.0	2.54556528E8	0.0	4.54551424E8	6.2148525E8	6.5997325E8	0.0	0.0	5.0184996E7	5.2204092E7	9.6171192E7	1.3906912E8	0.0	1.24337376E8	4.3968096E8	0.0	6.4319309E8	6.4412557E8	0.0	0.0	7.5822048E7	1.9678032E8	0.0	3.499928E8	5.8697088E8	2.18501872E8	9.4891366E8	9.420896E8	4.34508544E8	5.8873158E8	0.0	3.62391648E8	6.9402368E8	7.9711046E8	3.40718496E8	3.28211264E8	2.5890224E8	3.01511968E8	3.45353952E8	3.316368E8	0.0	3.74505504E8	0.0	3.92079424E8	3.41289024E8	3.641112E8	0.0	0.0	7.3832552E7	7.6803064E7	1.41487792E8	2.04599552E8	0.0	1.82926096E8	3.79252704E8	0.0	3.5465648E8	3.41636224E8	0.0	0.0	1.11549976E8	1.07484136E8	0.0	3.01890976E8	3.0909328E8	3.21461632E8	5.2907616E8	5.1454736E8	3.74791168E8	3.16503552E8	0.0	3.12585792E8	3.68131136E8	4.38982976E8	
contam_sp|P00366|DHE3_BOVIN	P00366	DHE3_BOVIN	GLUD1	558	Bos taurus	1:Experimental evidence at protein level	Glutamate dehydrogenase 1, mitochondrial	1.0	0.999	12	510	510	510	13	17	14	17	10	12	11	10	13	15	13	13	16	16	10	10	10	6	13	12	18	14	15	14	10	10	9	11	11	15	11	12	12	14	14	16	12	15	12	14	13	17	14	17	10	12	11	10	13	15	13	13	16	16	10	10	10	6	13	12	18	14	15	14	10	10	9	11	11	15	11	12	12	14	14	16	12	15	12	14	13	17	14	17	10	12	11	10	13	15	13	13	16	16	10	10	10	6	13	12	18	14	15	14	10	10	9	11	11	15	11	12	12	14	14	16	12	15	12	14	8.040876E9	8.6842214E9	7.2611139E9	6.3947679E9	6.1234893E9	6.8565064E9	4.16409037E9	5.0925844E9	9.024427E9	6.9590492E9	8.9097472E9	7.4303406E9	5.5610547E9	6.764585E9	5.8835282E9	5.4801756E9	1.96832486E9	1.89176755E9	3.12312525E9	2.67732838E9	1.03383736E10	9.5645573E9	9.080066E9	7.5855816E9	2.11171866E9	1.83491558E9	1.3865728E9	2.1304599E9	5.8358676E9	6.2043776E9	4.7210957E9	6.1256131E9	6.0487496E9	8.5532605E9	9.2969339E9	8.4098811E9	8.2181023E9	5.7830328E9	7.1577155E9	7.0696653E9	1.68727821E9	1.70123034E9	1.8182633E9	1.53201434E9	1.42218445E9	1.3523616E9	8.8019341E8	9.6655661E8	1.71656678E9	1.57633254E9	1.72919539E9	1.7378144E9	1.08665203E9	1.16885005E9	1.11655142E9	1.16751808E9	4.60013216E8	5.6392416E8	5.565031E8	5.7143437E8	1.75697587E9	2.01546214E9	1.62851981E9	1.61780006E9	4.6995568E8	4.53824704E8	3.66493696E8	5.04775648E8	1.2168023E9	1.1466217E9	1.06932838E9	1.13458458E9	1.64052813E9	1.580912E9	1.7903113E9	1.51305293E9	1.92084134E9	1.61856256E9	1.50224077E9	1.44334886E9	
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	8	1351	1343	1351	34	35	43	39	43	44	16	18	42	39	28	33	46	39	20	22	33	33	43	45	32	42	24	27	33	38	28	29	36	41	20	23	30	31	43	40	39	37	30	33	34	34	43	39	42	43	16	18	42	39	28	33	45	39	20	22	33	33	43	45	32	41	24	27	32	38	28	29	36	41	20	23	30	31	42	40	39	37	29	33	34	35	43	39	43	44	16	18	42	39	28	33	46	39	20	22	33	33	43	45	32	42	24	27	33	38	28	29	36	41	20	23	30	31	43	40	39	37	30	33	6.2611509E10	5.5282528E10	1.19762117E11	1.23028562E11	7.1420453E10	6.995687E10	1.5870807E10	1.89781791E10	7.1908811E10	7.7334733E10	2.97465508E10	3.12737362E10	6.259082E10	5.656644E10	2.24767775E10	2.0960426E10	2.88533688E10	2.81302303E10	2.99119288E10	2.87710863E10	8.7028679E10	9.3192282E10	2.79064433E10	1.12989676E10	2.04482335E10	1.51702702E10	1.23264082E10	1.27425147E10	7.6095316E10	7.4385285E10	2.1920555E10	2.49620193E10	3.35839171E10	3.23569111E10	6.3197913E10	5.956078E10	5.6815993E10	5.6811487E10	3.25125714E10	1.51997932E10	1.79039027E10	1.72890522E10	4.2598625E10	4.1359827E10	3.17576151E10	2.73404191E10	5.8564982E9	6.6325002E9	2.87302554E10	3.38944164E10	9.9744338E9	1.07539323E10	3.37235988E10	3.29858683E10	1.1159041E10	9.7727252E9	1.0840405E10	1.19693271E10	1.41806715E10	1.56030454E10	3.8957548E10	4.7168303E10	8.7911823E9	7.7738332E9	8.2903839E9	7.5877816E9	5.1545718E9	4.9941105E9	3.8097854E10	3.812488E10	9.9364045E9	9.9396762E9	1.02555259E10	9.6953467E9	2.57359237E10	2.25254707E10	2.65812541E10	2.83747492E10	1.03241933E10	9.6678083E9	
contam_sp|P00883|ALDOA_RABIT	P00883	ALDOA_RABIT	ALDOA	364	Oryctolagus cuniculus	1:Experimental evidence at protein level	Fructose-bisphosphate aldolase A	1.0	0.9984	9	6	3	92	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	4	6	4	0	1	2	0	2	5	6	6	2	6	4	2	0	0	1	1	7	4	6	6	3	5	1	2	0	0	0	1	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.47773808E8	0.0	0.0	0.0	0.0	0.0	0.0	6.341726E7	8.404932E7	1.1979336E8	1.28729552E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.47773808E8	0.0	0.0	0.0	0.0	0.0	0.0	6.341726E7	8.404932E7	1.1979336E8	1.28729552E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P00915|CAH1_HUMAN	P00915	CAH1_HUMAN	CA1	261	Homo sapiens	1:Experimental evidence at protein level	Carbonic anhydrase 1	0.533	0.9819	1	16	16	16	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	2	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	2	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	2	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	3.71530016E8	3.78375488E8	0.0	0.0	0.0	1.06564928E9	0.0	1.76104051E9	0.0	0.0	0.0	4.12136E8	0.0	0.0	1.4130871E9	1.25601574E9	5.6878208E8	0.0	5.23894336E8	0.0	2.72867584E8	0.0	0.0	3.38020768E8	5.5118714E8	4.70727104E8	0.0	0.0	0.0	0.0	1.08129792E9	0.0	7.3242381E8	6.1100301E8	0.0	4.48527296E8	0.0	0.0	6.5240768E8	0.0	3.71530016E8	3.78375488E8	0.0	0.0	0.0	1.06564928E9	0.0	1.76104051E9	0.0	0.0	0.0	4.12136E8	0.0	0.0	1.4130871E9	1.25601574E9	5.6878208E8	0.0	5.23894336E8	0.0	2.72867584E8	0.0	0.0	3.38020768E8	5.5118714E8	4.70727104E8	0.0	0.0	0.0	0.0	1.08129792E9	0.0	7.3242381E8	6.1100301E8	0.0	4.48527296E8	0.0	0.0	6.5240768E8	0.0	
contam_sp|P01112|RASH_HUMAN	P01112	RASH_HUMAN	HRAS	189	Homo sapiens	1:Experimental evidence at protein level	GTPase HRas	1.0	0.999	9	134	7	134	2	1	1	0	2	2	2	5	4	3	2	2	2	5	3	7	6	4	9	9	1	2	3	2	7	6	6	5	3	2	1	4	3	3	3	3	2	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	2	2	2	5	4	3	2	2	2	5	3	7	6	4	9	9	1	2	3	2	7	6	6	5	3	2	1	4	3	3	3	3	2	2	4	1	1.53834128E8	7.2561696E7	3.46469E7	0.0	2.06695888E8	2.78398464E8	1.75551392E8	3.80924384E8	1.24845776E8	1.62075184E8	1.19658768E8	7.57062E7	3.31208352E8	4.10925568E8	2.17658816E8	5.26463232E8	4.26151104E8	3.36535904E8	6.6602611E8	6.7075091E8	6.8868048E7	1.76989472E8	6.3017888E7	6.1124628E7	3.9759072E8	4.41668416E8	4.00547872E8	4.10586016E8	3.11671872E8	2.0665752E8	4.9345396E7	7.5590048E7	1.68754944E8	6.2892376E7	1.66246496E8	2.48724288E8	2.0168776E8	1.27568432E8	1.7638216E8	7.09542E7	1.00368048E8	1.43330704E8	4.4889872E7	0.0	1.60834464E8	1.78001936E8	1.78440672E8	1.48225632E8	7.2408264E7	9.4872408E7	8.8290808E7	9.8087896E7	1.84265696E8	1.43805104E8	1.26605648E8	1.30278496E8	1.35323504E8	1.65994048E8	1.6324952E8	1.78282832E8	8.922812E7	8.8644624E7	4.874014E7	4.1360468E7	1.07403896E8	1.2084164E8	1.12966888E8	1.40595504E8	1.37911264E8	1.03086768E8	6.3933816E7	5.4822376E7	9.6810368E7	8.1485808E7	1.0643568E8	1.02885976E8	1.17008184E8	9.954416E7	6.2771756E7	9.1931024E7	
