Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	24hpf_FT1_1 Spectral Count	24hpf_FT1_2 Spectral Count	24hpf_FT1_3 Spectral Count	24hpf_pH11_1 Spectral Count	24hpf_pH11_2 Spectral Count	24hpf_pH11_3 Spectral Count	24hpf_pH2_1 Spectral Count	24hpf_pH2_2 Spectral Count	24hpf_pH2_3 Spectral Count	24hpf_pH5_1 Spectral Count	24hpf_pH5_2 Spectral Count	24hpf_pH5_3 Spectral Count	24hpf_pH8_1 Spectral Count	24hpf_pH8_2 Spectral Count	24hpf_pH8_3 Spectral Count	24hpf_FT1_1 Unique Spectral Count	24hpf_FT1_2 Unique Spectral Count	24hpf_FT1_3 Unique Spectral Count	24hpf_pH11_1 Unique Spectral Count	24hpf_pH11_2 Unique Spectral Count	24hpf_pH11_3 Unique Spectral Count	24hpf_pH2_1 Unique Spectral Count	24hpf_pH2_2 Unique Spectral Count	24hpf_pH2_3 Unique Spectral Count	24hpf_pH5_1 Unique Spectral Count	24hpf_pH5_2 Unique Spectral Count	24hpf_pH5_3 Unique Spectral Count	24hpf_pH8_1 Unique Spectral Count	24hpf_pH8_2 Unique Spectral Count	24hpf_pH8_3 Unique Spectral Count	24hpf_FT1_1 Total Spectral Count	24hpf_FT1_2 Total Spectral Count	24hpf_FT1_3 Total Spectral Count	24hpf_pH11_1 Total Spectral Count	24hpf_pH11_2 Total Spectral Count	24hpf_pH11_3 Total Spectral Count	24hpf_pH2_1 Total Spectral Count	24hpf_pH2_2 Total Spectral Count	24hpf_pH2_3 Total Spectral Count	24hpf_pH5_1 Total Spectral Count	24hpf_pH5_2 Total Spectral Count	24hpf_pH5_3 Total Spectral Count	24hpf_pH8_1 Total Spectral Count	24hpf_pH8_2 Total Spectral Count	24hpf_pH8_3 Total Spectral Count	24hpf_FT1_1 Intensity	24hpf_FT1_2 Intensity	24hpf_FT1_3 Intensity	24hpf_pH11_1 Intensity	24hpf_pH11_2 Intensity	24hpf_pH11_3 Intensity	24hpf_pH2_1 Intensity	24hpf_pH2_2 Intensity	24hpf_pH2_3 Intensity	24hpf_pH5_1 Intensity	24hpf_pH5_2 Intensity	24hpf_pH5_3 Intensity	24hpf_pH8_1 Intensity	24hpf_pH8_2 Intensity	24hpf_pH8_3 Intensity	24hpf_FT1_1 MaxLFQ Intensity	24hpf_FT1_2 MaxLFQ Intensity	24hpf_FT1_3 MaxLFQ Intensity	24hpf_pH11_1 MaxLFQ Intensity	24hpf_pH11_2 MaxLFQ Intensity	24hpf_pH11_3 MaxLFQ Intensity	24hpf_pH2_1 MaxLFQ Intensity	24hpf_pH2_2 MaxLFQ Intensity	24hpf_pH2_3 MaxLFQ Intensity	24hpf_pH5_1 MaxLFQ Intensity	24hpf_pH5_2 MaxLFQ Intensity	24hpf_pH5_3 MaxLFQ Intensity	24hpf_pH8_1 MaxLFQ Intensity	24hpf_pH8_2 MaxLFQ Intensity	24hpf_pH8_3 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|O00762|UBE2C_HUMAN	O00762	UBE2C_HUMAN	UBE2C	179	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-conjugating enzyme E2 C	0.9984	0.9988	2	16	16	16	0	0	0	1	0	0	0	1	1	3	3	3	2	1	1	0	0	0	1	0	0	0	1	1	3	3	3	2	1	1	0	0	0	1	0	0	0	1	1	3	3	3	2	1	1	0.0	0.0	0.0	2.5025266E7	0.0	0.0	0.0	5.3973884E7	6.991204E7	1.39761968E8	9.7861472E7	5.64194E7	1.70359968E8	2.8983694E7	2.2321624E7	0.0	0.0	0.0	2.5025266E7	0.0	0.0	0.0	5.3973884E7	6.991204E7	1.04074472E8	7.4168328E7	4.2926568E7	1.2352712E8	2.8983694E7	2.2321624E7	
contam_sp|O43790|KRT86_HUMAN	O43790	KRT86_HUMAN	KRT86	486	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cuticular Hb6	1.0	0.999	6	11	4	16	1	0	2	1	1	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	1	2	1	1	5	0	1	0	0	0	0	1	1	2	0.0	0.0	239253.5	1.4629318E7	7689532.0	1976035.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1528589.4	0.0	0.0	0.0	1.4629318E7	7689532.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|O76011|KRT34_HUMAN	O76011	KRT34_HUMAN	KRT34	436	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cuticular Ha4	0.0	0.9959	6	2	0	15	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	2	1	1	2	0	1	2	1	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1937732.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|O76015|KRT38_HUMAN	O76015	KRT38_HUMAN	KRT38	456	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cuticular Ha8	0.9686	0.9898	4	4	2	21	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	1	1	1	2	1	2	2	1	3	1	1	1	1	0.0	0.0	0.0	0.0	0.0	5810031.5	0.0	0.0	0.0	0.0	6122036.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|O77727|K1C15_SHEEP	O77727	K1C15_SHEEP	KRT15	453	Ovis aries	2:Experimental evidence at transcript level	Keratin, type I cytoskeletal 15	1.0	0.999	11	50	50	94	7	2	2	7	2	2	6	0	0	5	2	2	6	3	4	7	2	2	7	2	2	6	0	0	5	2	2	6	3	4	12	6	4	9	5	5	9	4	3	7	5	4	10	5	6	8.5849616E7	2.9946006E7	2.6084904E7	7.7062968E7	5.9214808E7	5.2374436E7	3.88232064E8	0.0	0.0	3.98273792E8	3.6013576E7	2.6965512E7	4.68090176E8	7.1765696E7	6.7652368E7	5.257892E7	3.899692E7	1.0962567E7	1.00354568E8	3.7906396E7	3.4827328E7	3.35860992E8	0.0	0.0	1.45123184E8	2.3818452E7	1.6632955E7	2.21038352E8	6.3960372E7	3.3812516E7	
contam_sp|O82803|SRPP_HEVBR	O82803	SRPP_HEVBR	SRPP	204	Hevea brasiliensis	1:Experimental evidence at protein level	Small rubber particle protein	0.6445	0.9795	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P00167|CYB5_HUMAN	P00167	CYB5_HUMAN	CYB5A	134	Homo sapiens	1:Experimental evidence at protein level	Cytochrome b5	0.999	0.999	1	18	18	18	0	0	0	2	1	1	2	2	1	2	1	2	2	1	1	0	0	0	2	1	1	2	2	1	2	1	2	2	1	1	0	0	0	2	1	1	2	2	1	2	1	2	2	1	1	0.0	0.0	0.0	1.62408192E8	3.301894E7	1.5419127E7	9.1808672E7	3.02893696E8	5.3905088E8	1.72565104E8	9.4048784E7	8.5323488E7	8.5528768E7	1.3127333E7	3683943.8	0.0	0.0	0.0	9.5997464E7	2.154329E7	1.0151584E7	4.7420708E7	1.53421824E8	2.86043264E8	3.03270688E8	1.6528392E8	1.49949856E8	4.6346212E7	2736778.0	6474264.5	
contam_sp|P00366|DHE3_BOVIN	P00366	DHE3_BOVIN	GLUD1	558	Bos taurus	1:Experimental evidence at protein level	Glutamate dehydrogenase 1, mitochondrial	1.0	0.999	9	108	108	108	6	7	7	11	11	10	5	8	7	5	6	7	4	8	6	6	7	7	11	11	10	5	8	7	5	6	7	4	8	6	6	7	7	11	11	10	5	8	7	5	6	7	4	8	6	6.6279244E7	6.9083552E7	4.8671036E7	3.53241856E8	1.90406896E8	1.54389312E8	3.7087472E7	1.56295456E8	2.10986336E8	2.25002816E8	1.43091232E8	1.5093656E8	2.03745808E8	2.29905168E8	1.59398864E8	5.2550484E7	3.5814808E7	4.7323352E7	1.01472872E8	4.750126E7	3.7963356E7	2.4936906E7	6.8707288E7	7.7839896E7	7.8307512E7	4.8049284E7	4.7123264E7	7.4086696E7	6.3119076E7	5.2481912E7	
contam_sp|P00711|LALBA_BOVIN	P00711	LALBA_BOVIN	LALBA	142	Bos taurus	1:Experimental evidence at protein level	Alpha-lactalbumin	1.0	0.999	3	6	6	6	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0.0	0.0	0.0	0.0	377703.44	0.0	0.0	4.771444E7	3.1111402E7	0.0	0.0	1.6963166E7	0.0	1.0724296E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.771444E7	3.1111402E7	0.0	0.0	1.6963166E7	0.0	1.0724296E7	0.0	
contam_sp|P00722|BGAL_ECOLI	P00722	BGAL_ECOLI	lacZ	1024	Escherichia coli (strain K12)	1:Experimental evidence at protein level	Beta-galactosidase	0.6634	0.9581	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
