Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	5dpf_1 Spectral Count	5dpf_2 Spectral Count	5dpf_3 Spectral Count	5dpf_1 Unique Spectral Count	5dpf_2 Unique Spectral Count	5dpf_3 Unique Spectral Count	5dpf_1 Total Spectral Count	5dpf_2 Total Spectral Count	5dpf_3 Total Spectral Count	5dpf_1 Intensity	5dpf_2 Intensity	5dpf_3 Intensity	5dpf_1 MaxLFQ Intensity	5dpf_2 MaxLFQ Intensity	5dpf_3 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P01112|RASH_HUMAN	P01112	RASH_HUMAN	HRAS	189	Homo sapiens	1:Experimental evidence at protein level	GTPase HRas	0.9929	0.9935	1	11	0	11	6	4	1	0	0	0	6	4	1	2.6281414E7	2.4808456E7	0.0	2.6281414E7	2.4808456E7	0.0	sp|P79737|RASN_DANRE
contam_sp|P13645|K1C10_HUMAN	P13645	K1C10_HUMAN	KRT10	584	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 10	0.9989	0.999	1	28	28	28	10	10	8	10	10	8	10	10	8	9.4468496E7	7.8992224E7	0.0	9.4468496E7	7.8992224E7	0.0	
contam_sp|P35527|K1C9_HUMAN	P35527	K1C9_HUMAN	KRT9	623	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 9	0.9989	0.999	1	30	30	30	12	9	9	12	9	9	12	9	9	1.59271856E8	8.670732E7	8.2289168E7	1.59271856E8	8.670732E7	8.2289168E7	
contam_sp|Q9NSB2|KRT84_HUMAN	Q9NSB2	KRT84_HUMAN	KRT84	600	Homo sapiens	2:Experimental evidence at transcript level	Keratin, type II cuticular Hb4	0.9929	0.9935	1	26	0	26	12	12	2	0	0	0	12	12	2	2.64848E9	1.6792247E9	1.20349504E9	2.64848E9	1.6792247E9	1.20349504E9	sp|Q58EE9|GFAP_DANRE
sp|A0A2R8QP51|DPP9_DANRE	A0A2R8QP51	DPP9_DANRE	dpp9	885	Danio rerio	3:Protein inferred from homology	Dipeptidyl peptidase 9	0.9444	0.949	1	7	7	7	5	2	0	5	2	0	5	2	0	6079032.0	4325885.5	0.0	6079032.0	4325885.5	0.0	
sp|A0JMD0|CLU_DANRE	A0JMD0	CLU_DANRE	cluh	1400	Danio rerio	2:Experimental evidence at transcript level	Clustered mitochondria protein homolog	0.997	0.9261	2	4	4	4	2	1	1	2	1	1	2	1	1	8215187.5	0.0	0.0	0.0	0.0	0.0	
sp|A0MTA1|APEX1_DANRE	A0MTA1	APEX1_DANRE	apex1	310	Danio rerio	1:Experimental evidence at protein level	DNA repair nuclease APEX1	0.9977	0.9979	1	13	13	13	7	5	1	7	5	1	7	5	1	3.8259632E7	3.069828E7	1.25255E7	3.8259632E7	3.069828E7	1.25255E7	
sp|A1L1F4|PDS5A_DANRE	A1L1F4	PDS5A_DANRE	pds5a	1320	Danio rerio	2:Experimental evidence at transcript level	Sister chromatid cohesion protein PDS5 homolog A	0.905	0.9126	1	3	3	3	3	0	0	3	0	0	3	0	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1L271|GNB5A_DANRE	A1L271	GNB5A_DANRE	gnb5a	355	Danio rerio	2:Experimental evidence at transcript level	Guanine nucleotide-binding protein subunit beta-5a	0.8675	0.8777	1	1	1	1	1	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A4IFW2|PTPRF_DANRE	A4IFW2	PTPRF_DANRE	ptprf	1909	Danio rerio	2:Experimental evidence at transcript level	Receptor-type tyrosine-protein phosphatase F	0.8461	0.8576	1	2	2	2	2	0	0	2	0	0	2	0	0	3635502.0	0.0	0.0	0.0	0.0	0.0	
sp|A4QNZ7|P33MX_DANRE	A4QNZ7	P33MX_DANRE	p33monox	317	Danio rerio	1:Experimental evidence at protein level	Putative monooxygenase p33MONOX	0.9972	0.9974	1	2	2	2	2	0	0	2	0	0	2	0	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A5PL98|SDHB_DANRE	A5PL98	SDHB_DANRE	sdhb	280	Danio rerio	2:Experimental evidence at transcript level	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	0.9979	0.9981	1	14	14	14	7	5	2	7	5	2	7	5	2	1.4606526E7	2.2148132E7	6577394.5	1.4606526E7	2.2148132E7	6577394.5	
