accession,name,ensembl_gene_id,ensembl_transcript_id,chromosome_name,6h_logFC,6h_adj.P.Val
Q6NWH2,marcksl1b,ENSDARG00000035715,ENSDART00000051804,19,5.367539962710223,5.346332e-12
A0A2R8Q0U0,si:dkey-108k21.21,ENSDARG00000091905,ENSDART00000183252,25,5.3406022232728265,6.2581591616e-8
A0A0R4ICB8,si:dkey-238d18.15,ENSDARG00000101197,ENSDART00000157550,15,5.148098878808978,8.5250011747e-7
A2VD23,stm,ENSDARG00000035694,ENSDART00000110763,19,4.936221807802051,1.3446941401e-8
Q6PD99,marcksl1a,ENSDARG00000039034,ENSDART00000056987,13,4.749598434497594,4.2078908547e-8
Q6PBZ5,aif1l,ENSDARG00000009336,ENSDART00000009500,5,3.95332386856185,1.8268455e-11
A0A2R8QUZ1,ctcf,ENSDARG00000056621,ENSDART00000181644,18,3.923841977673176,9.807538e-12
A4VAK4,hspb1,ENSDARG00000041065,ENSDART00000060162,5,3.822378985839824,6.18866228125e-7
H0WFG6,si:dkey-122c11.8,ENSDARG00000115506,ENSDART00000150394,4,3.709252796267126,8.54652857737e-7
F1Q7Q6,marcksa,ENSDARG00000004049,ENSDART00000123096,20,3.705392865758074,7.4643946e-11
B0JZJ1,ddx5,ENSDARG00000038068,ENSDART00000163782,3,3.6454590113306056,1.59542347906843e-4
F1Q7T3,slc16a3,ENSDARG00000045051,ENSDART00000001907,12,3.5818880934667763,2.194651121488e-6
A0A0R4IRD0,stt3a,ENSDARG00000104953,ENSDART00000159501,10,3.509254186756476,0.00478781961226574
F1QM98,znf281b,ENSDARG00000035910,ENSDART00000141898,12,3.3883699575075985,1.11276346e-10
E7FCE4,ror2,ENSDARG00000076227,ENSDART00000114491,10,3.2412595097488244,5.2915125e-11
R4GE02,si:ch211-113a14.11,ENSDARG00000086591,ENSDART00000152735,25,3.2160835265179735,2.6187488914e-8
Q6DHS3,rpl15,ENSDARG00000009285,ENSDART00000133626,19,3.190162900134123,0.0140121415943104
F1R1X3,pon3.2,ENSDARG00000097789,ENSDART00000058959,16,3.1048345899305985,0.00333143684609069
Q6NYR9,prps1a,ENSDARG00000015524,ENSDART00000171039,5,3.0637396774778765,0.00406171867812384
A0A0R4IU36,alyref,ENSDARG00000077732,ENSDART00000166922,3,2.98719309049707,6.9912317597e-8
X1WG15,limd2,ENSDARG00000078092,ENSDART00000155298,3,2.9554639719621765,9.0218865e-11
A0A140LG11,si:dkey-56m19.5,ENSDARG00000068432,ENSDART00000170721,7,2.8949099729328713,6.0799038861e-8
Q9I903,ctnnbip1,ENSDARG00000038954,ENSDART00000056865,23,2.8667745086877843,0.029744429316574
X1WGM1,zgc:163040,ENSDARG00000113205,ENSDART00000154389,25,2.8631743424762486,7.62637731871082e-4
Q7SZC2,cse1l,ENSDARG00000006963,ENSDART00000013203,11,2.8385080365989994,0.00587384286434749
A0A0R4IBX9,si:ch73-1a9.3,ENSDARG00000103919,ENSDART00000158245,10,2.7939180762628255,7.14845881996e-7
F1QK71,mcm5,ENSDARG00000019507,ENSDART00000024316,3,2.7802755906371,0.00615981875897412
Q6P5K3,rplp0,ENSDARG00000051783,ENSDART00000073462,5,2.7700507249625006,0.00688476368122445
Q5TYZ5,cand1,ENSDARG00000017841,ENSDART00000003694,4,2.764479052980379,0.00656542544668191
Q9MIY9,mt-nd2,ENSDARG00000063899,ENSDART00000093600,NA,2.7462420060830803,0.0017658457352592
F1QF00,pgm1,ENSDARG00000013561,ENSDART00000006417,6,2.703590079857901,0.00914103908013537
F1QPS1,alg2,ENSDARG00000070399,ENSDART00000103257,16,2.696293380062351,0.00579469457995206
Q6PNC5,epb41l5,ENSDARG00000032324,ENSDART00000132878,9,2.6849374615347505,1.312469911e-8
F1R058,sde2,ENSDARG00000024124,ENSDART00000043774,22,2.673761818660851,2.142504e-12
F1Q8C7,tagapa,ENSDARG00000002353,ENSDART00000189482,17,2.6601048272788352,0.00629852136706698
F1R966,cltca,ENSDARG00000043493,ENSDART00000063849,10,2.6548155482122517,0.0177811137222897
A8KBJ5,h3-like,ENSDARG00000112131,ENSDART00000181917,25,2.653487568491097,8.0790470309065e-5
F1QHE5,psmd14,ENSDARG00000063100,ENSDART00000091901,11,2.611949017926527,0.0140301082462654
A0A0R4IC11,kars1,ENSDARG00000103799,ENSDART00000178646,7,2.578280004595368,0.0121156517181412
Q6AXJ2,eif3ha,ENSDARG00000102452,ENSDART00000159372,16,2.5653025368522773,0.0112115784154705
E9QG06,eif3ea,ENSDARG00000090697,ENSDART00000140684,16,2.5631588367533973,0.00460891877056692
B0R1D0,psmc4,ENSDARG00000027099,ENSDART00000034078,16,2.5328702908259206,0.00458232080622996
Q803F6,rpsa,ENSDARG00000019181,ENSDART00000114282,6,2.5178030978929247,0.00415289810205417
