Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	C_1 Spectral Count	C_2 Spectral Count	C_3 Spectral Count	E_1 Spectral Count	E_2 Spectral Count	E_3 Spectral Count	Hp_1 Spectral Count	Hp_2 Spectral Count	Hp_3 Spectral Count	Mx_1 Spectral Count	Mx_2 Spectral Count	Mx_3 Spectral Count	T_1 Spectral Count	T_2 Spectral Count	T_3 Spectral Count	C_1 Unique Spectral Count	C_2 Unique Spectral Count	C_3 Unique Spectral Count	E_1 Unique Spectral Count	E_2 Unique Spectral Count	E_3 Unique Spectral Count	Hp_1 Unique Spectral Count	Hp_2 Unique Spectral Count	Hp_3 Unique Spectral Count	Mx_1 Unique Spectral Count	Mx_2 Unique Spectral Count	Mx_3 Unique Spectral Count	T_1 Unique Spectral Count	T_2 Unique Spectral Count	T_3 Unique Spectral Count	C_1 Total Spectral Count	C_2 Total Spectral Count	C_3 Total Spectral Count	E_1 Total Spectral Count	E_2 Total Spectral Count	E_3 Total Spectral Count	Hp_1 Total Spectral Count	Hp_2 Total Spectral Count	Hp_3 Total Spectral Count	Mx_1 Total Spectral Count	Mx_2 Total Spectral Count	Mx_3 Total Spectral Count	T_1 Total Spectral Count	T_2 Total Spectral Count	T_3 Total Spectral Count	C_1 Intensity	C_2 Intensity	C_3 Intensity	E_1 Intensity	E_2 Intensity	E_3 Intensity	Hp_1 Intensity	Hp_2 Intensity	Hp_3 Intensity	Mx_1 Intensity	Mx_2 Intensity	Mx_3 Intensity	T_1 Intensity	T_2 Intensity	T_3 Intensity	C_1 MaxLFQ Intensity	C_2 MaxLFQ Intensity	C_3 MaxLFQ Intensity	E_1 MaxLFQ Intensity	E_2 MaxLFQ Intensity	E_3 MaxLFQ Intensity	Hp_1 MaxLFQ Intensity	Hp_2 MaxLFQ Intensity	Hp_3 MaxLFQ Intensity	Mx_1 MaxLFQ Intensity	Mx_2 MaxLFQ Intensity	Mx_3 MaxLFQ Intensity	T_1 MaxLFQ Intensity	T_2 MaxLFQ Intensity	T_3 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|O43790|KRT86_HUMAN	O43790	KRT86_HUMAN	KRT86	486	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cuticular Hb6	0.9999	0.999	16	3	0	21	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	1	1	0	0	0	0	0	0	3	0	2.80522048E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|O76013|KRT36_HUMAN	O76013	KRT36_HUMAN	KRT36	467	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cuticular Ha6	1.0	0.9989	7	22	15	39	8	1	1	1	1	1	0	1	1	1	1	1	1	2	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	10	2	2	2	2	2	1	3	2	2	2	2	2	3	2	7.9790464E8	1.90126208E8	1.15432224E8	1.49869312E8	2.35254064E8	4.2042056E7	1.38999712E8	2.55536064E8	1.2297596E8	1.06919128E8	2.60635808E8	1.24697256E8	1.537952E8	2.10456352E8	1.27191192E8	1.54413728E8	2.04877184E8	1.24388048E8	1.61496944E8	2.53506288E8	4.5303896E7	1.49784032E8	2.75361856E8	1.32517064E8	1.15214464E8	2.8085728E8	1.34371904E8	1.65727424E8	1.9653408E8	1.37059344E8	
contam_sp|O77727|K1C15_SHEEP	O77727	K1C15_SHEEP	KRT15	453	Ovis aries	2:Experimental evidence at transcript level	Keratin, type I cytoskeletal 15	1.0	0.999	7	18	18	63	2	6	1	1	0	0	1	1	1	1	0	1	1	0	2	2	6	1	1	0	0	1	1	1	1	0	1	1	0	2	5	7	5	3	2	2	5	5	5	5	2	4	3	3	7	2.14745024E8	2.0627112E8	1.92923472E8	2.19001312E8	1.2524188E8	1.97292E8	1.8205032E8	1.10621376E8	1.58394256E8	2.06201184E8	1.6304352E8	6301198.5	2.38443008E8	1.68777264E8	1.56932512E8	2.01797856E8	1.37093504E8	1.86419664E8	2.11618368E8	1.21019736E8	1.90640912E8	1.75627168E8	1.20539416E8	1.5305448E8	1.99249744E8	1.57547008E8	0.0	2.3040464E8	1.10400968E8	3.29875552E8	
contam_sp|P00167|CYB5_HUMAN	P00167	CYB5_HUMAN	CYB5A	134	Homo sapiens	1:Experimental evidence at protein level	Cytochrome b5	1.0	0.999	1	17	17	17	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	5.8830692E7	4.833168E7	6.1312252E7	6.0961256E7	5.2722564E7	5.755806E7	5.1492828E7	3.4908412E7	5.1976408E7	8.8835784E7	5.1931476E7	7.2757584E7	6.4619116E7	4.3482888E7	5.202132E7	5.8830692E7	4.833168E7	6.1312252E7	5.3842712E7	4.738814E7	5.755806E7	5.1492828E7	3.4908412E7	5.1976408E7	8.8835784E7	5.1931476E7	6.4651036E7	5.806796E7	4.3482888E7	5.202132E7	
contam_sp|P00366|DHE3_BOVIN	P00366	DHE3_BOVIN	GLUD1	558	Bos taurus	1:Experimental evidence at protein level	Glutamate dehydrogenase 1, mitochondrial	1.0	0.9988	7	40	40	40	5	1	2	7	1	3	5	1	2	3	2	1	5	1	1	5	1	2	7	1	3	5	1	2	3	2	1	5	1	1	5	1	2	7	1	3	5	1	2	3	2	1	5	1	1	2.6399728E8	7.0381424E7	9.5737384E7	3.18445664E8	9.1230072E7	1.05515744E8	2.73512864E8	8.1262144E7	4.3602216E7	2.9152448E8	6.8617184E7	5.0980344E7	2.73814016E8	6.242188E7	7.734444E7	8.1991936E7	2.920306E7	5.1073244E7	7.7918696E7	4.8866028E7	4.93034E7	6.955744E7	3.6438972E7	4.8003484E7	8.4196744E7	5.2863016E7	5.6126368E7	8.275948E7	4.2532292E7	4.1258092E7	
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	10	625	625	625	34	31	39	39	34	45	40	36	93	40	40	37	44	31	42	34	31	39	39	34	45	40	36	93	40	40	37	44	31	42	34	31	39	39	34	45	40	36	93	40	40	37	44	31	42	3.8329922E10	1.82170829E10	4.2447225E10	3.899009E10	2.28115517E10	4.42228E10	3.8787445E10	2.31495946E10	3.8618821E10	3.8709531E10	2.60045373E10	4.2454266E10	4.1696707E10	2.35586888E10	4.7769571E10	1.25387223E10	6.2529669E9	1.26613094E10	1.20665457E10	7.5544443E9	1.52979958E10	1.26538578E10	8.0111759E9	1.32754575E10	1.61564938E10	1.08572273E10	1.43624346E10	1.44643133E10	6.7220265E9	1.7567445E10	
contam_sp|P01112|RASH_HUMAN	P01112	RASH_HUMAN	HRAS	189	Homo sapiens	1:Experimental evidence at protein level	GTPase HRas	1.0	0.9989	4	10	0	10	0	1	0	0	1	0	0	0	1	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	4	1	1	0	1	0	0.0	1.4980159E7	2.0323526E7	2.95618E7	2.1781446E7	0.0	3.027385E7	2.0375232E7	2.7606298E7	1.2515041E7	1.7755844E7	2.3620464E7	2.9034006E7	3.245312E7	2.351382E7	0.0	1.5525897E7	1.9576902E7	2.847579E7	1.8778714E7	0.0	2.916168E7	1.9626708E7	2.156804E7	1.0461388E8	1.7103548E7	2.275272E7	2.7967384E7	2.8036766E7	2.0289352E7	sp|P79737|RASN_DANRE
contam_sp|P02441|KRA3_SHEEP	P02441	KRA3_SHEEP		131	Ovis aries	1:Experimental evidence at protein level	Keratin, high-sulfur matrix protein, IIIA3	0.9984	0.999	3	3	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31397784E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P02443|KRA3A_SHEEP	P02443	KRA3A_SHEEP		130	Ovis aries	1:Experimental evidence at protein level	Keratin, high-sulfur matrix protein, IIIA3A	0.9913	0.9985	3	1	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9275662.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P02444|KRA33_SHEEP	P02444	KRA33_SHEEP		98	Ovis aries	1:Experimental evidence at protein level	Keratin, high sulfur matrix protein, IIIB3	0.9377	0.9989	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5450189E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	contam_sp|P02445|KRA34_SHEEP
