Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	120h_1 Spectral Count	120h_10 Spectral Count	120h_11 Spectral Count	120h_12 Spectral Count	120h_2 Spectral Count	120h_3 Spectral Count	120h_4 Spectral Count	120h_5 Spectral Count	120h_6 Spectral Count	120h_7 Spectral Count	120h_8 Spectral Count	120h_9 Spectral Count	72h_1 Spectral Count	72h_10 Spectral Count	72h_11 Spectral Count	72h_12 Spectral Count	72h_2 Spectral Count	72h_3 Spectral Count	72h_4 Spectral Count	72h_5 Spectral Count	72h_6 Spectral Count	72h_7 Spectral Count	72h_8 Spectral Count	72h_9 Spectral Count	120h_1 Unique Spectral Count	120h_10 Unique Spectral Count	120h_11 Unique Spectral Count	120h_12 Unique Spectral Count	120h_2 Unique Spectral Count	120h_3 Unique Spectral Count	120h_4 Unique Spectral Count	120h_5 Unique Spectral Count	120h_6 Unique Spectral Count	120h_7 Unique Spectral Count	120h_8 Unique Spectral Count	120h_9 Unique Spectral Count	72h_1 Unique Spectral Count	72h_10 Unique Spectral Count	72h_11 Unique Spectral Count	72h_12 Unique Spectral Count	72h_2 Unique Spectral Count	72h_3 Unique Spectral Count	72h_4 Unique Spectral Count	72h_5 Unique Spectral Count	72h_6 Unique Spectral Count	72h_7 Unique Spectral Count	72h_8 Unique Spectral Count	72h_9 Unique Spectral Count	120h_1 Total Spectral Count	120h_10 Total Spectral Count	120h_11 Total Spectral Count	120h_12 Total Spectral Count	120h_2 Total Spectral Count	120h_3 Total Spectral Count	120h_4 Total Spectral Count	120h_5 Total Spectral Count	120h_6 Total Spectral Count	120h_7 Total Spectral Count	120h_8 Total Spectral Count	120h_9 Total Spectral Count	72h_1 Total Spectral Count	72h_10 Total Spectral Count	72h_11 Total Spectral Count	72h_12 Total Spectral Count	72h_2 Total Spectral Count	72h_3 Total Spectral Count	72h_4 Total Spectral Count	72h_5 Total Spectral Count	72h_6 Total Spectral Count	72h_7 Total Spectral Count	72h_8 Total Spectral Count	72h_9 Total Spectral Count	120h_1 Intensity	120h_10 Intensity	120h_11 Intensity	120h_12 Intensity	120h_2 Intensity	120h_3 Intensity	120h_4 Intensity	120h_5 Intensity	120h_6 Intensity	120h_7 Intensity	120h_8 Intensity	120h_9 Intensity	72h_1 Intensity	72h_10 Intensity	72h_11 Intensity	72h_12 Intensity	72h_2 Intensity	72h_3 Intensity	72h_4 Intensity	72h_5 Intensity	72h_6 Intensity	72h_7 Intensity	72h_8 Intensity	72h_9 Intensity	120h_1 MaxLFQ Intensity	120h_10 MaxLFQ Intensity	120h_11 MaxLFQ Intensity	120h_12 MaxLFQ Intensity	120h_2 MaxLFQ Intensity	120h_3 MaxLFQ Intensity	120h_4 MaxLFQ Intensity	120h_5 MaxLFQ Intensity	120h_6 MaxLFQ Intensity	120h_7 MaxLFQ Intensity	120h_8 MaxLFQ Intensity	120h_9 MaxLFQ Intensity	72h_1 MaxLFQ Intensity	72h_10 MaxLFQ Intensity	72h_11 MaxLFQ Intensity	72h_12 MaxLFQ Intensity	72h_2 MaxLFQ Intensity	72h_3 MaxLFQ Intensity	72h_4 MaxLFQ Intensity	72h_5 MaxLFQ Intensity	72h_6 MaxLFQ Intensity	72h_7 MaxLFQ Intensity	72h_8 MaxLFQ Intensity	72h_9 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|O77727|K1C15_SHEEP	O77727	K1C15_SHEEP	KRT15	453	Ovis aries	2:Experimental evidence at transcript level	Keratin, type I cytoskeletal 15	1.0	0.999	10	74	74	148	2	3	3	3	2	3	2	6	4	2	3	5	5	3	1	3	2	5	2	1	1	5	5	3	2	3	3	3	2	3	2	6	4	2	3	5	5	3	1	3	2	5	2	1	1	5	5	3	4	4	6	6	6	7	6	10	7	6	7	8	8	6	4	7	4	8	4	6	4	8	7	5	3.9996904E7	4.3455468E7	4.6443364E7	4.3019704E7	4.24106E7	9.8634024E7	5.6078548E7	1.2565368E8	5.334526E7	4.6795228E7	4.7197924E7	4.8165524E7	3.363852E7	2.383247E7	4268799.5	2.4183954E7	4.3592528E7	8.088876E7	2.2406312E7	4.4180916E7	1.429692E8	3.986982E7	6.1171024E7	6.1414576E7	4.4087484E7	4.7899764E7	5.1193236E7	4.7419432E7	4.6748032E7	5.7064876E7	6.1813836E7	5.0570012E7	5.9656684E7	3.9941672E7	4.67147E7	3.6051172E7	3.5065024E7	9925783.0	5.644752E7	1.0102397E7	3.8900908E7	4.424912E7	1.2891548E7	1.3565069E7	4.7994888E7	3.5165912E7	3.9868372E7	4.1945912E7	
contam_sp|P00167|CYB5_HUMAN	P00167	CYB5_HUMAN	CYB5A	134	Homo sapiens	1:Experimental evidence at protein level	Cytochrome b5	0.9768	0.999	1	16	16	16	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	0	0	0	0	3.167254E7	3.1283848E7	3.4622192E7	4.364816E7	3.5214432E7	4.1966284E7	3.7972048E7	4.2484864E7	2.5477202E7	4.797708E7	4.126698E7	4.4828504E7	1.0852903E7	1.7556994E7	1.8097528E7	1.6634351E7	0.0	1.5405306E7	1.3897532E7	1.7844968E7	0.0	1.0550871E7	1.2857001E7	1.1378755E7	3.167254E7	3.1283848E7	3.4622192E7	4.364816E7	3.5214432E7	4.1966284E7	3.7972048E7	4.2484864E7	2.5477202E7	4.797708E7	4.126698E7	4.4828504E7	1.0852903E7	1.7556994E7	1.8097528E7	1.6634351E7	0.0	1.5405306E7	1.3897532E7	1.7844968E7	0.0	1.0550871E7	1.2857001E7	1.1378755E7	
contam_sp|P00366|DHE3_BOVIN	P00366	DHE3_BOVIN	GLUD1	558	Bos taurus	1:Experimental evidence at protein level	Glutamate dehydrogenase 1, mitochondrial	1.0	0.999	10	222	222	222	9	10	9	11	9	10	11	9	10	9	11	10	9	8	12	9	10	9	10	8	6	8	7	8	9	10	9	11	9	10	11	9	10	9	11	10	9	8	12	9	10	9	10	8	6	8	7	8	9	10	9	11	9	10	11	9	10	9	11	10	9	8	12	9	10	9	10	8	6	8	7	8	1.63499238E9	2.03254426E9	1.84859136E9	1.9331209E9	1.82620966E9	2.06963622E9	1.92940595E9	2.24626074E9	1.93670784E9	2.23453389E9	1.96785075E9	1.53811098E9	1.09340211E9	1.10445299E9	8.5037549E8	1.01717222E9	1.0717184E9	1.15279936E9	1.09287744E9	1.12878528E9	8.7758253E8	1.08817651E9	1.08818637E9	1.07555802E9	3.66643136E8	4.14133536E8	3.82435328E8	4.00317632E8	3.77235616E8	4.22787296E8	3.83564256E8	4.54598816E8	3.91434784E8	4.21122592E8	4.12931776E8	4.06812992E8	2.04154896E8	2.1376808E8	1.4109624E8	2.0116872E8	2.11921584E8	2.19366544E8	2.14523296E8	2.1975336E8	1.65615648E8	2.06307968E8	2.14197408E8	2.0378168E8	
contam_sp|P00698|LYSC_CHICK	P00698	LYSC_CHICK	LYZ	147	Gallus gallus	1:Experimental evidence at protein level	Lysozyme C	1.0	0.999	3	61	61	61	2	3	3	3	3	3	4	3	2	1	3	1	3	4	4	2	4	1	2	3	1	3	1	2	2	3	3	3	3	3	4	3	2	1	3	1	3	4	4	2	4	1	2	3	1	3	1	2	2	3	3	3	3	3	4	3	2	1	3	1	3	4	4	2	4	1	2	3	1	3	1	2	1.0699281E7	4.3590788E7	2.2502964E7	3.7584856E7	3.6702512E7	4.1637072E7	3.5161484E7	3.5496572E7	3.8820388E7	0.0	2.2257708E7	2.2067826E7	4.5380556E7	7.2841136E7	5.8683512E7	5.7720972E7	3.2250424E7	7263456.0	1.4348414E7	4.9323944E7	0.0	4.7985456E7	5160538.0	3.807036E7	4.80088E7	3.211417E7	1.633587E7	2.1428848E7	2.8833382E7	3.1172652E7	1.555769E7	2.7154438E7	2.1092234E7	0.0	1.2245041E7	9700056.0	3.1898306E7	4.4384908E7	3.4832048E7	3.1485322E7	1.7839688E7	3.2591892E7	3.5300668E7	2.938262E7	0.0	3.0590924E7	2.3155876E7	2.3495468E7	
contam_sp|P00760|TRY1_BOVIN	P00760	TRY1_BOVIN	PRSS1	246	Bos taurus	1:Experimental evidence at protein level	Serine protease 1	1.0	0.995	2	14	14	14	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	5	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	5	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	5	0	0	1	3.45991168E8	3.98853344E8	4.72909792E8	4.04694976E8	1.98059056E8	3.875768E8	2.2170064E8	2.63255744E8	3.85486848E8	1.3656016E8	3.41772544E8	2.44602896E8	2.4305208E8	3.15291424E8	3.17999616E8	2.41072608E8	1.96853408E8	2.76814304E8	5.374112E8	2.10014368E8	3.2739287E10	2.8945488E8	2.62534208E8	3.49587648E8	3.52446496E8	4.06294944E8	4.81733088E8	4.12245568E8	2.01754336E8	3.94808E8	2.25837008E8	2.68167424E8	3.9267904E8	1.39108032E8	3.48149152E8	2.4916656E8	2.47586816E8	3.21173952E8	3.23932672E8	2.45570416E8	2.00526192E8	2.81978944E8	5.4743795E8	2.13932704E8	1.30213571E10	2.9485536E8	2.67432432E8	3.5611008E8	
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	17	11425	11425	11425	494	540	553	453	266	454	365	401	548	492	557	418	357	471	502	504	324	395	582	375	1076	422	398	478	494	540	553	453	266	454	365	401	548	492	557	418	357	471	502	504	324	395	582	375	1076	422	398	478	494	540	553	453	266	454	365	401	548	492	557	418	357	471	502	504	324	395	582	375	1076	422	398	478	2.8440789E11	3.49448176E11	4.64725967E11	2.1659997E11	1.01342814E11	2.96769487E11	1.8861967E11	2.07729623E11	4.25421734E11	2.71133819E11	4.6033725E11	2.30424101E11	1.57280403E11	1.74788641E11	2.0047251E11	2.26205762E11	1.53628443E11	1.98815252E11	3.54575516E11	1.47312099E11	9.8143872E12	2.07270806E11	1.55351106E11	1.92406028E11	7.9226544E10	9.8228462E10	1.49786214E11	8.2362974E10	3.35652577E10	8.2863333E10	6.380827E10	6.5674973E10	1.1546103E11	7.7979353E10	1.20021131E11	7.1706591E10	4.4029985E10	5.7760256E10	6.7662537E10	7.35353E10	4.6403715E10	5.605607E10	1.05881174E11	4.6953464E10	2.77369219E12	5.7592156E10	5.2975776E10	6.7124273E10	
contam_sp|P00883|ALDOA_RABIT	P00883	ALDOA_RABIT	ALDOA	364	Oryctolagus cuniculus	1:Experimental evidence at protein level	Fructose-bisphosphate aldolase A	0.9999	0.9989	6	26	4	227	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	1	2	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	10	11	8	11	8	11	9	12	15	15	10	14	8	8	10	5	7	9	7	7	9	7	7	9	6.9632275E8	5.468711E8	4.53827072E8	4.90340384E8	5.6624922E8	6.0408109E8	4.81774816E8	6.115712E8	6.371552E8	6.2952525E8	6.2108019E8	5.7503066E8	5.9202234E8	5.6745178E8	4.67278336E8	5.6902925E8	4.81652448E8	6.0863776E8	7.136944E8	7.4887674E8	6.6252928E8	6.2611942E8	6.3053376E8	6.6008544E8	6.9632275E8	5.468711E8	4.53827072E8	4.90340384E8	5.6624922E8	6.0408109E8	4.81774816E8	6.115712E8	6.371552E8	6.2952525E8	6.2108019E8	5.7503066E8	5.9202234E8	5.6745178E8	4.67278336E8	5.6902925E8	4.81652448E8	6.0863776E8	7.1035962E8	7.4887674E8	6.6252928E8	6.2611942E8	6.3053376E8	6.6008544E8	
contam_sp|P00918|CAH2_HUMAN	P00918	CAH2_HUMAN	CA2	260	Homo sapiens	1:Experimental evidence at protein level	Carbonic anhydrase 2	0.977	0.999	1	22	22	22	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1.2891297E7	1.6578251E7	1.9568346E7	1.083978E7	5397256.5	1.3704083E7	1.1038848E7	1.2659295E7	2.5638802E7	1.7494086E7	2.3268924E7	1.1427221E7	1.0213201E7	9151459.0	1.0118725E7	8714279.0	8215164.0	9530400.0	1.5174568E7	5295462.0	4.429296E8	9657816.0	6977020.0	8459915.0	1.2891297E7	1.6578251E7	1.9568346E7	1.083978E7	5397256.5	1.3704083E7	1.1038848E7	1.2659295E7	2.5638802E7	1.7494086E7	2.3268924E7	1.1427221E7	1.0213201E7	9151459.0	1.0118725E7	8714279.0	8215164.0	9530400.0	1.5174568E7	5295462.0	4.429296E8	9657816.0	6977020.0	8459915.0	
contam_sp|P01112|RASH_HUMAN	P01112	RASH_HUMAN	HRAS	189	Homo sapiens	1:Experimental evidence at protein level	GTPase HRas	1.0	0.999	9	117	27	117	5	6	4	7	5	7	6	6	5	4	6	5	5	5	7	5	5	3	2	3	2	6	4	4	1	2	1	2	2	2	2	3	1	0	2	2	2	0	1	1	1	0	0	0	0	2	0	0	5	6	4	7	5	7	6	6	5	4	6	5	5	5	7	5	5	3	2	3	2	6	4	4	1.95339792E8	1.85936288E8	1.81771872E8	1.75044352E8	2.34687056E8	1.98807744E8	2.02122576E8	1.9184776E8	1.85480304E8	1.39595792E8	1.68621072E8	1.48062176E8	1.85630592E8	1.33673048E8	1.60938096E8	2.16096896E8	1.40101184E8	1.53622912E8	2.1604528E8	1.32112064E8	8.2321264E7	1.54609136E8	1.61447696E8	1.5989496E8	1.0966308E8	1.03701488E8	1.0618504E8	1.07066768E8	1.18761608E8	1.01916856E8	1.06460728E8	1.11236232E8	1.20172464E8	7.287468E7	8.606632E7	9.7425952E7	8.798124E7	8.8315584E7	7.4730856E7	8.55852E7	9.3545664E7	8.1696192E7	7.8721008E7	7.7673392E7	8.2321264E7	8.5134064E7	7.9117792E7	8.4058856E7	
contam_sp|P02662|CASA1_BOVIN	P02662	CASA1_BOVIN	CSN1S1	214	Bos taurus	1:Experimental evidence at protein level	Alpha-S1-casein	1.0	0.999	5	63	63	63	0	2	0	1	5	5	4	3	3	4	1	2	5	1	2	1	2	1	5	4	3	6	2	1	0	2	0	1	5	5	4	3	3	4	1	2	5	1	2	1	2	1	5	4	3	6	2	1	0	2	0	1	5	5	4	3	3	4	1	2	5	1	2	1	2	1	5	4	3	6	2	1	0.0	884436.25	0.0	2.0282844E7	3.883114E7	6.58679E7	3.9920268E7	2.687144E7	3.1973256E7	1.28330752E8	2.3228152E7	2.9204296E7	7.495916E7	0.0	3.2315296E7	9369140.0	1.5768737E7	7870910.5	3.2324548E7	7.2070888E7	2.68408512E8	8.391952E7	6247262.0	0.0	0.0	1161895.6	0.0	1.1552089E7	2.0008582E7	3.3679568E7	2.034007E7	1.3849158E7	1.8036064E7	6.4784728E7	1.3429977E7	1.5675952E7	3.8161204E7	0.0	1.0429574E7	5235442.5	8735045.0	4562323.0	1.731127E7	3.89526E7	1.47438592E8	4.5733904E7	3102025.2	0.0	
