Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Set_1_1 Spectral Count	Set_1_2 Spectral Count	Set_1_3 Spectral Count	Set_2_1 Spectral Count	Set_2_2 Spectral Count	Set_2_3 Spectral Count	Set_1_1 Unique Spectral Count	Set_1_2 Unique Spectral Count	Set_1_3 Unique Spectral Count	Set_2_1 Unique Spectral Count	Set_2_2 Unique Spectral Count	Set_2_3 Unique Spectral Count	Set_1_1 Total Spectral Count	Set_1_2 Total Spectral Count	Set_1_3 Total Spectral Count	Set_2_1 Total Spectral Count	Set_2_2 Total Spectral Count	Set_2_3 Total Spectral Count	Set_1_1 Intensity	Set_1_2 Intensity	Set_1_3 Intensity	Set_2_1 Intensity	Set_2_2 Intensity	Set_2_3 Intensity	Set_1_1 MaxLFQ Intensity	Set_1_2 MaxLFQ Intensity	Set_1_3 MaxLFQ Intensity	Set_2_1 MaxLFQ Intensity	Set_2_2 MaxLFQ Intensity	Set_2_3 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|O76013|KRT36_HUMAN	O76013	KRT36_HUMAN	KRT36	467	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cuticular Ha6	0.8226	0.9909	2	25	25	74	4	5	4	3	5	4	4	5	4	3	5	4	11	14	13	9	15	12	3404926.8	3881195.0	4725768.0	4347955.0	5518711.0	4622166.5	3404926.8	3881195.0	4725768.0	4347955.0	5518711.0	4622166.5	
contam_sp|O77727|K1C15_SHEEP	O77727	K1C15_SHEEP	KRT15	453	Ovis aries	2:Experimental evidence at transcript level	Keratin, type I cytoskeletal 15	1.0	0.999	11	114	114	246	19	19	21	20	19	16	19	19	21	20	19	16	39	40	43	43	43	38	1.51116896E8	1.60407584E8	1.53082512E8	1.39026304E8	1.43069648E8	1.3530232E8	5.1481392E7	5.2167136E7	5.0676132E7	4.6314488E7	4.555064E7	4.4096868E7	
contam_sp|P00167|CYB5_HUMAN	P00167	CYB5_HUMAN	CYB5A	134	Homo sapiens	1:Experimental evidence at protein level	Cytochrome b5	0.9188	0.9963	1	5	5	5	0	3	2	0	0	0	0	3	2	0	0	0	0	3	2	0	0	0	0.0	731420.25	677151.56	0.0	0.0	0.0	0.0	731420.25	677151.56	0.0	0.0	0.0	
contam_sp|P00366|DHE3_BOVIN	P00366	DHE3_BOVIN	GLUD1	558	Bos taurus	1:Experimental evidence at protein level	Glutamate dehydrogenase 1, mitochondrial	1.0	0.999	11	649	649	649	116	105	113	105	103	107	116	105	113	105	103	107	116	105	113	105	103	107	1.27846605E9	1.23916314E9	1.2926601E9	1.30170944E9	1.29369562E9	1.29498701E9	2.51600544E8	2.44031392E8	2.53525056E8	2.69122144E8	2.62128384E8	2.6070536E8	
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	11	956	954	956	160	164	159	159	154	160	160	164	159	158	154	159	160	164	159	159	154	160	9.639338E9	8.3529508E9	7.9044465E9	1.42757714E10	1.5304532E10	1.33764127E10	5.830357E9	5.7333079E9	5.3022316E9	7.5546481E9	8.2327823E9	7.9518003E9	
contam_sp|P00883|ALDOA_RABIT	P00883	ALDOA_RABIT	ALDOA	364	Oryctolagus cuniculus	1:Experimental evidence at protein level	Fructose-bisphosphate aldolase A	0.9998	0.9988	8	36	36	673	6	6	6	6	6	6	6	6	6	6	6	6	123	125	113	103	103	106	5.86128E7	5.8928548E7	5.50554E7	4.5501068E7	4.4982328E7	4.5116592E7	5.86128E7	5.8928548E7	5.50554E7	4.5501068E7	4.4982328E7	4.5116592E7	
contam_sp|P01112|RASH_HUMAN	P01112	RASH_HUMAN	HRAS	189	Homo sapiens	1:Experimental evidence at protein level	GTPase HRas	1.0	0.999	3	30	14	30	8	3	2	6	5	6	5	2	1	2	2	2	8	3	2	6	5	6	9119892.0	1.0434062E7	8466715.0	1.2898902E7	1.2043719E7	1.1773288E7	3666071.5	3748071.5	3489391.5	5217168.0	4810125.0	4450648.5	
contam_sp|P02662|CASA1_BOVIN	P02662	CASA1_BOVIN	CSN1S1	214	Bos taurus	1:Experimental evidence at protein level	Alpha-S1-casein	0.9999	0.9986	2	29	29	29	7	7	6	2	3	4	7	7	6	2	3	4	7	7	6	2	3	4	9149732.0	1.0595384E7	1.0017202E7	8474462.0	8186303.0	9092636.0	5357686.0	6228371.5	5911530.5	4877709.0	4785927.5	5044069.0	
contam_sp|P02666|CASB_BOVIN	P02666	CASB_BOVIN	CSN2	224	Bos taurus	1:Experimental evidence at protein level	Beta-casein	0.9706	0.9987	1	7	7	7	2	1	2	0	1	1	2	1	2	0	1	1	2	1	2	0	1	1	5932481.0	3979706.8	6164384.0	6471824.5	3430651.0	5385613.5	5932481.0	3979706.8	6164384.0	6471824.5	3430651.0	5385613.5	
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	1:Experimental evidence at protein level	Albumin	1.0	0.999	31	662	604	662	129	124	132	94	89	94	116	112	122	86	82	86	129	124	132	94	89	94	4.10886944E8	4.08019008E8	4.20619104E8	2.04000832E8	1.82794976E8	1.94788368E8	4.3479108E7	4.4184944E7	4.366702E7	2.3964364E7	2.1666068E7	2.2980634E7	
contam_sp|P04040|CATA_HUMAN	P04040	CATA_HUMAN	CAT	527	Homo sapiens	1:Experimental evidence at protein level	Catalase	1.0	0.9987	6	70	70	87	10	12	15	12	9	12	10	12	15	12	9	12	13	15	18	15	12	14	1.6043116E7	1.7669542E7	1.7017614E7	9335981.0	1.0376594E7	8765769.0	9492903.0	1.052729E7	1.0162479E7	5401806.0	6050554.5	4884938.0	
