Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,24hpf_FT1_1 Spectral Count,24hpf_FT1_2 Spectral Count,24hpf_FT1_3 Spectral Count,24hpf_pH11_1 Spectral Count,24hpf_pH11_2 Spectral Count,24hpf_pH11_3 Spectral Count,24hpf_pH2_1 Spectral Count,24hpf_pH2_2 Spectral Count,24hpf_pH2_3 Spectral Count,24hpf_pH5_1 Spectral Count,24hpf_pH5_2 Spectral Count,24hpf_pH5_3 Spectral Count,24hpf_pH8_1 Spectral Count,24hpf_pH8_2 Spectral Count,24hpf_pH8_3 Spectral Count,24hpf_FT1_1 Unique Spectral Count,24hpf_FT1_2 Unique Spectral Count,24hpf_FT1_3 Unique Spectral Count,24hpf_pH11_1 Unique Spectral Count,24hpf_pH11_2 Unique Spectral Count,24hpf_pH11_3 Unique Spectral Count,24hpf_pH2_1 Unique Spectral Count,24hpf_pH2_2 Unique Spectral Count,24hpf_pH2_3 Unique Spectral Count,24hpf_pH5_1 Unique Spectral Count,24hpf_pH5_2 Unique Spectral Count,24hpf_pH5_3 Unique Spectral Count,24hpf_pH8_1 Unique Spectral Count,24hpf_pH8_2 Unique Spectral Count,24hpf_pH8_3 Unique Spectral Count,24hpf_FT1_1 Total Spectral Count,24hpf_FT1_2 Total Spectral Count,24hpf_FT1_3 Total Spectral Count,24hpf_pH11_1 Total Spectral Count,24hpf_pH11_2 Total Spectral Count,24hpf_pH11_3 Total Spectral Count,24hpf_pH2_1 Total Spectral Count,24hpf_pH2_2 Total Spectral Count,24hpf_pH2_3 Total Spectral Count,24hpf_pH5_1 Total Spectral Count,24hpf_pH5_2 Total Spectral Count,24hpf_pH5_3 Total Spectral Count,24hpf_pH8_1 Total Spectral Count,24hpf_pH8_2 Total Spectral Count,24hpf_pH8_3 Total Spectral Count,24hpf_FT1_1 Intensity,24hpf_FT1_2 Intensity,24hpf_FT1_3 Intensity,24hpf_pH11_1 Intensity,24hpf_pH11_2 Intensity,24hpf_pH11_3 Intensity,24hpf_pH2_1 Intensity,24hpf_pH2_2 Intensity,24hpf_pH2_3 Intensity,24hpf_pH5_1 Intensity,24hpf_pH5_2 Intensity,24hpf_pH5_3 Intensity,24hpf_pH8_1 Intensity,24hpf_pH8_2 Intensity,24hpf_pH8_3 Intensity,24hpf_FT1_1 MaxLFQ Intensity,24hpf_FT1_2 MaxLFQ Intensity,24hpf_FT1_3 MaxLFQ Intensity,24hpf_pH11_1 MaxLFQ Intensity,24hpf_pH11_2 MaxLFQ Intensity,24hpf_pH11_3 MaxLFQ Intensity,24hpf_pH2_1 MaxLFQ Intensity,24hpf_pH2_2 MaxLFQ Intensity,24hpf_pH2_3 MaxLFQ Intensity,24hpf_pH5_1 MaxLFQ Intensity,24hpf_pH5_2 MaxLFQ Intensity,24hpf_pH5_3 MaxLFQ Intensity,24hpf_pH8_1 MaxLFQ Intensity,24hpf_pH8_2 MaxLFQ Intensity,24hpf_pH8_3 MaxLFQ Intensity,Indistinguishable Proteins
sp|A0A096X8J7|B3A3_DANRE,A0A096X8J7,B3A3_DANRE,Slc4a3,1170,Danio rerio,2:Experimental evidence at transcript level,Anion exchange protein 3,0.9639,0.9986,1,3,3,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21107050,21101666,17282856,0,0,0,0,0,0,0,0,0,0,0,0,21107050,21101666,17282856,0,0,0,0,0,0,
sp|A0A0G2KQY6|S39AE_DANRE,A0A0G2KQY6,S39AE_DANRE,slc39a14,494,Danio rerio,2:Experimental evidence at transcript level,Metal cation symporter ZIP14,0.9943,0.9988,2,4,4,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A0A0G2KTI4|S12A2_DANRE,A0A0G2KTI4,S12A2_DANRE,slc12a2,1136,Danio rerio,1:Experimental evidence at protein level,Solute carrier family 12 member 2,1,0.999,13,63,63,63,2,1,2,5,4,6,5,5,6,4,4,7,6,3,3,2,1,2,5,4,6,5,5,6,4,4,7,6,3,3,2,1,2,5,4,6,5,5,6,4,4,7,6,3,3,25350462,15661495,9227378,28286506,8897909,33682424,308756544,292045824,230192768,32476314,46575212,30737598,113658216,30257120,29149964,17117704,20320222,6913031.5,23089894,6634661.5,8017238.5,19840502,20990602,16692448,31446858,56413912,30813522,121516448,30653346,32578324,
sp|A0A0R4IB93|UBP48_DANRE,A0A0R4IB93,UBP48_DANRE,usp48,1047,Danio rerio,3:Protein inferred from homology,Ubiquitin carboxyl-terminal hydrolase 48,1,0.999,30,130,130,130,2,4,2,12,6,6,14,13,13,6,11,6,13,11,11,2,4,2,12,6,6,14,13,13,6,11,6,13,11,11,2,4,2,12,6,6,14,13,13,6,11,6,13,11,11,0,8349128,5668090,37518468,20773006,18425296,109004576,136527968,167391728,77606184,68161744,51111880,162330976,87211696,83685144,0,33006910,24015388,44175200,32531262,33796048,18192604,20508874,20918512,20569770,19225026,15352143,34259696,33672120,25903994,
sp|A0A0R4IBK5|R213A_DANRE,A0A0R4IBK5,R213A_DANRE,rnf213a,5209,Danio rerio,3:Protein inferred from homology,E3 ubiquitin-protein ligase rnf213-alpha,1,0.999,41,95,95,95,3,2,2,3,6,5,14,12,8,7,8,8,6,7,4,3,2,2,3,6,5,14,12,8,7,8,8,6,7,4,3,2,2,3,6,5,14,12,8,7,8,8,6,7,4,15949528,2362312,0,1360589.9,6743608,14569290,181949712,78507720,148905264,20440490,58617620,43936024,68319864,59502264,25771648,17637476,0,0,0,36012644,14974394,75155104,85467984,14716735,49898824,26875512,15406465,43064516,17240618,18500414,
sp|A0A0R4IBL7|HTF4_DANRE,A0A0R4IBL7,HTF4_DANRE,tcf12,726,Danio rerio,2:Experimental evidence at transcript level,Transcription factor 12,1,0.9989,4,8,8,8,1,0,0,0,1,1,0,0,0,0,0,4,0,1,0,1,0,0,0,1,1,0,0,0,0,0,4,0,1,0,1,0,0,0,1,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5384272,0,1309994.2,0,0,0,0,0,0,0,0,0,0,0,0,3665710.5,0,1309994.2,0,
sp|A0A0R4IC37|CPSF1_DANRE,A0A0R4IC37,CPSF1_DANRE,cpsf1,1451,Danio rerio,3:Protein inferred from homology,Cleavage and polyadenylation specificity factor subunit 1,1,0.999,37,214,214,214,16,11,11,17,18,21,18,18,17,7,9,12,12,12,15,16,11,11,17,18,21,18,18,17,7,9,12,12,12,15,16,11,11,17,18,21,18,18,17,7,9,12,12,12,15,67853504,64271800,20699260,189783552,80544992,66461008,626140860,471685696,403324416,212423392,114184520,79943408,228322880,113919664,124194768,19714604,22016828,18531120,43780420,19790244,26303234,36533648,45240364,65792456,44275024,35128616,23537126,40525148,65115192,50716852,
sp|A0A0R4IDX9|NINJ1_DANRE,A0A0R4IDX9,NINJ1_DANRE,ninj1,146,Danio rerio,3:Protein inferred from homology,Ninjurin-1,0.9998,0.999,1,4,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8545215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A0A0R4IES7|BLTP1_DANRE,A0A0R4IES7,BLTP1_DANRE,bltp1,4923,Danio rerio,3:Protein inferred from homology,Bridge-like lipid transfer protein family member 1,1,0.985,6,6,6,6,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,837213.8,293896.06,0,0,11668691,9310597,0,552766590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A0A0R4IEW8|ELAV4_DANRE,A0A0R4IEW8,ELAV4_DANRE,elavl4,411,Danio rerio,1:Experimental evidence at protein level,ELAV-like protein 4,1,0.999,11,70,70,70,5,3,2,5,4,5,4,5,7,5,3,5,7,5,5,5,3,2,5,4,5,4,5,7,5,3,5,7,5,5,5,3,2,5,4,5,4,5,7,5,3,5,7,5,5,51625012,26337824,2035024.6,147442368,37994484,75484344,53997168,112835704,152310448,126109672,125690832,105200192,139202480,140023424,120207448,27477082,52618896,28603136,56946516,30302854,27379442,19198950,42745748,57595688,100902416,77773040,65247836,53887432,63254836,48971512,
sp|A0A0R4IFG5|CFA53_DANRE,A0A0R4IFG5,CFA53_DANRE,cfap53,519,Danio rerio,2:Experimental evidence at transcript level,Cilia- and flagella-associated protein 53,0.996,0.9975,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824377.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A0A0R4IKJ1|CAPAM_DANRE,A0A0R4IKJ1,CAPAM_DANRE,pcif1,721,Danio rerio,1:Experimental evidence at protein level,mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase,1,0.999,14,25,25,25,0,2,5,5,2,2,2,2,2,1,1,0,0,0,1,0,2,5,5,2,2,2,2,2,1,1,0,0,0,1,0,2,5,5,2,2,2,2,2,1,1,0,0,0,1,0,0,2337307,9554645,9304322,12741265,97424112,64464384,73902288,0,0,0,0,0,13122783,0,0,0,13812446,5390564.5,6004739,67421400,64464384,64462792,0,0,0,0,0,0,
